Task,T4925
Scope 1/1, Sample 1/4 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-57.6,22.2,NaN,,
0.0010,1,-57.8,22.2,0.0010,,
0.0025,2,-57.8,22.2,0.0015,,
0.0050,3,-57.8,22.2,0.0025,,
0.0090,4,-57.7,22.2,0.0035,,
0.0150,5,-57.7,22.2,0.0055,,
0.0235,6,-57.8,22.2,0.0075,,
0.0320,7,-57.7,22.2,0.0075,,
0.0405,8,-57.7,22.2,0.0075,,
0.0490,9,-57.5,22.2,0.0075,,
0.0565,10,-57.3,22.2,0.0070,,
0.0650,11,-57.0,22.2,0.0075,,
0.0735,12,-56.7,22.2,0.0075,,
0.0815,13,-56.3,22.2,0.0075,,
0.0900,14,-55.8,22.2,0.0075,,
0.0985,15,-55.4,22.2,0.0075,,
0.1060,16,-54.8,22.2,0.0070,,
0.1145,17,-54.3,22.2,0.0075,,
0.1230,18,-53.7,22.2,0.0075,,
0.1315,19,-53.0,22.2,0.0075,,
0.1400,20,-52.2,22.2,0.0075,,
0.1480,21,-51.4,22.2,0.0075,,
0.1565,22,-50.6,22.2,0.0070,,
0.1640,23,-49.8,22.2,0.0070,,
0.1725,24,-49.0,22.2,0.0075,,
0.1810,25,-48.2,22.2,0.0075,,
0.1895,26,-47.5,22.2,0.0075,,
0.1980,27,-46.7,22.2,0.0075,,
0.2065,28,-45.7,22.2,0.0070,,
0.2140,29,-44.9,22.2,0.0070,,
0.2225,30,-44.0,22.2,0.0075,,
0.2310,31,-43.2,22.2,0.0075,,
0.2390,32,-42.5,22.2,0.0075,,
0.2475,33,-41.8,22.2,0.0075,,
0.2560,34,-41.0,22.2,0.0070,,
0.2635,35,-40.3,22.2,0.0070,,
0.2720,36,-39.5,22.2,0.0075,,
0.2805,37,-38.9,22.2,0.0075,,
0.2890,38,-38.2,22.2,0.0075,,
0.2975,39,-37.5,22.2,0.0075,,
0.3060,40,-36.9,22.2,0.0070,,
0.3135,41,-36.3,22.2,0.0070,,
0.3220,42,-35.7,22.2,0.0075,,
0.3305,43,-35.1,22.2,0.0075,,
0.3385,44,-34.5,22.2,0.0075,,
0.3470,45,-33.8,22.2,0.0075,,
0.3555,46,-33.2,22.2,0.0070,,
0.3630,47,-32.6,22.2,0.0070,,
0.3715,48,-32.0,22.2,0.0075,,
0.3800,49,-31.5,22.2,0.0075,,
0.3885,50,-30.9,22.2,0.0075,,
0.3970,51,-30.3,22.2,0.0075,,
0.4050,52,-29.7,22.2,0.0065,,
0.4130,53,-29.2,22.2,0.0075,,
0.4210,54,-28.7,22.2,0.0075,,
0.4295,55,-28.1,22.2,0.0075,,
0.4380,56,-27.6,22.2,0.0075,,
0.4465,57,-27.1,22.2,0.0075,,
0.4550,58,-26.5,22.2,0.0070,,
0.4625,59,-26.1,22.2,0.0070,,
0.4710,60,-25.5,22.2,0.0075,,
0.4795,61,-25.0,22.2,0.0075,,
0.4880,62,-24.5,22.2,0.0075,,
0.4960,63,-23.9,22.2,0.0075,,
0.5045,64,-23.5,22.2,0.0075,,
0.5120,65,-23.1,22.2,0.0070,,
0.5205,66,-22.6,22.2,0.0075,,
0.5290,67,-21.9,22.2,0.0075,,
0.5375,68,-21.4,22.2,0.0075,,
0.5460,69,-21.0,22.2,0.0075,,
0.5545,70,-20.5,22.2,0.0070,,
0.5620,71,-20.1,22.2,0.0070,,
0.5705,72,-19.7,22.2,0.0075,,
0.5790,73,-19.2,22.2,0.0075,,
0.5870,74,-18.7,22.2,0.0075,,
0.5955,75,-18.2,22.2,0.0075,,
0.6040,76,-17.7,22.2,0.0075,,
0.6125,77,-17.2,22.2,0.0075,,
0.6200,78,-16.6,22.2,0.0070,,
0.6285,79,-16.1,22.2,0.0075,,
0.6370,80,-15.7,22.2,0.0075,,
0.6455,81,-15.1,22.2,0.0075,,
0.6535,82,-14.7,22.2,0.0075,,
0.6620,83,-14.1,22.2,0.0070,,
0.6695,84,-13.8,22.2,0.0070,,
0.6780,85,-13.3,22.2,0.0075,,
0.6865,86,-12.8,22.2,0.0075,,
0.6950,87,-12.4,22.2,0.0075,,
0.7035,88,-11.9,22.2,0.0075,,
0.7120,89,-11.5,22.2,0.0075,,
0.7195,90,-11.0,22.2,0.0070,,
0.7280,91,-10.6,22.2,0.0075,,
0.7365,92,-10.1,22.2,0.0075,,
0.7445,93,-9.6,22.2,0.0075,,
0.7530,94,-9.2,22.2,0.0075,,
0.7615,95,-8.7,22.2,0.0070,,
0.7690,96,-8.3,22.2,0.0070,,
0.7775,97,-7.9,22.2,0.0075,,
0.7860,98,-7.5,22.2,0.0075,,
0.7945,99,-7.0,22.2,0.0075,,
0.8030,100,-6.6,22.2,0.0075,,
0.8115,101,-6.1,22.2,0.0070,,
0.8190,102,-5.6,22.2,0.0070,,
0.8275,103,-5.1,22.2,0.0075,,
0.8355,104,-4.6,22.2,0.0075,,
0.8440,105,-4.1,22.2,0.0075,,
0.8525,106,-3.6,22.2,0.0075,,
0.8610,107,-2.9,22.2,0.0075,,
0.8685,108,-2.4,22.2,0.0070,,
0.8770,109,-1.8,22.2,0.0075,,
0.8855,110,-1.2,22.2,0.0075,,
0.8940,111,-0.6,22.2,0.0075,,
0.9025,112,-0.1,22.2,0.0075,,
0.9105,113,0.4,22.2,0.0065,,
0.9185,114,0.7,22.2,0.0075,,
0.9265,115,0.6,22.2,0.0075,,
0.9350,116,1.0,22.2,0.0075,,
0.9435,117,1.5,22.2,0.0075,,
0.9520,118,2.0,22.2,0.0075,,
0.9605,119,3.0,22.2,0.0075,,
0.9680,120,3.8,22.2,0.0070,,
0.9765,121,4.1,22.2,0.0075,,
0.9850,122,4.7,22.2,0.0075,,
0.9935,123,5.2,22.2,0.0075,,
1.0015,124,5.6,22.2,0.0075,,
1.0100,125,6.1,22.2,0.0075,,
1.0175,126,6.4,22.2,0.0070,,
1.0260,127,6.9,22.2,0.0075,,
1.0345,128,7.4,22.2,0.0075,,
1.0430,129,8.0,22.2,0.0075,,
1.0515,130,8.7,22.2,0.0075,,
1.0600,131,9.6,22.2,0.0075,,
1.0680,132,10.0,22.2,0.0075,,
1.0760,133,10.8,22.2,0.0075,,
1.0840,134,11.5,22.2,0.0075,,
1.0925,135,12.2,22.2,0.0075,,
1.1010,136,13.0,22.2,0.0075,,
1.1095,137,13.7,22.2,0.0075,,
1.1180,138,14.5,22.2,0.0070,,
1.1255,139,15.3,22.2,0.0070,,
1.1340,140,16.0,22.2,0.0075,,
1.1425,141,16.8,22.2,0.0075,,
1.1505,142,17.6,22.2,0.0075,,
1.1590,143,18.6,22.2,0.0075,,
1.1675,144,19.5,22.2,0.0075,,
1.1750,145,20.2,22.2,0.0070,,
1.1835,146,21.1,22.2,0.0075,,
1.1920,147,22.1,22.2,0.0075,,
1.2005,148,23.2,22.2,0.0075,,
1.2090,149,24.3,22.2,0.0075,,
1.2170,150,25.4,22.2,0.0075,,
1.2255,151,26.4,22.2,0.0075,,
1.2330,152,27.8,22.2,0.0070,,
1.2415,153,29.3,22.2,0.0075,,
1.2500,154,30.7,22.2,0.0075,,
1.2585,155,32.3,22.2,0.0075,,
1.2670,156,34.0,22.2,0.0075,,
1.2755,157,35.5,22.2,0.0075,,
1.2830,158,37.5,22.2,0.0070,,
1.2915,159,39.8,22.2,0.0075,,
1.3000,160,42.2,22.2,0.0075,,
1.3080,161,45.0,22.2,0.0075,,
1.3165,162,48.0,22.2,0.0075,,
1.3250,163,51.1,22.2,0.0075,,
1.3325,164,54.8,22.2,0.0070,,
1.3410,165,58.7,22.2,0.0075,,
1.3495,166,63.2,22.2,0.0075,,
1.3580,167,67.9,22.2,0.0075,,
1.3665,168,73.1,22.2,0.0075,,
1.3750,169,78.6,22.2,0.0075,,
1.3825,170,84.7,22.2,0.0070,,
1.3910,171,91.4,22.2,0.0075,,
1.3995,172,97.8,22.2,0.0075,,
