Task,T4949
Scope 1/1, Sample 1/5 (1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-61.4,22.7,NaN,,
0.0005,1,-61.4,22.7,0.0005,,
0.0025,2,-61.4,22.7,0.0020,,
0.0050,3,-61.5,22.7,0.0025,,
0.0090,4,-61.6,22.7,0.0035,,
0.0150,5,-61.6,22.7,0.0055,,
0.0235,6,-61.5,22.7,0.0085,,
0.0315,7,-61.5,22.7,0.0080,,
0.0395,8,-61.4,22.7,0.0080,,
0.0480,9,-61.2,22.7,0.0075,,
0.0565,10,-60.9,22.7,0.0075,,
0.0650,11,-60.5,22.7,0.0075,,
0.0725,12,-60.0,22.7,0.0075,,
0.0810,13,-59.5,22.7,0.0085,,
0.0895,14,-58.8,22.7,0.0085,,
0.0980,15,-58.1,22.7,0.0075,,
0.1065,16,-57.4,22.7,0.0075,,
0.1145,17,-56.6,22.7,0.0075,,
0.1230,18,-55.8,22.7,0.0085,,
0.1305,19,-55.0,22.7,0.0075,,
0.1390,20,-54.2,22.7,0.0085,,
0.1475,21,-53.3,22.8,0.0075,,
0.1560,22,-52.3,22.7,0.0075,,
0.1645,23,-51.3,22.7,0.0075,,
0.1730,24,-50.3,22.7,0.0075,,
0.1805,25,-49.3,22.7,0.0075,,
0.1890,26,-48.1,22.8,0.0085,,
0.1975,27,-47.1,22.8,0.0075,,
0.2055,28,-46.0,22.8,0.0075,,
0.2140,29,-45.0,22.8,0.0075,,
0.2225,30,-44.0,22.8,0.0085,,
0.2300,31,-43.1,22.8,0.0075,,
0.2385,32,-42.1,22.8,0.0085,,
0.2470,33,-41.2,22.8,0.0085,,
0.2555,34,-40.4,22.8,0.0075,,
0.2640,35,-39.4,22.8,0.0075,,
0.2725,36,-38.5,22.8,0.0075,,
0.2800,37,-37.8,22.8,0.0075,,
0.2885,38,-37.0,22.8,0.0085,,
0.2965,39,-36.1,22.8,0.0075,,
0.3050,40,-35.3,22.8,0.0075,,
0.3135,41,-34.6,22.8,0.0075,,
0.3220,42,-33.8,22.8,0.0075,,
0.3295,43,-33.2,22.8,0.0075,,
0.3380,44,-32.5,22.8,0.0085,,
0.3465,45,-31.7,22.8,0.0075,,
0.3550,46,-31.0,22.8,0.0075,,
0.3635,47,-30.4,22.8,0.0075,,
0.3715,48,-29.8,22.8,0.0075,,
0.3795,49,-29.3,22.8,0.0080,,
0.3875,50,-28.6,22.8,0.0080,,
0.3960,51,-27.9,22.8,0.0075,,
0.4045,52,-27.2,22.8,0.0075,,
0.4130,53,-26.5,22.8,0.0075,,
0.4215,54,-25.9,22.8,0.0085,,
0.4290,55,-25.3,22.8,0.0075,,
0.4375,56,-24.8,22.8,0.0085,,
0.4460,57,-24.2,22.8,0.0075,,
0.4545,58,-23.7,22.8,0.0075,,
0.4625,59,-23.1,22.8,0.0075,,
0.4710,60,-22.6,22.8,0.0075,,
0.4785,61,-22.0,22.8,0.0075,,
0.4870,62,-21.5,22.8,0.0085,,
0.4955,63,-20.9,22.8,0.0075,,
0.5040,64,-20.3,22.8,0.0075,,
0.5125,65,-19.8,22.8,0.0075,,
0.5210,66,-19.3,22.8,0.0085,,
0.5285,67,-18.8,22.8,0.0075,,
0.5370,68,-18.2,22.8,0.0085,,
0.5455,69,-17.6,22.8,0.0075,,
0.5540,70,-17.1,22.8,0.0075,,
0.5620,71,-16.5,22.8,0.0075,,
0.5705,72,-16.1,22.8,0.0085,,
0.5780,73,-15.6,22.8,0.0075,,
0.5865,74,-15.0,22.8,0.0085,,
0.5950,75,-14.5,22.8,0.0075,,
0.6035,76,-14.0,22.8,0.0075,,
0.6120,77,-13.4,22.8,0.0075,,
0.6205,78,-12.9,22.8,0.0075,,
0.6280,79,-12.4,22.8,0.0075,,
0.6365,80,-11.9,22.8,0.0085,,
0.6450,81,-11.4,22.8,0.0075,,
0.6530,82,-10.7,22.8,0.0075,,
0.6615,83,-10.1,22.8,0.0075,,
0.6700,84,-9.6,22.8,0.0075,,
0.6775,85,-9.2,22.8,0.0075,,
0.6860,86,-8.7,22.8,0.0085,,
0.6945,87,-8.2,22.8,0.0085,,
0.7030,88,-7.7,22.8,0.0075,,
0.7115,89,-7.2,22.8,0.0075,,
0.7195,90,-6.6,22.8,0.0075,,
0.7275,91,-6.3,22.8,0.0080,,
0.7355,92,-5.7,22.8,0.0080,,
0.7440,93,-5.1,22.8,0.0085,,
0.7525,94,-4.5,22.8,0.0075,,
0.7610,95,-3.9,22.8,0.0075,,
0.7695,96,-3.3,22.8,0.0075,,
0.7770,97,-2.8,22.8,0.0075,,
0.7855,98,-2.2,22.8,0.0085,,
0.7940,99,-1.5,22.8,0.0085,,
0.8025,100,-0.8,22.8,0.0075,,
0.8105,101,-0.3,22.8,0.0075,,
0.8190,102,0.0,22.8,0.0075,,
0.8265,103,0.0,22.8,0.0075,,
0.8350,104,0.6,22.8,0.0085,,
0.8435,105,1.2,22.8,0.0085,,
0.8520,106,1.8,22.8,0.0075,,
0.8605,107,2.7,22.8,0.0075,,
0.8690,108,3.7,22.8,0.0075,,
0.8765,109,3.4,22.8,0.0075,,
0.8850,110,4.3,22.8,0.0085,,
0.8935,111,4.9,22.8,0.0085,,
0.9015,112,5.4,22.8,0.0075,,
0.9100,113,5.9,22.8,0.0075,,
0.9185,114,6.4,22.8,0.0075,,
0.9260,115,6.9,22.8,0.0075,,
0.9345,116,7.5,22.8,0.0085,,
0.9430,117,8.2,22.8,0.0085,,
0.9515,118,9.0,22.8,0.0075,,
0.9600,119,9.9,22.8,0.0075,,
0.9685,120,10.7,22.8,0.0075,,
0.9760,121,11.4,22.8,0.0075,,
0.9845,122,12.2,22.8,0.0085,,
0.9930,123,13.0,22.8,0.0085,,
1.0010,124,13.8,22.8,0.0075,,
1.0095,125,14.5,22.8,0.0075,,
1.0180,126,15.3,22.8,0.0075,,
1.0265,127,15.9,22.8,0.0085,,
1.0340,128,16.8,22.8,0.0075,,
1.0425,129,17.6,22.8,0.0085,,
1.0510,130,18.5,22.8,0.0075,,
1.0595,131,19.5,22.8,0.0075,,
1.0675,132,20.5,22.8,0.0075,,
1.0760,133,21.4,22.8,0.0085,,
1.0835,134,22.5,22.8,0.0075,,
1.0920,135,23.7,22.8,0.0085,,
1.1005,136,24.8,22.8,0.0085,,
1.1090,137,26.1,22.8,0.0075,,
1.1175,138,27.2,22.8,0.0075,,
1.1260,139,28.6,22.8,0.0075,,
1.1335,140,29.8,22.8,0.0075,,
1.1420,141,31.3,22.8,0.0085,,
1.1500,142,32.9,22.8,0.0080,,
1.1585,143,34.6,22.8,0.0075,,
1.1670,144,36.4,22.8,0.0075,,
1.1755,145,38.5,22.8,0.0075,,
1.1830,146,40.6,22.8,0.0075,,
1.1915,147,43.0,22.8,0.0085,,
1.2000,148,45.8,22.8,0.0085,,
1.2085,149,48.9,22.8,0.0075,,
1.2170,150,52.3,22.8,0.0075,,
1.2250,151,56.2,22.8,0.0075,,
1.2330,152,60.1,22.8,0.0080,,
1.2410,153,65.0,22.8,0.0080,,
1.2495,154,70.6,22.8,0.0085,,
1.2580,155,77.0,22.8,0.0075,,
1.2665,156,83.7,22.8,0.0075,,
1.2750,157,90.7,22.8,0.0075,,
1.2835,158,97.4,22.8,0.0085,,
1.2910,159,105.0,22.8,0.0075,,
1.2995,160,113.1,22.8,0.0085,,
1.3075,161,121.2,22.8,0.0075,,
1.3160,162,129.1,22.8,0.0075,,
1.3245,163,137.1,22.8,0.0075,,
1.3330,164,144.2,22.8,0.0085,,
1.3405,165,151.5,22.8,0.0075,,
1.3490,166,158.2,22.8,0.0085,,
1.3575,167,164.3,22.8,0.0075,,
1.3660,168,169.6,22.8,0.0075,,
1.3745,169,174.2,22.8,0.0075,,
1.3825,170,178.1,22.8,0.0075,,
1.3905,171,181.1,22.8,0.0080,,
1.3985,172,184.0,22.8,0.0080,,
1.4040,173,185.2,22.8,0.0080,,
1.4040,413,194.0,22.9,0.0000,,
1.4045,414,194.0,22.9,0.0005,,
1.4060,415,194.1,22.9,0.0020,,
1.4085,416,194.1,22.9,0.0030,,
1.4125,417,194.2,22.9,0.0045,,
1.4185,418,194.3,22.9,0.0065,,
1.4270,419,194.8,22.9,0.0095,,
1.4345,420,195.2,22.9,0.0095,,
1.4430,421,196.1,22.9,0.0105,,
1.4515,422,196.9,22.9,0.0105,,
1.4595,423,197.7,22.9,0.0090,,
1.4680,424,198.8,22.9,0.0095,,
1.4765,425,199.6,22.9,0.0095,,
1.4840,426,200.3,22.9,0.0095,,
1.4925,427,201.2,22.9,0.0105,,
1.5010,428,202.0,22.9,0.0105,,
1.5095,429,202.9,22.9,0.0095,,
1.5180,430,203.6,22.9,0.0095,,
1.5265,431,204.3,22.9,0.0095,,
1.5345,432,205.0,22.9,0.0090,,
1.5425,433,205.6,22.9,0.0100,,
1.5505,434,206.3,22.9,0.0100,,
1.5590,435,206.9,22.9,0.0105,,
1.5675,436,207.5,22.9,0.0095,,
1.5760,437,208.2,22.9,0.0095,,
1.5845,438,208.8,22.9,0.0095,,
1.5920,439,209.2,22.9,0.0095,,
1.6005,440,209.8,22.9,0.0105,,
1.6090,441,210.3,22.9,0.0105,,
1.6170,442,211.0,22.9,0.0090,,
1.6255,443,211.5,22.9,0.0095,,
1.6340,444,212.0,22.9,0.0095,,
1.6415,445,212.5,22.9,0.0095,,
1.6500,446,213.0,22.9,0.0105,,
1.6585,447,213.4,22.9,0.0105,,
1.6670,448,213.9,22.9,0.0095,,
1.6755,449,214.4,22.9,0.0095,,
1.6840,450,214.8,22.9,0.0095,,
