Task,T4220
Scope 1/1, Sample 1/4 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-55.8,20.8,NaN,,
0.0005,1,-57.2,20.8,0.0005,,
0.0025,2,-57.5,20.8,0.0020,,
0.0050,3,-57.6,20.8,0.0025,,
0.0090,4,-57.7,20.8,0.0035,,
0.0155,5,-57.8,20.8,0.0060,,
0.0235,6,-58.0,20.8,0.0080,,
0.0315,7,-58.1,20.8,0.0080,,
0.0395,8,-58.0,20.8,0.0080,,
0.0480,9,-58.0,20.8,0.0075,,
0.0565,10,-57.9,20.8,0.0075,,
0.0650,11,-57.7,20.8,0.0075,,
0.0725,12,-57.5,20.8,0.0075,,
0.0810,13,-57.2,20.8,0.0085,,
0.0895,14,-57.0,20.8,0.0085,,
0.0980,15,-56.6,20.8,0.0075,,
0.1065,16,-56.2,20.8,0.0075,,
0.1150,17,-55.8,20.8,0.0085,,
0.1225,18,-55.3,20.8,0.0075,,
0.1310,19,-54.7,20.8,0.0085,,
0.1395,20,-54.1,20.8,0.0075,,
0.1475,21,-53.5,20.8,0.0075,,
0.1560,22,-52.8,20.8,0.0075,,
0.1640,23,-52.1,20.8,0.0080,,
0.1720,24,-51.3,20.8,0.0080,,
0.1805,25,-50.5,20.8,0.0085,,
0.1890,26,-49.6,20.8,0.0075,,
0.1975,27,-48.8,20.8,0.0075,,
0.2060,28,-48.0,20.8,0.0075,,
0.2135,29,-47.3,20.8,0.0075,,
0.2220,30,-46.5,20.8,0.0085,,
0.2305,31,-45.7,20.8,0.0075,,
0.2390,32,-44.9,20.8,0.0075,,
0.2475,33,-44.0,20.8,0.0075,,
0.2555,34,-43.3,20.8,0.0080,,
0.2635,35,-42.6,20.8,0.0080,,
0.2720,36,-41.9,20.8,0.0085,,
0.2800,37,-41.1,20.8,0.0075,,
0.2885,38,-40.4,20.8,0.0075,,
0.2970,39,-39.7,20.8,0.0075,,
0.3045,40,-39.0,20.8,0.0075,,
0.3130,41,-38.3,20.8,0.0085,,
0.3215,42,-37.6,20.8,0.0075,,
0.3300,43,-36.9,20.8,0.0075,,
0.3385,44,-36.3,20.8,0.0075,,
0.3470,45,-35.7,20.8,0.0085,,
0.3545,46,-35.1,20.8,0.0075,,
0.3630,47,-34.4,20.8,0.0085,,
0.3715,48,-33.8,20.8,0.0075,,
0.3800,49,-33.2,20.8,0.0075,,
0.3880,50,-32.6,20.8,0.0075,,
0.3960,51,-32.1,20.8,0.0080,,
0.4040,52,-31.5,20.8,0.0080,,
0.4125,53,-31.0,20.8,0.0085,,
0.4210,54,-30.5,20.8,0.0075,,
0.4295,55,-29.9,20.8,0.0075,,
0.4380,56,-29.5,20.8,0.0085,,
0.4455,57,-28.9,20.8,0.0075,,
0.4540,58,-28.4,20.8,0.0085,,
0.4625,59,-27.9,20.8,0.0075,,
0.4710,60,-27.4,20.8,0.0075,,
0.4795,61,-26.9,20.8,0.0075,,
0.4870,62,-26.3,20.8,0.0075,,
0.4955,63,-25.8,20.8,0.0085,,
0.5040,64,-25.3,20.8,0.0085,,
0.5125,65,-24.7,20.8,0.0075,,
0.5205,66,-24.2,20.8,0.0075,,
0.5290,67,-23.7,20.8,0.0075,,
0.5370,68,-23.3,20.8,0.0080,,
0.5450,69,-22.8,20.8,0.0080,,
