Task,T4258
Scope 1/1, Sample 1/32 (Junk2)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-52.3,18.3,NaN,,
0.0010,1,-54.0,18.3,0.0010,,
0.0025,2,-54.2,18.3,0.0015,,
0.0050,3,-54.4,18.3,0.0025,,
0.0085,4,-54.7,18.3,0.0030,,
0.0150,5,-54.9,18.3,0.0060,,
0.0230,6,-55.1,18.3,0.0075,,
0.0315,7,-55.3,18.3,0.0075,,
0.0400,8,-55.3,18.3,0.0075,,
0.0485,9,-55.4,18.3,0.0075,,
0.0560,10,-55.4,18.3,0.0070,,
0.0645,11,-55.3,18.3,0.0075,,
0.0730,12,-55.0,18.3,0.0075,,
0.0815,13,-54.9,18.3,0.0075,,
0.0895,14,-54.5,18.3,0.0075,,
0.0980,15,-54.3,18.3,0.0085,,
0.1055,16,-53.9,18.3,0.0070,,
0.1140,17,-53.5,18.3,0.0075,,
0.1225,18,-53.1,18.3,0.0075,,
0.1310,19,-52.5,18.3,0.0075,,
0.1395,20,-52.0,18.3,0.0075,,
0.1480,21,-51.4,18.3,0.0085,,
0.1555,22,-50.8,18.3,0.0070,,
0.1640,23,-50.2,18.3,0.0075,,
0.1725,24,-49.6,18.3,0.0075,,
0.1805,25,-48.9,18.3,0.0075,,
0.1890,26,-48.1,18.3,0.0075,,
0.1975,27,-47.4,18.3,0.0075,,
0.2050,28,-46.7,18.3,0.0070,,
0.2135,29,-45.9,18.3,0.0075,,
0.2220,30,-45.0,18.3,0.0075,,
0.2305,31,-44.1,18.3,0.0075,,
0.2390,32,-43.4,18.3,0.0075,,
0.2475,33,-42.6,18.3,0.0075,,
0.2550,34,-41.8,18.3,0.0070,,
0.2635,35,-41.1,18.3,0.0075,,
0.2715,36,-40.4,18.3,0.0075,,
0.2800,37,-39.6,18.3,0.0075,,
0.2885,38,-38.9,18.3,0.0075,,
0.2970,39,-38.2,18.3,0.0075,,
0.3045,40,-37.6,18.3,0.0070,,
0.3130,41,-36.9,18.3,0.0075,,
0.3215,42,-36.2,18.3,0.0075,,
0.3300,43,-35.5,18.3,0.0075,,
0.3380,44,-34.9,18.3,0.0075,,
0.3465,45,-34.3,18.3,0.0075,,
0.3540,46,-33.6,18.3,0.0070,,
0.3625,47,-33.0,18.3,0.0075,,
0.3710,48,-32.5,18.3,0.0075,,
0.3795,49,-31.9,18.3,0.0075,,
0.3880,50,-31.3,18.3,0.0075,,
0.3965,51,-30.8,18.3,0.0075,,
0.4040,52,-30.4,18.3,0.0070,,
0.4125,53,-29.8,18.3,0.0075,,
0.4210,54,-29.2,18.3,0.0075,,
0.4290,55,-28.7,18.3,0.0075,,
0.4375,56,-28.1,18.3,0.0075,,
0.4460,57,-27.7,18.3,0.0075,,
0.4545,58,-27.3,18.3,0.0075,,
0.4620,59,-26.8,18.3,0.0070,,
0.4705,60,-26.2,18.3,0.0075,,
0.4790,61,-25.7,18.3,0.0075,,
0.4875,62,-25.3,18.3,0.0075,,
0.4955,63,-24.7,18.3,0.0075,,
0.5040,64,-24.3,18.3,0.0075,,
0.5115,65,-23.9,18.3,0.0070,,
0.5200,66,-23.4,18.3,0.0075,,
0.5285,67,-22.9,18.3,0.0075,,
0.5370,68,-22.4,18.3,0.0075,,
0.5455,69,-22.0,18.3,0.0075,,
0.5540,70,-21.4,18.3,0.0075,,
0.5615,71,-21.0,18.3,0.0070,,
0.5700,72,-20.6,18.3,0.0075,,
0.5785,73,-20.2,18.3,0.0075,,
0.5865,74,-19.7,18.3,0.0075,,
0.5950,75,-19.3,18.3,0.0075,,
0.6035,76,-18.9,18.3,0.0075,,
0.6110,77,-18.6,18.3,0.0070,,
0.6195,78,-18.2,18.3,0.0075,,
0.6280,79,-17.7,18.3,0.0075,,
0.6365,80,-17.3,18.3,0.0075,,
0.6450,81,-16.9,18.3,0.0075,,
0.6530,82,-16.4,18.3,0.0075,,
0.6610,83,-16.0,18.3,0.0075,,
0.6695,84,-15.6,18.3,0.0075,,
0.6775,85,-15.2,18.3,0.0075,,
0.6860,86,-14.8,18.3,0.0075,,
0.6945,87,-14.3,18.3,0.0075,,
0.7030,88,-14.0,18.3,0.0075,,
0.7105,89,-13.6,18.3,0.0070,,
0.7190,90,-13.2,18.3,0.0075,,
0.7275,91,-12.7,18.3,0.0075,,
0.7360,92,-12.4,18.3,0.0075,,
0.7440,93,-11.9,18.3,0.0075,,
0.7525,94,-11.5,18.3,0.0075,,
0.7605,95,-11.1,18.3,0.0075,,
0.7685,96,-10.7,18.3,0.0075,,
0.7770,97,-10.3,18.3,0.0075,,
0.7855,98,-9.8,18.3,0.0075,,
0.7940,99,-9.4,18.3,0.0075,,
0.8025,100,-9.0,18.3,0.0075,,
0.8100,101,-8.7,18.3,0.0070,,
0.8185,102,-8.2,18.3,0.0075,,
0.8270,103,-7.8,18.3,0.0075,,
0.8355,104,-7.5,18.3,0.0075,,
0.8435,105,-7.1,18.3,0.0075,,
0.8520,106,-6.7,18.3,0.0075,,
0.8595,107,-6.3,18.3,0.0070,,
0.8680,108,-5.9,18.3,0.0075,,
0.8765,109,-5.6,18.3,0.0075,,
0.8850,110,-5.1,18.3,0.0075,,
0.8935,111,-4.5,18.3,0.0075,,
0.9020,112,-3.9,18.3,0.0075,,
0.9100,113,-3.4,18.3,0.0075,,
0.9180,114,-3.0,18.3,0.0075,,
0.9260,115,-2.6,18.3,0.0075,,
0.9345,116,-2.0,18.3,0.0075,,
0.9430,117,-1.4,18.3,0.0075,,
0.9515,118,-1.0,18.3,0.0075,,
0.9600,119,-0.6,18.3,0.0085,,
0.9675,120,-0.1,18.3,0.0070,,
0.9760,121,0.0,18.3,0.0075,,
0.9845,122,0.1,18.3,0.0075,,
0.9930,123,0.6,18.3,0.0075,,
1.0010,124,1.1,18.3,0.0075,,
1.0095,125,1.6,18.3,0.0075,,
1.0170,126,2.0,18.3,0.0070,,
1.0255,127,2.7,18.3,0.0075,,
1.0340,128,3.5,18.3,0.0075,,
1.0425,129,3.5,18.3,0.0075,,
1.0510,130,4.1,18.3,0.0075,,
1.0595,131,4.6,18.3,0.0075,,
1.0670,132,5.1,18.3,0.0070,,
1.0755,133,5.5,18.3,0.0075,,
1.0840,134,5.9,18.3,0.0075,,
1.0920,135,6.4,18.3,0.0075,,
1.1005,136,6.8,18.3,0.0075,,
1.1090,137,7.2,18.3,0.0075,,
1.1165,138,7.7,18.3,0.0070,,
1.1250,139,8.4,18.3,0.0075,,
1.1335,140,9.1,18.3,0.0075,,
1.1420,141,9.7,18.3,0.0075,,
1.1505,142,10.5,18.3,0.0075,,
1.1590,143,11.2,18.3,0.0075,,
1.1665,144,11.9,18.3,0.0070,,
1.1750,145,12.6,18.3,0.0075,,
