"SampleID","TA","Mass","Sample.Index","TA_evap"
"JUNK1",2303.49456282942,60.1138,1,2303.49456282942
"JUNK2",2333.61196484672,60.2653,2,2332.27923385595
"A11_D_CH9_V17",2285.70406318992,59.771,3,2283.09481197624
"A11_L_CH9_V17",2310.61605547599,59.0817,4,2306.66177814203
"A11_D_CH10_V14",2278.83252394658,60.1824,5,2273.63564247806
"A11_TO_3_3_CH10",2449.36965496087,59.8934,6,2442.39139383562
"A11_D_CH8_V20",2222.21771091537,59.5859,7,2214.62471190313
"A11_L_CH6_BLANK",2365.38654210934,59.7643,8,2355.96269134396
"A11_L_CH10_V14",2334.923649414,59.9735,9,2324.29828582168
"A11_D_CH6_BLANK",2365.2353521048,59.9108,10,2353.1335225602
"A11_L_CH7_V9",2316.2945686168,59.6715,11,2303.13380402238
"A12_L_CH9_V37",2362.20375547994,60.01,12,2347.44836575235
"A12_TO_1_CH7",2380.81959871573,59.6919,13,2364.60516331017
"A12_D_CH6_BLANK",2373.33789246838,59.9024,14,2355.83738617111
"A12_D_CH10_V34",2301.49601394965,60.432,15,2283.2301725691
"A12_L_CH8_V40",2368.48621697585,60.1189,16,2348.3574389279
"A12_L_CH6_BLANK",2370.26015682278,59.8034,17,2348.78554611544
"A12_TO_2_CH8",2370.6255947,59.5796,18,2347.81821772778
"A12_D_CH9_V37",2303.14071807996,60.2266,19,2279.69245285064
"A12_TO_3_CH10",2366.68924878063,60.2165,20,2341.26974865241
"A12_L_CH10_V34",2333.8505597271,60.0159,21,2307.47936696183
"A12_D_CH7_V29",2368.41224195909,60.3085,22,2340.32830233111
"A12_D_CH8_V40",2360.761583647,59.9286,23,2331.45190258592
"A12_L_CH7_V29",2373.72868055653,59.8523,24,2342.93580991197
