Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample Index In Scope,Sample ID1,Sample start time,Overall State,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],,Density [g/m L],Unit of Density [g/m L]
1,Junk,4/4/2018 11:23:34 AM,OK,Unchecked,0,,25.0,°C,,2.410,mL,,60.254,g,,60.2545,g,,1.0,g/mL
2,RB4-2-Dark,4/4/2018 11:34:17 AM,OK,Unchecked,0,,25.0,°C,,2.414,mL,,60.087,g,,60.0869,g,,1.0,g/mL
3,RB3-2-Dark,4/4/2018 11:44:52 AM,OK,Unchecked,0,,25.0,°C,,2.412,mL,,60.035,g,,60.0350,g,,1.0,g/mL
4,RB2-2-Dark,4/4/2018 11:55:27 AM,OK,Unchecked,0,,25.0,°C,,2.418,mL,,60.152,g,,60.1515,g,,1.0,g/mL
5,RB1-2-Dark,4/4/2018 12:06:00 PM,OK,Unchecked,0,,25.0,°C,,2.419,mL,,60.165,g,,60.1650,g,,1.0,g/mL
6,OF4-2-Dark,4/4/2018 12:16:36 PM,OK,Unchecked,0,,25.0,°C,,2.409,mL,,60.203,g,,60.2034,g,,1.0,g/mL
7,OF3-2-Dark,4/4/2018 12:27:13 PM,OK,Unchecked,0,,25.0,°C,,2.406,mL,,59.795,g,,59.7954,g,,1.0,g/mL
8,OF2-2-Dark,4/4/2018 12:37:46 PM,OK,Unchecked,0,,25.0,°C,,2.414,mL,,60.128,g,,60.1284,g,,1.0,g/mL
9,OF1-2-Dark,4/4/2018 12:48:23 PM,OK,Unchecked,0,,25.0,°C,,2.422,mL,,60.179,g,,60.1787,g,,1.0,g/mL
10,BK2-2 -Dark,4/4/2018 12:58:58 PM,OK,Unchecked,0,,25.0,°C,,2.418,mL,,60.204,g,,60.2039,g,,1.0,g/mL
11,BK1-2 -Dark,4/4/2018 1:09:33 PM,OK,Unchecked,0,,25.0,°C,,2.420,mL,,60.252,g,,60.2524,g,,1.0,g/mL
12,start 2c-Dark,4/4/2018 1:20:08 PM,OK,Unchecked,0,,25.0,°C,,2.422,mL,,60.388,g,,60.3880,g,,1.0,g/mL
13,start 2b-Dark,4/4/2018 1:30:46 PM,OK,Unchecked,0,,25.0,°C,,2.407,mL,,59.971,g,,59.9710,g,,1.0,g/mL
14,start 2a-Dark,4/4/2018 1:41:21 PM,OK,Unchecked,0,,25.0,°C,,2.407,mL,,60.033,g,,60.0330,g,,1.0,g/mL
15,OF4-2-Light,4/4/2018 1:51:55 PM,OK,Unchecked,0,,25.0,°C,,2.384,mL,,60.188,g,,60.1876,g,,1.0,g/mL
16,OF3-2-Light,4/4/2018 2:02:30 PM,OK,Unchecked,0,,25.0,°C,,2.375,mL,,59.950,g,,59.9503,g,,1.0,g/mL
17,OF2-2-Light,4/4/2018 2:13:01 PM,OK,Unchecked,0,,25.0,°C,,2.406,mL,,60.216,g,,60.2160,g,,1.0,g/mL
18,OF1-2-Light,4/4/2018 2:23:37 PM,OK,Unchecked,0,,25.0,°C,,2.384,mL,,59.871,g,,59.8710,g,,1.0,g/mL
19,RB4-2-Light,4/4/2018 2:34:10 PM,OK,Unchecked,0,,25.0,°C,,2.396,mL,,59.938,g,,59.9384,g,,1.0,g/mL
20,RB3-2-Light,4/4/2018 2:44:41 PM,OK,Unchecked,0,,25.0,°C,,2.390,mL,,59.966,g,,59.9658,g,,1.0,g/mL
21,RB2-2-Light,4/4/2018 2:55:13 PM,OK,Unchecked,0,,25.0,°C,,2.385,mL,,59.826,g,,59.8258,g,,1.0,g/mL
22,RB1-2-Light,4/4/2018 3:05:47 PM,OK,Unchecked,0,,25.0,°C,,2.384,mL,,59.999,g,,59.9992,g,,1.0,g/mL
23,BK2-2-Light,4/4/2018 3:16:17 PM,OK,Unchecked,0,,25.0,°C,,2.394,mL,,59.842,g,,59.8420,g,,1.0,g/mL
24,BK1-2-Light,4/4/2018 3:26:54 PM,OK,Unchecked,0,,25.0,°C,,2.392,mL,,60.046,g,,60.0455,g,,1.0,g/mL
25,start 2c-Light,4/4/2018 3:37:27 PM,OK,Unchecked,0,,25.0,°C,,2.390,mL,,59.938,g,,59.9377,g,,1.0,g/mL
26,start 2b-Light,4/4/2018 3:48:01 PM,OK,Unchecked,0,,25.0,°C,,2.404,mL,,59.845,g,,59.8452,g,,1.0,g/mL
27,start 2a-Light,4/4/2018 3:58:35 PM,OK,Unchecked,0,,25.0,°C,,2.396,mL,,60.158,g,,60.1577,g,,1.0,g/mL
SystemInternal4/4/2018 4:10:59 PM,,,,,,,,,,,,,,,,,,1/1,,
