"SampleID","TA","Mass","Sample.Index"
"Junk",2298.06007533079,60.2545,1
"RB4-2-Dark",2341.1286838299,60.0869,2
"RB3-2-Dark",2338.17248462192,60.035,3
"RB2-2-Dark",2335.32598387608,60.1515,4
"RB1-2-Dark",2338.63861714889,60.165,5
"OF4-2-Dark",2322.35250388819,60.2034,6
"OF3-2-Dark",2332.62411098111,59.7954,7
"OF2-2-Dark",2339.66960766839,60.1284,8
"OF1-2-Dark",2336.82219954069,60.1787,9
"BK2-2 -Dark",2337.29461704624,60.2039,10
"BK1-2 -Dark",2330.9286842142,60.2524,11
"start 2c-Dark",2335.48770227836,60.388,12
"start 2b-Dark",2337.69300027818,59.971,13
"start 2a-Dark",2337.17212008617,60.033,14
"OF4-2-Light",2302.24955310496,60.1876,15
"OF3-2-Light",2309.25336722183,59.9503,16
"OF2-2-Light",2338.91258009839,60.216,17
"OF1-2-Light",2314.64261004643,59.871,18
"RB4-2-Light",2323.59012226133,59.9384,19
"RB3-2-Light",2318.14126964501,59.9658,20
"RB2-2-Light",2323.03056887887,59.8258,21
"RB1-2-Light",2319.2815937847,59.9992,22
"BK2-2-Light",2329.3311426153,59.842,23
"BK1-2-Light",2326.14587424853,60.0455,24
"start 2c-Light",2325.52428860149,59.9377,25
"start 2b-Light",2359.50950074476,59.8452,26
"start 2a-Light",2321.59620193914,60.1577,27
