"SampleID","TA","Mass","Sample.Index"
"Junk",2286.34503585619,59.9626,1
"CRM",2225.77905384638,60.0009,2
"OF1-7-Dark",2319.41399873417,59.9137,3
"OF2-7-Dark",2316.67792732123,60.3422,4
"OF3-7-Dark",2274.34898991761,59.9928,5
"OF4-7-Dark",2306.60785343011,60.2638,6
"RB1-7-Dark",2289.5521811921,59.88,7
"RB2-7-Dark",2315.86681867294,60.1271,8
"RB3-7-Dark",2317.2257707257,60.2643,9
"RB4-7-Dark",2322.31523435213,60.1245,10
"BK2-7-Dark",2310.56864881056,60.1439,11
"OF2-7-Light",2303.85481527075,60.215,12
"OF3-7-Light",2270.41949863479,60.1907,13
"RB2-7-Light",2303.26202475346,59.8236,14
"RB3-7-Light",2301.49956723887,60.1102,15
"RB4-7-Light",2311.17106829518,60.2596,16
"start 7b-Light",2323.78642464919,59.9344,17
"start 7c-Light",2325.54543085699,60.2085,18
"start 10c-Dark",2320.62850874257,59.8233,19
"BK1-7-Light",2325.62249328886,59.914,20
