Table of Measured Values,,,,,,
Task,T634,,,,,
Scope 1/1, Sample 1/6 (Junk),,,,,
Result,TitrationEP1,,,,,
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0,0,-75.2,21.7,NaN,,
0.0005,1,-75.2,21.7,0.0005,,
0.0025,2,-75.2,21.7,0.002,,
0.005,3,-75.1,21.7,0.0025,,
0.009,4,-75.2,21.7,0.0035,,
0.015,5,-75.1,21.7,0.0055,,
0.0235,6,-75.1,21.7,0.0075,,
0.031,7,-74.8,21.7,0.0075,,
0.0395,8,-74.4,21.7,0.0085,,
0.048,9,-73.9,21.7,0.0075,,
0.0565,10,-73.3,21.7,0.0075,,
0.065,11,-72.7,21.7,0.0075,,
0.0735,12,-71.8,21.7,0.0075,,
0.082,13,-71,21.7,0.0085,,
0.0895,14,-70.2,21.7,0.0075,,
0.098,15,-69.2,21.7,0.0085,,
0.106,16,-68.1,21.7,0.0075,,
0.1145,17,-67,21.7,0.0075,,
0.123,18,-65.8,21.7,0.0075,,
0.1315,19,-64.7,21.7,0.0085,,
0.139,20,-63.3,21.7,0.0075,,
0.1475,21,-62,21.7,0.0085,,
0.156,22,-60.7,21.7,0.0075,,
0.1645,23,-59.2,21.7,0.0075,,
0.173,24,-57.6,21.7,0.0075,,
0.181,25,-56.1,21.7,0.008,,
0.189,26,-54.6,21.7,0.008,,
0.197,27,-52.9,21.7,0.008,,
0.2055,28,-51.1,21.7,0.0075,,
0.214,29,-49.2,21.7,0.0075,,
0.2225,30,-47.5,21.7,0.0075,,
0.231,31,-45.4,21.7,0.0085,,
0.2385,32,-42.9,21.7,0.0075,,
0.247,33,-41.2,21.7,0.0085,,
0.2555,34,-39.4,21.7,0.0075,,
0.2635,35,-37.5,21.7,0.0075,,
0.272,36,-35.6,21.7,0.0075,,
0.2805,37,-33.7,21.7,0.0075,,
0.288,38,-32.2,21.7,0.0075,,
0.2965,39,-30.5,21.7,0.0085,,
0.305,40,-29.1,21.7,0.0075,,
0.3135,41,-27.5,21.7,0.0075,,
0.322,42,-25.9,21.7,0.0075,,
0.3305,43,-24.5,21.7,0.0075,,
0.338,44,-23.3,21.7,0.0075,,
0.3465,45,-21.8,21.7,0.0085,,
0.3545,46,-20.6,21.7,0.0075,,
0.363,47,-19.4,21.7,0.0075,,
0.3715,48,-18.3,21.7,0.0075,,
0.38,49,-17.1,21.7,0.0075,,
0.3875,50,-16,21.7,0.0075,,
