Date collected,Fragment.ID,Salinity,Date Run,Run By (Initials),TA
20171001,start 2a-Light,37.93,4/4/2018,JM,2321.6
20171001,start 2b-Light,37.79,4/4/2018,JM,2359.51
20171001,start 2c-Light,37.74,4/4/2018,JM,2325.52
20171001,OF1-2-Light,37.79,4/4/2018,JM,2314.64
20171001,OF3-2-Light,37.81,4/4/2018,JM,2309.25
20171001,OF4-2-Light,37.81,4/4/2018,JM,2302.25
20171001,PA1-2-Light,,,,
20171001,PA3-2-Light,,,,
20171001,PA4-2-Light,,,,
20171001,OF2-2-Light,37.81,4/4/2018,JM,2338.91
20171001,PA2-2-Light,,,,
20171001,RB2-2-Light,37.8,4/4/2018,JM,2323.03
20171001,RB3-2-Light,37.77,4/4/2018,JM,2318.14
20171001,RB1-2-Light,37.79,4/4/2018,JM,2319.28
20171001,BK1-2-Light,37.79,4/4/2018,JM,2326.15
20171001,BK2-2-Light,37.8,4/4/2018,JM,2329.33
20171001,RB4-2-Light,37.83,4/4/2018,JM,2323.59
20171001,RB4-2-Dark,38.03,4/4/2018,JM,2341.13
20171001,BK1-2-Dark,38.08,4/4/2018,JM,2330.93
20171001,RB2-2-Dark,38.04,4/4/2018,JM,2335.33
20171001,PA3-2-Dark,,,,
20171001,RB1-2-Dark,38.01,4/4/2018,JM,2338.64
20171001,OF3-2-Dark,38.02,4/4/2018,JM,2332.62
20171001,OF4-2-Dark,38.04,4/4/2018,JM,2322.35
20171001,OF2-2-Dark,38.02,4/4/2018,JM,2339.67
20171001,OF1-2-Dark,38,4/4/2018,JM,2336.82
20171001,PA4-2 -Dark,,,,
20171001,RB3-2-Dark,38.09,4/4/2018,JM,2338.17
20171001,PA2-2-Dark,,,,
20171001,PA1-2-Dark,,,,
20171001,BK2-2 -Dark,38.05,4/4/2018,JM,2337.29
20171001,start 2a-Dark,38.05,4/4/2018,JM,2337.17
20171001,start 2b-Dark,38.07,4/4/2018,JM,2337.69
20171001,start 2c-Dark,38.05,4/4/2018,JM,2335.49
20171001,start 1a-Light,37.95,4/2/2018,JM,2335.48
20171001,start 1b-Light,37.95,4/2/2018,JM,2337.92
20171001,start 1c-Light,37.94,4/2/2018,JM,2334.56
20171001,PA1-1-Light,,,,
20171001,OF1-1-Light,37.96,4/2/2018,JM,2316.01
20171001,RB1-1-Light,37.91,4/2/2018,JM,2231.48
20171001,PA2-1-Light,,,,
20171001,OF2-1-Light,37.92,4/2/2018,JM,2329.81
20171001,RB2-1-Light,37.96,4/2/2018,JM,2319.94
20171001,PA3-1-Light,,,,
20171001,RB3-1-Light,37.91,4/2/2018,JM,2317.5
20171001,OF3-1-Light,37.94,4/2/2018,JM,2313.79
20171001,PA4-1-Light,,,,
20171001,OF4-1-Light,37.96,4/2/2018,JM,2312.58
20171001,RB4-1-Light,37.93,4/2/2018,JM,2320.4
20171001,BK1-1-Light,37.96,4/2/2018,JM,2325.14
20171001,BK2-1-Light,37.93,4/2/2018,JM,2330.44
20171001,RB3-1-Dark,37.8,4/20/2018,ES,2329.42
20171001,OF2-1-Dark,37.62,4/20/2018,ES,2327.33
20171001,OF3-1-Dark,37.81,4/20/2018,ES,2316.52
20171001,PA3-1-Dark,,,,
20171001,PA2-1-Dark,,,,
20171001,BK2-1-Dark,38,4/9/2018,JM,2322.51
20171001,BK1-1-Dark,37.93,4/9/2018,JM,2328.03
20171001,start 1a -Dark,37.91,4/9/2018,JM,2329.44
20171001,start 1b -Dark,37.96,4/9/2018,JM,2330.55
20171001,start 1c -Dark,37.97,4/9/2018,JM,2331.18
20171001,RB4-1-Dark,37.9,4/9/2018,JM,2326.24
20171001,RB1-1-Dark,37.98,4/9/2018,JM,2335.95
20171001,OF4-1-Dark,37.96,4/9/2018,JM,2323.59
20171001,OF1-1-Dark,38.06,4/9/2018,JM,2322.83
20171001,PA1-1-Dark,,,,
20171001,PA4-1-Dark,,,,
20171001,RB2-1-Dark,38.01,4/9/2018,JM,2323.53
20171002,start 3a -Light,,,,
20171002,start 3b-Light,,,,
20171002,start 3b-Light,,,,
20171002,OF2-3-Light,,,,
20171002,PA3-3 -Light,,,,
20171002,RB4-3-Light,,,,
20171002,PA4-3-Light,,,,
20171002,PA1-3-Light,,,,
20171002,RB3-3-Light,,,,
20171002,RB1-3-Light,,,,
20171002,OF3-3-Light,,,,
20171002,PA2-3-Light,,,,
20171002,OF4-3-Light,,,,
20171002,OF1-3-Light,,,,
20171002,RB2-3-Light,,,,
20171002,BK1-3-Light,,,,
20171002,BK2-3-Light,,,,
20171002,BK1-3-Dark,,,,
20171002,RB3-3-Dark,,,,
20171002,PA2-3-Dark,,,,
20171002,PA3-3-Dark,,,,
20171002,OF3-3-Dark,,,,
20171002,PA1-3-Dark,,,,
20171002,start 3a -Dark,,,,
20171002,start 3b-Dark,,,,
20171002,start 3c-Dark,,,,
20171002,OF2-3-Dark,,,,
20171002,PA4-3-Dark,,,,
20171002,OF1-3-Dark,,,,
20171002,RB4-3-Dark,,,,
20171002,BK2-3-Dark,,,,
20171002,RB2-3-Dark,,,,
20171002,RB1-3-Dark,,,,
20171002,OF4-3-Dark,,,,
20171002,Start 4a-Light,,,,
20171002,Start 4b-Light,,,,
20171002,Start 4c-Light,,,,
20171002,OF3-4-Light,,,,
20171002,OF1-4-Light,,,,
20171002,PA3-4-Light,,,,
20171002,PA2-4-Light,,,,
20171002,RB3-4-Light,,,,
20171002,OF4-4-Light,,,,
20171002,RB1-4-Light,,,,
20171002,PA1-4-Light,,,,
20171002,RB2-4-Light,,,,
20171002,PA4-4-Light,,,,
20171002,RB4-4-Light,,,,
20171002,OF2-4-Light,,,,
20171002,BK1-4-Light,,,,
20171002,BK2-4-Light,,,,
20171002,OF3-4-Dark,,,,
20171002,OF1-4-Dark,,,,
20171002,PA3-4-Dark,,,,
20171002,OF2-4-Dark,,,,
20171002,PA2-4-Dark,,,,
20171002,RB3-4-Dark,,,,
20171002,OF4-4-Dark,,,,
20171002,RB1-4-Dark,,,,
20171002,PA1-4-Dark,,,,
20171002,PA4-4-Dark,,,,
20171002,RB2-4-Dark,,,,
20171002,RB4-4-Dark,,,,
20171002,BK2-4-Dark,,,,
20171002,BK1-4-Dark,,,,
20171002,Start 4a-Dark,,,,
20171002,Start 4b-Dark,,,,
20171002,Start 4c-Dark,,,,
20171002,PA3-5-Light,,,,
20171002,BK2-5-Light,,,,
20171002,BK1-5-Light,,,,
20171002,Start 5a-Light,,,,
20171002,Start 5b-Light,,,,
20171002,Start 5c-Light,,,,
20171002,PA4-5-Light,,,,
20171002,PA2-5-Light,,,,
20171002,OF1-5-Light,,,,
20171002,RB3-5-Light,,,,
20171002,OF4-5-Light,,,,
20171002,OF2-5-Light,,,,
20171002,RB2-5-Light,,,,
20171002,PA1-5-Light,,,,
20171002,RB4-5-Light,,,,
20171002,OF3-5-Light,,,,
20171002,RB1-5-Light,,,,
20171002,Start 5a-Dark,,,,
20171002,Start 5b-Dark,,,,
20171002,Start 5c-Dark,,,,
20171002,PA2-5-Dark,,,,
20171002,PA4-5-Dark,,,,
20171002,RB3-5-Dark,,,,
20171002,OF1-5-Dark,,,,
20171002,OF2-5-Dark,,,,
