Table of Measured Values
Task,T347
Scope 1/1, Sample 1/6 (CRM1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-60.6,20.7,NaN,,
0.0010,1,-60.6,20.7,0.0010,,
0.0025,2,-60.4,20.7,0.0015,,
0.0050,3,-60.7,20.7,0.0025,,
0.0090,4,-60.7,20.7,0.0035,,
0.0150,5,-60.7,20.7,0.0055,,
0.0235,6,-60.3,20.7,0.0075,,
0.0320,7,-60.1,20.7,0.0075,,
0.0395,8,-59.7,20.7,0.0075,,
0.0480,9,-59.7,20.7,0.0085,,
0.0565,10,-59.0,20.7,0.0075,,
0.0650,11,-58.4,20.7,0.0075,,
0.0730,12,-57.2,20.7,0.0075,,
0.0815,13,-56.2,20.7,0.0075,,
0.0890,14,-55.6,20.7,0.0075,,
0.0975,15,-54.9,20.7,0.0085,,
0.1060,16,-53.5,20.7,0.0075,,
0.1145,17,-52.0,20.7,0.0075,,
0.1230,18,-51.0,20.7,0.0075,,
0.1315,19,-49.2,20.7,0.0075,,
0.1390,20,-47.9,20.7,0.0075,,
0.1475,21,-45.9,20.7,0.0085,,
0.1560,22,-44.2,20.7,0.0075,,
0.1640,23,-42.6,20.7,0.0075,,
0.1725,24,-41.1,20.7,0.0075,,
0.1810,25,-39.1,20.7,0.0075,,
0.1885,26,-36.8,20.7,0.0075,,
0.1970,27,-35.0,20.7,0.0085,,
0.2055,28,-33.3,20.7,0.0075,,
0.2140,29,-31.5,20.7,0.0075,,
0.2225,30,-29.8,20.7,0.0075,,
0.2310,31,-28.1,20.7,0.0075,,
0.2385,32,-26.7,20.7,0.0075,,
0.2470,33,-25.2,20.7,0.0085,,
0.2555,34,-23.6,20.7,0.0075,,
0.2635,35,-22.1,20.7,0.0075,,
0.2720,36,-20.6,20.7,0.0075,,
0.2805,37,-18.8,20.7,0.0075,,
0.2880,38,-18.0,20.7,0.0075,,
0.2965,39,-16.5,20.7,0.0085,,
0.3050,40,-15.0,20.7,0.0075,,
0.3135,41,-13.7,20.7,0.0075,,
0.3220,42,-12.5,20.7,0.0075,,
0.3300,43,-11.3,20.7,0.0075,,
0.3385,44,-10.2,20.7,0.0085,,
0.3460,45,-9.2,20.7,0.0075,,
0.3545,46,-8.4,20.7,0.0085,,
0.3630,47,-6.9,20.7,0.0075,,
0.3715,48,-5.6,20.7,0.0075,,
0.3800,49,-4.9,20.7,0.0075,,
0.3885,50,-4.0,20.7,0.0085,,
0.3960,51,-2.5,20.7,0.0075,,
0.4045,52,-1.5,20.7,0.0085,,
0.4125,53,0.0,20.7,0.0075,,
0.4210,54,0.6,20.7,0.0075,,
0.4295,55,1.2,20.7,0.0075,,
0.4380,56,2.4,20.7,0.0075,,
0.4455,57,3.9,20.7,0.0075,,
0.4540,58,4.4,20.7,0.0085,,
0.4625,59,5.9,20.7,0.0075,,
0.4710,60,6.3,20.7,0.0075,,
0.4795,61,7.5,20.7,0.0075,,
0.4875,62,8.3,20.7,0.0075,,
0.4955,63,9.3,20.7,0.0080,,
0.5035,64,10.8,20.7,0.0080,,
0.5120,65,11.3,20.7,0.0075,,
0.5205,66,12.8,20.8,0.0075,,
0.5290,67,13.5,20.7,0.0075,,
0.5375,68,14.7,20.7,0.0075,,
0.5450,69,15.6,20.7,0.0075,,
0.5535,70,16.6,20.8,0.0085,,
0.5620,71,17.6,20.7,0.0075,,
0.5705,72,18.4,20.8,0.0075,,
0.5785,73,19.9,20.8,0.0075,,
0.5870,74,20.4,20.8,0.0085,,
