Task,T304
Scope 1/1, Sample 1/8 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-75.0,20.6,NaN,,
0.0010,1,-75.0,20.6,0.0010,,
0.0025,2,-75.0,20.6,0.0015,,
0.0050,3,-75.0,20.6,0.0020,,
0.0090,4,-75.0,20.6,0.0035,,
0.0150,5,-74.8,20.6,0.0055,,
0.0235,6,-74.5,20.6,0.0075,,
0.0320,7,-74.0,20.6,0.0075,,
0.0405,8,-73.5,20.6,0.0075,,
0.0490,9,-72.8,20.6,0.0075,,
0.0570,10,-72.2,20.6,0.0075,,
0.0650,11,-71.3,20.6,0.0075,,
0.0730,12,-70.5,20.6,0.0075,,
0.0815,13,-69.4,20.6,0.0075,,
0.0900,14,-68.4,20.6,0.0075,,
0.0985,15,-67.3,20.6,0.0075,,
0.1070,16,-66.4,20.6,0.0075,,
0.1145,17,-65.2,20.6,0.0070,,
0.1230,18,-64.0,20.6,0.0075,,
0.1315,19,-62.7,20.6,0.0075,,
0.1395,20,-61.4,20.6,0.0075,,
0.1480,21,-60.0,20.6,0.0075,,
0.1565,22,-58.6,20.6,0.0070,,
0.1640,23,-57.2,20.6,0.0070,,
0.1725,24,-55.6,20.6,0.0075,,
0.1810,25,-53.9,20.6,0.0075,,
0.1895,26,-52.2,20.6,0.0075,,
0.1975,27,-50.4,20.6,0.0075,,
0.2060,28,-48.7,20.6,0.0070,,
0.2135,29,-47.0,20.6,0.0070,,
0.2220,30,-45.1,20.6,0.0075,,
0.2305,31,-42.9,20.6,0.0075,,
0.2390,32,-40.8,20.6,0.0075,,
0.2475,33,-38.5,20.6,0.0075,,
0.2555,34,-36.3,20.6,0.0065,,
0.2635,35,-34.3,20.6,0.0075,,
0.2715,36,-32.0,20.6,0.0075,,
0.2800,37,-29.6,20.6,0.0075,,
0.2885,38,-27.5,20.6,0.0075,,
0.2970,39,-25.5,20.6,0.0075,,
0.3055,40,-23.5,20.6,0.0075,,
0.3130,41,-21.9,20.6,0.0070,,
0.3215,42,-20.1,20.6,0.0075,,
0.3295,43,-18.4,20.6,0.0075,,
0.3380,44,-16.9,20.6,0.0075,,
0.3465,45,-15.5,20.6,0.0075,,
0.3550,46,-14.0,20.6,0.0075,,
0.3625,47,-12.9,20.6,0.0070,,
0.3710,48,-11.5,20.6,0.0075,,
0.3795,49,-10.3,20.6,0.0075,,
0.3880,50,-9.1,20.6,0.0075,,
0.3960,51,-8.0,20.6,0.0075,,
0.4045,52,-6.8,20.6,0.0075,,
0.4130,53,-5.9,20.6,0.0075,,
0.4205,54,-4.6,20.6,0.0070,,
0.4290,55,-3.7,20.6,0.0075,,
0.4375,56,-2.7,20.6,0.0075,,
0.4460,57,-1.8,20.6,0.0075,,
0.4545,58,-0.9,20.6,0.0075,,
0.4620,59,0.0,20.6,0.0070,,
0.4705,60,0.8,20.6,0.0075,,
0.4785,61,1.7,20.6,0.0075,,
0.4870,62,2.6,20.6,0.0075,,
0.4955,63,3.6,20.6,0.0075,,
0.5040,64,4.5,20.6,0.0075,,
0.5125,65,5.2,20.6,0.0075,,
0.5200,66,6.1,20.6,0.0070,,
0.5285,67,6.9,20.6,0.0075,,
0.5365,68,7.7,20.6,0.0075,,
0.5450,69,8.5,20.6,0.0075,,
0.5535,70,9.3,20.6,0.0075,,
0.5620,71,10.1,20.6,0.0075,,
0.5695,72,10.9,20.6,0.0070,,
0.5780,73,11.6,20.6,0.0075,,
0.5865,74,12.4,20.6,0.0075,,
0.5950,75,13.3,20.6,0.0075,,
0.6030,76,14.0,20.6,0.0075,,
0.6115,77,14.9,20.6,0.0070,,
0.6190,78,15.6,20.6,0.0070,,
0.6275,79,16.4,20.6,0.0075,,
0.6360,80,17.2,20.6,0.0075,,
0.6445,81,17.9,20.6,0.0075,,
0.6530,82,18.7,20.6,0.0075,,
0.6610,83,19.4,20.6,0.0065,,
0.6690,84,20.2,20.6,0.0075,,
0.6770,85,20.9,20.6,0.0075,,
0.6855,86,21.7,20.6,0.0075,,
0.6940,87,22.5,20.6,0.0075,,
0.7025,88,23.3,20.6,0.0075,,
0.7110,89,24.0,20.6,0.0070,,
0.7185,90,24.8,20.6,0.0070,,
0.7270,91,25.5,20.7,0.0075,,
0.7355,92,26.2,20.6,0.0075,,
0.7435,93,27.0,20.7,0.0075,,
0.7520,94,27.8,20.7,0.0075,,
0.7605,95,28.6,20.7,0.0070,,
0.7680,96,29.4,20.7,0.0070,,
0.7765,97,30.2,20.7,0.0075,,
0.7850,98,31.0,20.7,0.0075,,
0.7935,99,31.8,20.7,0.0070,,
0.8015,100,32.7,20.7,0.0075,,
0.8100,101,33.5,20.7,0.0070,,
0.8175,102,34.2,20.7,0.0070,,
0.8260,103,35.1,20.7,0.0075,,
0.8345,104,35.9,20.7,0.0075,,
0.8430,105,36.8,20.7,0.0075,,
0.8515,106,37.7,20.7,0.0075,,
0.8600,107,38.5,20.7,0.0070,,
0.8675,108,39.3,20.7,0.0070,,
0.8760,109,40.2,20.7,0.0075,,
0.8840,110,41.0,20.7,0.0075,,
0.8925,111,41.9,20.7,0.0075,,
0.9010,112,42.9,20.7,0.0075,,
0.9095,113,43.8,20.7,0.0070,,
0.9170,114,44.7,20.7,0.0070,,
0.9255,115,45.6,20.7,0.0075,,
0.9340,116,46.6,20.7,0.0075,,
0.9425,117,47.7,20.7,0.0075,,
0.9505,118,48.7,20.7,0.0075,,
0.9590,119,49.8,20.7,0.0070,,
0.9665,120,50.7,20.7,0.0070,,
0.9750,121,51.7,20.7,0.0075,,
0.9835,122,52.7,20.7,0.0075,,
