"SampleID","TA","Mass","Sample.Index"
"junk1",2224.70518458128,60.3408,1
"20250302_dh_ocn_t1",2232.36551555951,60.2654,2
"20250302_dh_p2_t1",2086.86361279597,60.3584,3
"20250302_dh_p3_t1",2096.35565868209,60.1129,4
"20250302_dh_p4_t1",2222.66592269922,60.4577,5
"20250302_dh_p5_t1",2268.84885197803,60.3731,6
"20250302_dh_p6_t1",2183.93902592213,60.5045,7
"20250302_dh_ocn_t2",2213.47622834727,60.2105,8
"20250302_dh_p2_t2",1947.55826929715,60.618,9
"20250302_dh_p3_t2",2006.21468498769,60.4707,10
"20250302_dh_p4_t2",2172.82960032414,60.5014,11
"20250302_dh_p5_t2",2248.21624242568,60.2286,12
"20250302_dh_p6_t2",2087.4120848305,60.4574,13
"20250302_dh_ocn_t3",2220.71758689646,60.6167,14
"20250302_dh_p2_t3",1828.39524144363,60.4046,15
"20250302_dh_p3_t3",1935.27641814623,60.3722,16
"20250302_dh_p4_t3",2131.73091733263,60.5692,17
"20250302_dh_p5_t3",2227.68332156116,60.4128,18
"20250302_dh_p6_t3",1995.19304777401,60.4484,19
