Task,T344
Scope 1/1, Sample 1/19 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-74.2,21.2,NaN,,
0.0010,1,-74.3,21.2,0.0010,,
0.0025,2,-74.3,21.2,0.0015,,
0.0050,3,-74.3,21.2,0.0025,,
0.0085,4,-74.2,21.2,0.0030,,
0.0150,5,-74.0,21.2,0.0060,,
0.0230,6,-73.7,21.2,0.0075,,
0.0315,7,-73.2,21.2,0.0075,,
0.0400,8,-72.7,21.2,0.0085,,
0.0475,9,-72.0,21.2,0.0075,,
0.0560,10,-71.2,21.2,0.0075,,
0.0645,11,-70.4,21.2,0.0075,,
0.0725,12,-69.4,21.2,0.0075,,
0.0810,13,-68.4,21.2,0.0075,,
0.0895,14,-67.4,21.2,0.0085,,
0.0970,15,-66.2,21.2,0.0075,,
0.1055,16,-65.1,21.2,0.0075,,
0.1140,17,-63.8,21.2,0.0075,,
0.1225,18,-62.5,21.2,0.0075,,
0.1310,19,-61.2,21.2,0.0075,,
0.1385,20,-59.9,21.2,0.0075,,
0.1470,21,-58.4,21.2,0.0075,,
0.1550,22,-56.9,21.2,0.0075,,
0.1635,23,-55.4,21.2,0.0075,,
0.1720,24,-53.8,21.2,0.0075,,
0.1805,25,-52.1,21.2,0.0075,,
0.1880,26,-50.5,21.2,0.0075,,
0.1965,27,-48.7,21.2,0.0075,,
0.2050,28,-46.8,21.2,0.0075,,
0.2135,29,-44.7,21.2,0.0075,,
0.2220,30,-42.6,21.2,0.0075,,
0.2300,31,-40.5,21.2,0.0075,,
0.2380,32,-38.5,21.2,0.0080,,
0.2460,33,-36.1,21.2,0.0075,,
0.2545,34,-33.8,21.2,0.0075,,
0.2630,35,-31.4,21.2,0.0075,,
0.2715,36,-29.1,21.2,0.0075,,
0.2800,37,-27.0,21.2,0.0075,,
0.2875,38,-25.1,21.2,0.0075,,
0.2960,39,-23.1,21.2,0.0075,,
0.3040,40,-21.2,21.2,0.0075,,
0.3125,41,-19.5,21.2,0.0075,,
0.3210,42,-17.9,21.2,0.0075,,
0.3295,43,-16.5,21.2,0.0085,,
0.3370,44,-15.0,21.2,0.0075,,
0.3455,45,-13.6,21.2,0.0075,,
0.3540,46,-12.3,21.2,0.0075,,
0.3625,47,-10.9,21.2,0.0075,,
0.3710,48,-9.7,21.2,0.0075,,
0.3785,49,-8.6,21.2,0.0075,,
0.3870,50,-7.3,21.2,0.0075,,
0.3950,51,-6.2,21.2,0.0075,,
0.4035,52,-5.1,21.2,0.0075,,
0.4120,53,-4.0,21.2,0.0075,,
0.4205,54,-3.0,21.2,0.0075,,
0.4280,55,-2.1,21.3,0.0075,,
0.4365,56,-1.2,21.2,0.0075,,
0.4450,57,-0.2,21.2,0.0075,,
0.4535,58,0.7,21.2,0.0075,,
0.4615,59,1.6,21.3,0.0075,,
0.4700,60,2.6,21.3,0.0075,,
0.4775,61,3.5,21.2,0.0075,,
0.4860,62,4.4,21.2,0.0075,,
0.4945,63,5.3,21.2,0.0075,,
0.5030,64,6.1,21.2,0.0075,,
0.5115,65,6.9,21.3,0.0075,,
0.5200,66,7.6,21.2,0.0085,,
0.5275,67,8.6,21.2,0.0075,,
0.5360,68,9.4,21.3,0.0075,,
0.5440,69,10.2,21.3,0.0075,,
0.5525,70,11.0,21.3,0.0075,,
0.5610,71,11.8,21.2,0.0075,,
0.5695,72,12.5,21.3,0.0085,,
0.5770,73,13.3,21.2,0.0075,,
0.5855,74,14.1,21.2,0.0075,,
0.5940,75,14.9,21.3,0.0075,,
0.6025,76,15.7,21.2,0.0075,,
0.6105,77,16.5,21.3,0.0075,,
0.6185,78,17.2,21.3,0.0080,,
0.6270,79,18.0,21.2,0.0075,,
0.6350,80,18.7,21.3,0.0075,,
0.6435,81,19.5,21.3,0.0075,,
0.6520,82,20.2,21.3,0.0075,,
0.6605,83,21.0,21.3,0.0075,,
0.6680,84,21.7,21.3,0.0075,,
0.6765,85,22.5,21.3,0.0075,,
0.6850,86,23.3,21.3,0.0075,,
0.6935,87,24.1,21.3,0.0075,,
0.7015,88,24.9,21.2,0.0075,,
0.7100,89,25.6,21.3,0.0085,,
0.7175,90,26.4,21.3,0.0075,,
0.7260,91,27.2,21.3,0.0075,,
0.7345,92,28.0,21.3,0.0075,,
0.7430,93,28.8,21.3,0.0075,,
0.7515,94,29.6,21.3,0.0075,,
0.7590,95,30.3,21.3,0.0075,,
0.7675,96,31.2,21.3,0.0075,,
0.7760,97,32.0,21.3,0.0075,,
0.7845,98,32.8,21.3,0.0075,,
0.7925,99,33.5,21.3,0.0075,,
0.8010,100,34.4,21.3,0.0075,,
0.8085,101,35.2,21.3,0.0075,,
0.8170,102,36.0,21.3,0.0075,,
0.8255,103,36.9,21.3,0.0075,,
0.8340,104,37.8,21.3,0.0075,,
0.8425,105,38.7,21.3,0.0075,,
0.8510,106,39.5,21.3,0.0085,,
0.8585,107,40.4,21.3,0.0075,,
0.8670,108,41.3,21.3,0.0075,,
0.8750,109,42.2,21.3,0.0075,,
0.8835,110,43.1,21.3,0.0075,,
0.8920,111,44.0,21.3,0.0075,,
0.9005,112,44.9,21.3,0.0085,,
0.9080,113,45.8,21.3,0.0075,,
0.9165,114,46.8,21.3,0.0075,,
0.9250,115,47.7,21.3,0.0075,,
0.9335,116,48.7,21.3,0.0075,,
0.9415,117,49.7,21.3,0.0075,,
0.9495,118,50.6,21.3,0.0080,,
0.9575,119,51.7,21.3,0.0075,,
0.9660,120,52.7,21.3,0.0075,,
0.9745,121,53.9,21.3,0.0075,,
0.9830,122,55.1,21.3,0.0075,,
0.9915,123,56.2,21.3,0.0075,,
0.9990,124,57.2,21.3,0.0075,,
1.0075,125,58.3,21.3,0.0075,,
1.0160,126,59.6,21.3,0.0075,,
1.0245,127,60.8,21.3,0.0075,,
1.0325,128,62.1,21.3,0.0075,,
1.0410,129,63.2,21.3,0.0085,,
1.0485,130,64.5,21.3,0.0070,,
1.0570,131,65.8,21.3,0.0075,,
1.0655,132,67.1,21.3,0.0075,,
1.0740,133,68.5,21.3,0.0075,,
1.0825,134,70.0,21.3,0.0075,,
1.0900,135,71.2,21.3,0.0075,,
1.0985,136,72.6,21.3,0.0075,,
1.1070,137,74.1,21.3,0.0075,,
1.1155,138,75.7,21.3,0.0075,,
1.1235,139,77.3,21.3,0.0075,,
1.1320,140,78.9,21.3,0.0075,,
1.1395,141,80.4,21.3,0.0075,,
1.1480,142,82.2,21.3,0.0075,,
1.1565,143,83.9,21.3,0.0075,,
1.1650,144,85.9,21.3,0.0075,,
1.1735,145,87.8,21.3,0.0075,,
1.1820,146,89.9,21.3,0.0075,,
1.1895,147,91.8,21.3,0.0075,,
1.1980,148,93.9,21.3,0.0075,,
1.2060,149,96.3,21.3,0.0075,,
1.2145,150,98.6,21.3,0.0075,,
1.2230,151,101.1,21.3,0.0075,,
1.2315,152,103.4,21.3,0.0085,,
1.2390,153,106.3,21.3,0.0075,,
1.2475,154,109.2,21.3,0.0075,,
1.2560,155,112.1,21.3,0.0075,,
