Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample index in scope,Sample ID1,Sample start time,Overall state,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],Density [g/m L],Unit of Density [g/m L],
1,junk1,2/21/2025 11:56:43 AM,OK,Unchecked,0,,25.0,°C,,2.096,mL,,60.400,g,,60.4002,g,1.0,g/mL,
2,junk2,2/21/2025 12:06:48 PM,OK,Unchecked,0,,25.0,°C,,2.090,mL,,60.321,g,,60.3208,g,1.0,g/mL,
3,junk3,2/21/2025 12:16:45 PM,OK,Unchecked,0,,25.0,°C,,2.090,mL,,60.215,g,,60.2146,g,1.0,g/mL,
4,ocn_t1,2/21/2025 12:26:42 PM,OK,Unchecked,0,,25.0,°C,,2.142,mL,,60.479,g,,60.4792,g,1.0,g/mL,
5,p1_t1,2/21/2025 12:36:48 PM,OK,Unchecked,0,,25.0,°C,,2.125,mL,,60.139,g,,60.1392,g,1.0,g/mL,
6,p2_t1,2/21/2025 12:46:48 PM,OK,Unchecked,0,,25.0,°C,,2.070,mL,,60.345,g,,60.3452,g,1.0,g/mL,
7,p3_t1,2/21/2025 12:56:43 PM,OK,Unchecked,0,,25.0,°C,,1.990,mL,,60.796,g,,60.7961,g,1.0,g/mL,
8,p4_t1,2/21/2025 1:06:27 PM,OK,Unchecked,0,,25.0,°C,,2.032,mL,,60.086,g,,60.0864,g,1.0,g/mL,
9,p5_t1,2/21/2025 1:16:19 PM,OK,Unchecked,0,,25.0,°C,,1.907,mL,,60.168,g,,60.1676,g,1.0,g/mL,
10,ocn_t2,2/21/2025 1:25:54 PM,OK,Unchecked,0,,25.0,°C,,2.122,mL,,60.156,g,,60.1564,g,1.0,g/mL,
11,p1_t2,2/21/2025 1:35:55 PM,OK,Unchecked,0,,25.0,°C,,2.105,mL,,60.615,g,,60.6148,g,1.0,g/mL,
12,p2_t2,2/21/2025 1:45:53 PM,OK,Unchecked,0,,25.0,°C,,2.002,mL,,60.333,g,,60.3327,g,1.0,g/mL,
13,p3_t2,2/21/2025 1:55:40 PM,OK,Unchecked,0,,25.0,°C,,1.964,mL,,60.553,g,,60.5529,g,1.0,g/mL,
14,p4_t2,2/21/2025 2:05:22 PM,OK,Unchecked,0,,25.0,°C,,2.004,mL,,60.402,g,,60.4018,g,1.0,g/mL,
15,p5_t2,2/21/2025 2:15:08 PM,OK,Unchecked,0,,25.0,°C,,1.878,mL,,60.262,g,,60.2620,g,1.0,g/mL,
SystemInternal2/21/2025 2:27:44 PM,,,,,,,,,,,,,,,,,,,,1/1
