"SampleID","TA","Mass","Sample.Index"
"junk1",2250.62659105126,60.0508,1
"junk2",2220.78571617468,60.2264,2
"junk3",2217.68682947816,60.1453,3
"20250413_sb_ocn_t1",2277.17083852927,60.3437,4
"20250413_sb_p1_t1",2422.31570808874,60.3492,5
"20250413_sb_p3_t1",2427.14900227845,60.15,6
"20250413_sb_p4_t1",2271.5495615761,60.248,7
"20250413_sb_p5_t1",2453.76222865154,60.1119,8
"20250413_sb_p6_t1",2365.17914769178,60.0182,9
"20250413_sb_ocn_t2",2270.62079739758,60.1693,10
"20250413_sb_p1_t2",2413.35720862154,60.0377,11
"20250413_sb_p3_t2",2410.51630719151,60.0216,12
"20250413_sb_p4_t2",2187.51014380693,60.0725,13
"20250413_sb_p5_t2",2425.3413379424,60.2323,14
"20250413_sb_p6_t2",2288.80080129389,60.0839,15
"20250413_sb_ocn_t3",2266.94703013601,60.157,16
"20250413_sb_p1_t3",2390.47893873016,60.1648,17
"20250413_sb_p3_t3",2393.81829650199,60.2753,18
"20250413_sb_p4_t3",2092.57942935787,60.1133,19
"20250413_sb_p5_t3",2368.39124322587,60.3153,20
"20250413_sb_p6_t3",2212.69069718752,60.1641,21
