"SampleID","TA","Mass","Sample.Index"
"junk1",2219.54824096574,60.2241,1
"junk2",2215.84045508048,60.1328,2
"junk3",2211.22002249443,60.1818,3
"20250608_kb_p1_t1",3459.64479174812,60.0468,4
"20250608_kb_p2_t1",2845.5437131141,60.0386,5
"20250608_kb_p3_t1",3071.09663908115,60.062,6
"20250608_kb_p4_t1",2444.1536921831,60.0396,7
"20250608_kb_p5_t1",2397.35773050815,60.1593,8
"20250608_kb_p6_t1",2868.57918592627,60.2798,9
"20250608_kb_p7_t1",2616.91555607053,60.1736,10
"20250608_kb_ocn_t1",2264.78148467577,60.0913,11
"20250608_kb_p1_t2",3586.53738247377,60.1808,12
"20250608_kb_p2_t2",2953.73754216735,60.3707,13
"20250608_kb_p3_t2",3139.65094328439,60.0674,14
"20250608_kb_p4_t2",2545.34948395654,60.1475,15
"20250608_kb_p5_t2",2522.41824194573,60.1406,16
"20250608_kb_p6_t2",2973.28400021051,60.3785,17
"20250608_kb_p7_t2",2697.70145356949,60.1219,18
"20250608_kb_ocn_t2",2299.5338138876,60.2115,19
"20250608_kb_p1_t3",3680.34004604632,60.3975,20
"20250608_kb_p2_t3",3066.01841579725,60.1758,21
"20250608_kb_p3_t3",3216.58388895099,60.358,22
"20250608_kb_p4_t3",2585.95476889489,60.3388,23
"20250608_kb_p5_t3",2658.91412329207,60.155,24
"20250608_kb_p6_t3",3080.43772447961,60.0665,25
"20250608_kb_p7_t3",2751.43234153755,60.0595,26
"20250608_kb_ocn_t3",2312.07979817686,60.4202,27
