Task,T541
Scope 1/1, Sample 1/27 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-65.2,20.9,NaN,,
0.0005,1,-65.2,20.9,0.0005,,
0.0025,2,-65.2,20.9,0.0020,,
0.0050,3,-65.2,20.9,0.0025,,
0.0090,4,-65.1,20.9,0.0035,,
0.0150,5,-64.9,20.9,0.0055,,
0.0235,6,-64.5,20.9,0.0075,,
0.0310,7,-64.0,20.9,0.0075,,
0.0395,8,-63.3,20.9,0.0085,,
0.0480,9,-62.4,20.9,0.0075,,
0.0565,10,-61.5,20.9,0.0075,,
0.0650,11,-60.4,20.9,0.0075,,
0.0735,12,-59.3,20.9,0.0075,,
0.0810,13,-58.3,20.9,0.0075,,
0.0895,14,-57.1,20.9,0.0085,,
0.0975,15,-55.8,20.9,0.0075,,
0.1060,16,-54.5,20.9,0.0075,,
0.1145,17,-53.1,20.9,0.0075,,
0.1230,18,-51.7,20.9,0.0085,,
0.1305,19,-50.2,20.9,0.0075,,
0.1390,20,-48.6,20.9,0.0085,,
0.1475,21,-46.9,20.9,0.0075,,
0.1560,22,-45.2,20.9,0.0075,,
0.1640,23,-43.4,20.9,0.0075,,
0.1725,24,-41.7,20.9,0.0085,,
0.1800,25,-39.8,20.9,0.0075,,
0.1885,26,-37.8,20.9,0.0085,,
0.1970,27,-35.8,20.9,0.0075,,
0.2055,28,-33.6,20.9,0.0075,,
0.2140,29,-31.3,20.9,0.0075,,
0.2215,30,-29.5,20.9,0.0075,,
0.2300,31,-27.3,20.9,0.0085,,
0.2385,32,-25.2,20.9,0.0075,,
0.2465,33,-23.1,20.9,0.0075,,
0.2550,34,-21.3,20.9,0.0075,,
0.2635,35,-19.5,20.9,0.0075,,
0.2710,36,-17.9,20.9,0.0075,,
0.2795,37,-16.3,20.9,0.0085,,
0.2880,38,-14.8,20.9,0.0075,,
0.2965,39,-13.3,20.9,0.0075,,
0.3050,40,-11.9,20.9,0.0075,,
0.3130,41,-10.7,20.9,0.0075,,
0.3210,42,-9.6,20.9,0.0080,,
0.3290,43,-8.3,20.9,0.0080,,
0.3375,44,-7.1,20.9,0.0075,,
0.3460,45,-5.9,20.9,0.0075,,
0.3545,46,-4.7,20.9,0.0075,,
0.3630,47,-3.7,20.9,0.0075,,
0.3705,48,-2.8,20.9,0.0075,,
0.3790,49,-1.9,20.9,0.0085,,
0.3875,50,-0.9,20.9,0.0075,,
0.3955,51,0.0,20.9,0.0075,,
0.4040,52,0.9,20.9,0.0075,,
0.4125,53,1.7,20.9,0.0085,,
0.4200,54,2.7,20.9,0.0075,,
0.4285,55,3.6,20.9,0.0085,,
0.4370,56,4.4,20.9,0.0075,,
0.4455,57,5.3,20.9,0.0075,,
0.4540,58,6.1,20.9,0.0075,,
0.4625,59,6.8,20.9,0.0085,,
0.4700,60,7.7,20.9,0.0075,,
0.4785,61,8.4,20.9,0.0075,,
0.4865,62,9.2,20.9,0.0075,,
0.4950,63,10.0,20.9,0.0075,,
