Task,T785
Scope 1/1, Sample 1/4 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-61.9,20.8,NaN,,
0.0005,1,-61.9,20.8,0.0005,,
0.0025,2,-61.9,20.8,0.0020,,
0.0050,3,-61.8,20.8,0.0025,,
0.0090,4,-61.9,20.8,0.0035,,
0.0150,5,-61.6,20.8,0.0055,,
0.0235,6,-61.3,20.8,0.0075,,
0.0310,7,-60.6,20.8,0.0075,,
0.0395,8,-59.9,20.8,0.0085,,
0.0480,9,-59.0,20.8,0.0075,,
0.0565,10,-58.0,20.8,0.0075,,
0.0645,11,-57.0,20.8,0.0075,,
0.0730,12,-55.7,20.8,0.0075,,
0.0805,13,-54.8,20.8,0.0075,,
0.0890,14,-53.4,20.8,0.0085,,
0.0975,15,-52.1,20.8,0.0075,,
0.1060,16,-50.7,20.8,0.0075,,
0.1145,17,-49.2,20.8,0.0075,,
0.1230,18,-47.8,20.8,0.0075,,
0.1305,19,-46.1,20.8,0.0075,,
0.1390,20,-44.6,20.8,0.0085,,
0.1470,21,-42.8,20.8,0.0080,,
0.1555,22,-41.0,20.8,0.0075,,
0.1640,23,-39.1,20.8,0.0075,,
0.1725,24,-37.1,20.8,0.0075,,
0.1800,25,-35.3,20.8,0.0075,,
0.1885,26,-33.1,20.8,0.0085,,
0.1970,27,-31.1,20.8,0.0085,,
0.2055,28,-28.8,20.8,0.0075,,
0.2135,29,-26.8,20.8,0.0075,,
0.2220,30,-24.5,20.8,0.0075,,
0.2295,31,-22.7,20.8,0.0075,,
0.2380,32,-21.0,20.8,0.0085,,
0.2465,33,-18.9,20.8,0.0085,,
0.2550,34,-17.2,20.8,0.0075,,
0.2635,35,-15.5,20.8,0.0075,,
0.2715,36,-14.1,20.8,0.0075,,
0.2800,37,-12.8,20.8,0.0085,,
0.2875,38,-11.3,20.8,0.0075,,
0.2960,39,-9.9,20.8,0.0085,,
0.3045,40,-8.8,20.8,0.0075,,
0.3130,41,-7.6,20.8,0.0075,,
0.3215,42,-6.4,20.8,0.0075,,
0.3295,43,-5.3,20.8,0.0080,,
0.3375,44,-4.2,20.8,0.0080,,
0.3455,45,-3.2,20.8,0.0080,,
0.3540,46,-2.1,20.8,0.0075,,
0.3625,47,-1.2,20.8,0.0075,,
0.3710,48,-0.3,20.8,0.0075,,
0.3795,49,0.5,20.8,0.0075,,
0.3870,50,1.4,20.8,0.0075,,
0.3955,51,2.4,20.8,0.0085,,
0.4035,52,3.3,20.8,0.0075,,
0.4120,53,4.3,20.8,0.0075,,
0.4205,54,5.1,20.8,0.0075,,
0.4290,55,6.0,20.8,0.0075,,
0.4365,56,6.6,20.8,0.0075,,
0.4450,57,7.4,20.8,0.0085,,
0.4535,58,8.2,20.8,0.0075,,
0.4620,59,9.1,20.8,0.0075,,
0.4700,60,9.8,20.8,0.0075,,
0.4785,61,10.5,20.8,0.0085,,
0.4860,62,11.5,20.8,0.0075,,
0.4945,63,12.0,20.8,0.0085,,
0.5030,64,12.9,20.8,0.0075,,
0.5115,65,13.6,20.8,0.0075,,
0.5200,66,14.3,20.8,0.0075,,
0.5275,67,15.1,20.8,0.0075,,
0.5360,68,15.8,20.8,0.0085,,
0.5445,69,16.5,20.8,0.0085,,
0.5525,70,17.2,20.8,0.0075,,
0.5610,71,17.8,20.8,0.0075,,
0.5695,72,18.8,20.8,0.0075,,
0.5780,73,19.4,20.8,0.0085,,
0.5855,74,20.0,20.8,0.0075,,
0.5940,75,20.9,20.8,0.0085,,
0.6025,76,21.4,20.8,0.0075,,
0.6105,77,22.3,20.8,0.0075,,
0.6190,78,22.5,20.8,0.0075,,
0.6275,79,23.5,20.8,0.0085,,
0.6350,80,24.3,20.8,0.0075,,
0.6435,81,25.0,20.8,0.0085,,
0.6520,82,25.8,20.8,0.0075,,
0.6605,83,26.6,20.8,0.0075,,
0.6685,84,27.3,20.8,0.0075,,
0.6770,85,28.1,20.8,0.0075,,
0.6845,86,28.7,20.8,0.0075,,
0.6930,87,29.4,20.8,0.0085,,
0.7015,88,30.2,20.8,0.0075,,
0.7100,89,30.8,20.8,0.0075,,
0.7185,90,31.7,20.8,0.0075,,
0.7270,91,32.4,20.8,0.0075,,
0.7345,92,33.1,20.8,0.0075,,
0.7425,93,33.9,20.8,0.0080,,
0.7510,94,34.6,20.8,0.0085,,
0.7595,95,35.4,20.8,0.0075,,
0.7680,96,36.1,20.8,0.0075,,
0.7765,97,37.0,20.8,0.0075,,
0.7840,98,37.8,20.8,0.0075,,
0.7925,99,38.4,20.8,0.0085,,
0.8010,100,39.4,20.8,0.0085,,
0.8090,101,40.1,20.8,0.0075,,
0.8175,102,41.0,20.8,0.0075,,
0.8260,103,41.9,20.8,0.0075,,
0.8335,104,42.6,20.8,0.0075,,
0.8420,105,43.6,20.8,0.0085,,
0.8505,106,44.4,20.8,0.0085,,
0.8590,107,45.2,20.8,0.0075,,
0.8670,108,46.2,20.8,0.0075,,
0.8755,109,47.0,20.8,0.0075,,
0.8840,110,47.9,20.8,0.0085,,
0.8915,111,48.8,20.8,0.0075,,
0.9000,112,49.7,20.8,0.0085,,
0.9085,113,51.0,20.8,0.0075,,
0.9170,114,51.6,20.8,0.0075,,
0.9255,115,52.8,20.8,0.0075,,
0.9330,116,53.4,20.8,0.0075,,
0.9415,117,54.6,20.8,0.0085,,
0.9495,118,55.7,20.8,0.0080,,
0.9580,119,56.5,20.8,0.0075,,
0.9665,120,57.9,20.8,0.0075,,
0.9750,121,58.8,20.8,0.0075,,
0.9825,122,59.7,20.8,0.0075,,
0.9910,123,61.3,20.8,0.0085,,
0.9995,124,61.9,20.8,0.0085,,
1.0080,125,63.4,20.8,0.0075,,
1.0160,126,64.4,20.8,0.0075,,
1.0245,127,65.7,20.8,0.0075,,
1.0320,128,66.8,20.8,0.0075,,
1.0405,129,68.0,20.8,0.0085,,
1.0490,130,69.5,20.8,0.0085,,
1.0575,131,70.6,20.8,0.0075,,
1.0660,132,71.9,20.8,0.0075,,
1.0740,133,73.3,20.8,0.0075,,
1.0825,134,74.8,20.8,0.0085,,
1.0900,135,76.2,20.8,0.0075,,
1.0985,136,77.7,20.8,0.0085,,
1.1070,137,79.1,20.8,0.0075,,
1.1155,138,80.7,20.8,0.0075,,
1.1240,139,82.5,20.8,0.0075,,
1.1320,140,83.8,20.8,0.0080,,
1.1400,141,85.8,20.8,0.0080,,
1.1480,142,87.5,20.8,0.0080,,
1.1565,143,89.5,20.8,0.0075,,
1.1650,144,91.5,20.8,0.0075,,
1.1735,145,93.5,20.8,0.0075,,
1.1820,146,95.7,20.8,0.0075,,
1.1895,147,97.6,20.8,0.0075,,
1.1980,148,100.0,20.8,0.0085,,
1.2060,149,102.3,20.8,0.0075,,
1.2145,150,105.0,20.8,0.0075,,
1.2230,151,107.5,20.8,0.0075,,
1.2315,152,110.4,20.8,0.0075,,
1.2390,153,113.0,20.8,0.0070,,
1.2475,154,116.1,20.8,0.0085,,
1.2560,155,119.6,20.8,0.0085,,
1.2645,156,123.0,20.8,0.0075,,
1.2725,157,126.9,20.9,0.0075,,
1.2810,158,130.9,20.8,0.0075,,
1.2895,159,134.7,20.8,0.0085,,
1.2970,160,139.3,20.8,0.0075,,
1.3055,161,144.2,20.8,0.0085,,
1.3140,162,149.2,20.8,0.0075,,
1.3225,163,154.0,20.8,0.0075,,
1.3305,164,159.1,20.8,0.0075,,
1.3390,165,163.4,20.8,0.0085,,
1.3465,166,167.7,20.9,0.0075,,
1.3550,167,171.6,20.9,0.0085,,
1.3635,168,175.0,20.9,0.0085,,
1.3720,169,178.1,20.9,0.0075,,
1.3800,170,181.2,20.9,0.0075,,
1.3885,171,183.8,20.9,0.0075,,
1.3955,172,185.2,20.9,0.0080,,
1.3955,412,188.3,20.9,0.0000,,
1.3960,413,188.2,20.9,0.0005,,
1.3975,414,188.4,20.9,0.0015,,
1.4000,415,188.5,20.9,0.0025,,
1.4040,416,189.2,20.9,0.0035,,
1.4105,417,190.1,20.9,0.0060,,
1.4185,418,191.7,20.9,0.0075,,
1.4265,419,192.8,20.9,0.0080,,
1.4345,420,194.3,20.9,0.0080,,
1.4430,421,195.8,20.9,0.0085,,
1.4515,422,197.6,20.9,0.0075,,
1.4600,423,198.8,20.9,0.0075,,
1.4685,424,200.1,20.9,0.0075,,
1.4760,425,201.1,20.9,0.0075,,
1.4845,426,202.3,20.9,0.0085,,
1.4925,427,203.6,20.9,0.0080,,
1.5010,428,204.5,20.9,0.0075,,
1.5095,429,205.7,20.9,0.0075,,
1.5180,430,206.4,20.9,0.0075,,
1.5255,431,207.4,20.9,0.0075,,
1.5340,432,208.4,20.9,0.0085,,
1.5425,433,209.1,20.9,0.0085,,
1.5510,434,210.1,20.9,0.0075,,
1.5590,435,210.8,20.9,0.0075,,
1.5675,436,211.7,20.9,0.0075,,
1.5750,437,212.4,20.9,0.0075,,
1.5835,438,213.2,20.9,0.0085,,
1.5920,439,213.9,20.9,0.0085,,
1.6005,440,214.7,20.9,0.0075,,
1.6090,441,215.3,20.9,0.0075,,
1.6170,442,215.9,20.9,0.0075,,
1.6250,443,216.7,20.9,0.0080,,
1.6330,444,217.2,20.9,0.0080,,
1.6415,445,217.9,20.9,0.0085,,
1.6500,446,218.4,20.9,0.0075,,
1.6585,447,219.0,20.9,0.0075,,
1.6670,448,219.7,20.9,0.0075,,
1.6750,449,220.2,20.9,0.0075,,
1.6825,450,220.8,20.9,0.0075,,
1.6910,451,221.3,20.9,0.0085,,
1.6995,452,221.8,20.9,0.0085,,
1.7080,453,222.3,20.9,0.0075,,
1.7165,454,222.9,20.9,0.0075,,
1.7250,455,223.4,20.9,0.0075,,
1.7325,456,223.7,20.9,0.0075,,
1.7410,457,224.4,20.9,0.0085,,
1.7490,458,224.7,20.9,0.0080,,
1.7575,459,225.3,20.9,0.0075,,
1.7660,460,225.6,20.9,0.0075,,
1.7745,461,226.4,20.9,0.0075,,
1.7820,462,226.6,20.9,0.0075,,
1.7905,463,226.9,20.9,0.0085,,
1.7990,464,227.5,20.9,0.0085,,
1.8070,465,227.9,20.9,0.0075,,
1.8155,466,228.2,20.9,0.0075,,
1.8240,467,228.6,20.9,0.0075,,
1.8325,468,229.1,20.9,0.0075,,
1.8400,469,229.5,20.9,0.0075,,
1.8485,470,229.8,20.9,0.0085,,
1.8570,471,230.2,20.9,0.0085,,
1.8650,472,230.5,20.9,0.0075,,
1.8735,473,231.0,20.9,0.0075,,
1.8820,474,231.2,20.9,0.0075,,
1.8895,475,231.6,20.9,0.0075,,
1.8980,476,231.9,20.9,0.0085,,
1.9065,477,232.3,20.9,0.0085,,
1.9150,478,232.7,20.9,0.0075,,
1.9230,479,233.1,20.9,0.0075,,
1.9315,480,233.4,20.9,0.0075,,
1.9385,481,233.6,20.9,0.0070,,
1.9440,482,233.9,20.9,0.0055,,
1.9450,483,233.9,20.9,0.0010,,
1.9460,484,234.0,20.9,0.0010,,
1.9480,485,234.0,20.9,0.0020,,
1.9505,486,234.2,20.9,0.0025,,
1.9535,487,234.3,20.9,0.0030,,
1.9560,488,234.4,20.9,0.0025,,
1.9565,489,234.5,20.9,0.0005,,
1.9575,490,234.4,20.9,0.0010,,
1.9585,491,234.6,20.9,0.0010,,
1.9600,492,234.5,20.9,0.0015,,
1.9615,493,234.7,20.9,0.0015,,
1.9630,494,234.6,20.9,0.0015,,
1.9640,495,234.7,20.9,0.0010,,
1.9655,496,234.8,20.9,0.0015,,
1.9670,497,234.8,20.9,0.0015,,
1.9680,498,234.9,20.9,0.0010,,
1.9695,499,234.8,20.9,0.0015,,
1.9710,500,235.0,20.9,0.0020,,
Scope 1/1, Sample 2/4 (junk2)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-61.3,20.9,NaN,,
0.0005,1,-61.3,20.9,0.0005,,
0.0025,2,-61.4,20.9,0.0020,,
0.0050,3,-61.3,20.9,0.0025,,
0.0090,4,-61.2,20.9,0.0035,,
0.0150,5,-61.1,20.9,0.0055,,
0.0235,6,-60.6,20.9,0.0075,,
0.0320,7,-60.0,20.9,0.0075,,
0.0395,8,-59.4,20.9,0.0075,,
0.0480,9,-58.3,20.9,0.0085,,
0.0565,10,-57.4,20.9,0.0075,,
0.0645,11,-56.4,20.9,0.0075,,
0.0730,12,-55.0,20.9,0.0075,,
0.0815,13,-53.9,20.9,0.0075,,
0.0890,14,-52.6,20.9,0.0075,,
0.0975,15,-51.2,20.9,0.0075,,
0.1060,16,-49.8,20.9,0.0075,,
