Task,T1206
Scope 1/1, Sample 1/27 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-66.7,21.2,NaN,,
0.0010,1,-66.7,21.2,0.0010,,
0.0025,2,-66.6,21.2,0.0015,,
0.0050,3,-66.6,21.2,0.0025,,
0.0090,4,-66.6,21.2,0.0035,,
0.0150,5,-66.4,21.2,0.0055,,
0.0235,6,-66.0,21.2,0.0075,,
0.0310,7,-65.4,21.2,0.0075,,
0.0395,8,-64.6,21.2,0.0085,,
0.0480,9,-63.6,21.2,0.0075,,
0.0565,10,-62.5,21.2,0.0075,,
0.0650,11,-61.2,21.2,0.0075,,
0.0735,12,-60.0,21.2,0.0075,,
0.0810,13,-58.8,21.2,0.0075,,
0.0895,14,-57.3,21.2,0.0085,,
0.0975,15,-55.7,21.2,0.0075,,
0.1060,16,-54.0,21.2,0.0075,,
0.1145,17,-52.3,21.2,0.0075,,
0.1230,18,-50.5,21.2,0.0075,,
0.1305,19,-48.8,21.2,0.0075,,
0.1390,20,-46.8,21.2,0.0085,,
0.1475,21,-44.7,21.2,0.0075,,
0.1560,22,-42.4,21.2,0.0075,,
0.1640,23,-40.1,21.2,0.0075,,
0.1725,24,-38.0,21.2,0.0085,,
0.1800,25,-35.3,21.2,0.0075,,
0.1885,26,-32.7,21.2,0.0075,,
0.1970,27,-29.9,21.2,0.0075,,
0.2055,28,-27.1,21.2,0.0075,,
0.2140,29,-24.3,21.2,0.0075,,
0.2215,30,-21.9,21.2,0.0075,,
0.2300,31,-19.4,21.2,0.0085,,
0.2385,32,-17.1,21.2,0.0075,,
0.2470,33,-15.0,21.2,0.0075,,
0.2550,34,-13.0,21.2,0.0075,,
0.2635,35,-11.1,21.2,0.0075,,
0.2710,36,-9.5,21.2,0.0075,,
0.2795,37,-7.7,21.2,0.0085,,
0.2880,38,-6.1,21.2,0.0075,,
0.2965,39,-4.5,21.2,0.0075,,
0.3050,40,-3.0,21.2,0.0075,,
0.3135,41,-1.8,21.2,0.0075,,
0.3210,42,-0.7,21.2,0.0075,,
0.3295,43,0.4,21.2,0.0085,,
0.3375,44,1.8,21.2,0.0075,,
0.3460,45,3.1,21.2,0.0075,,
0.3545,46,4.3,21.2,0.0075,,
0.3630,47,5.2,21.2,0.0085,,
0.3705,48,6.4,21.2,0.0075,,
0.3790,49,7.4,21.2,0.0075,,
0.3875,50,8.4,21.2,0.0075,,
0.3960,51,9.4,21.2,0.0075,,
0.4040,52,10.4,21.2,0.0075,,
0.4120,53,11.3,21.2,0.0080,,
0.4200,54,12.2,21.2,0.0080,,
0.4285,55,13.3,21.2,0.0075,,
0.4370,56,14.2,21.2,0.0075,,
