"SampleID","TA","Mass","Sample.Index"
"junk1",2227.09011368909,60.215,1
"junk2",2217.22274715962,60.0618,2
"junk3",2212.1458740236,60.1726,3
"20250622_sb_p16_t1",2527.39236055387,60.289,4
"20250622_sb_p17_t1",2151.06139539519,60.0725,5
"20250622_sb_p18_t1",2471.92032253819,60.094,6
"20250622_sb_p19_t1",2442.88889393147,60.2403,7
"20250622_sb_p20_t1",2453.98965626284,60.006,8
"20250622_sb_p21_t1",2600.25508497949,60.1202,9
"20250622_sb_p22_t1",2413.13017385843,60.2338,10
"20250622_sb_ocn_t1",2303.18810909534,60.0553,11
"20250622_sb_p16_t2",2680.32534113951,60.1371,12
"20250622_sb_p17_t2",2218.66842041059,60.2049,13
"20250622_sb_p18_t2",2530.64820907781,60.3947,14
"20250622_sb_p19_t2",2486.09322291157,60.1321,15
"20250622_sb_p20_t2",2515.51713514146,60.0222,16
"20250622_sb_p21_t2",2673.79166052592,60.0241,17
"20250622_sb_p22_t2",2465.887394096,60.2252,18
"20250622_sb_ocn_t2",2311.21175290482,60.1023,19
"20250622_sb_p16_t3",2858.34168500795,60.1028,20
"20250622_sb_p17_t3",2325.38084188446,60.0278,21
"20250622_sb_p18_t3",2581.84259049067,60.0368,22
"20250622_sb_p19_t3",2541.33107863334,60.3542,23
"20250622_sb_p20_t3",2567.41716531399,60.3435,24
"20250622_sb_p21_t3",2743.45262277173,60.2669,25
"20250622_sb_p22_t3",2514.11673145807,60.0696,26
"20250622_sb_ocn_t3",2341.00073838116,60.1559,27
