Task,T1157
Scope 1/1, Sample 1/24 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-67.6,20.5,NaN,,
0.0010,1,-67.6,20.5,0.0010,,
0.0025,2,-67.7,20.5,0.0015,,
0.0050,3,-67.6,20.5,0.0025,,
0.0090,4,-67.6,20.5,0.0035,,
0.0150,5,-67.4,20.5,0.0055,,
0.0235,6,-66.9,20.5,0.0075,,
0.0320,7,-66.1,20.5,0.0075,,
0.0395,8,-65.3,20.5,0.0075,,
0.0480,9,-64.3,20.5,0.0075,,
0.0565,10,-63.2,20.5,0.0075,,
0.0650,11,-62.1,20.5,0.0075,,
0.0735,12,-60.7,20.5,0.0075,,
0.0815,13,-59.3,20.5,0.0075,,
0.0895,14,-57.8,20.5,0.0080,,
0.0980,15,-56.2,20.5,0.0075,,
0.1060,16,-54.5,20.5,0.0075,,
0.1145,17,-52.6,20.5,0.0075,,
0.1230,18,-50.7,20.5,0.0075,,
0.1315,19,-49.0,20.5,0.0085,,
0.1390,20,-47.1,20.5,0.0070,,
0.1475,21,-44.8,20.5,0.0075,,
0.1560,22,-42.5,20.5,0.0075,,
0.1645,23,-40.1,20.5,0.0075,,
0.1725,24,-37.4,20.5,0.0075,,
0.1805,25,-35.0,20.5,0.0080,,
0.1885,26,-32.2,20.5,0.0075,,
0.1970,27,-29.3,20.5,0.0075,,
0.2055,28,-26.2,20.5,0.0075,,
0.2140,29,-23.2,20.5,0.0075,,
0.2225,30,-20.2,20.5,0.0075,,
0.2300,31,-17.7,20.5,0.0075,,
0.2385,32,-15.1,20.5,0.0075,,
0.2470,33,-12.5,20.5,0.0075,,
0.2550,34,-10.4,20.5,0.0075,,
0.2635,35,-8.3,20.5,0.0075,,
0.2720,36,-6.5,20.5,0.0085,,
0.2795,37,-4.5,20.5,0.0075,,
0.2880,38,-2.8,20.5,0.0075,,
0.2965,39,-1.3,20.5,0.0075,,
0.3050,40,0.0,20.5,0.0075,,
0.3135,41,1.4,20.5,0.0075,,
0.3210,42,2.7,20.5,0.0075,,
0.3295,43,4.1,20.5,0.0075,,
0.3375,44,5.3,20.5,0.0075,,
0.3460,45,6.5,20.5,0.0075,,
0.3545,46,7.7,20.5,0.0075,,
0.3630,47,8.8,20.5,0.0075,,
0.3705,48,9.8,20.5,0.0075,,
0.3790,49,10.9,20.5,0.0075,,
0.3875,50,11.9,20.5,0.0075,,
0.3960,51,13.1,20.5,0.0075,,
0.4045,52,14.1,20.5,0.0075,,
0.4125,53,15.0,20.5,0.0075,,
0.4205,54,15.8,20.5,0.0080,,
0.4285,55,16.8,20.5,0.0075,,
0.4370,56,17.7,20.5,0.0075,,
0.4455,57,18.7,20.5,0.0075,,
0.4540,58,19.6,20.5,0.0075,,
0.4625,59,20.4,20.5,0.0085,,
0.4700,60,21.4,20.5,0.0075,,
0.4785,61,22.2,20.5,0.0075,,
0.4865,62,23.1,20.5,0.0075,,
0.4950,63,24.0,20.5,0.0075,,
0.5035,64,24.8,20.5,0.0075,,
0.5120,65,25.6,20.5,0.0075,,
0.5195,66,26.4,20.5,0.0075,,
0.5280,67,27.3,20.5,0.0075,,
0.5365,68,28.3,20.5,0.0075,,
0.5450,69,29.2,20.5,0.0075,,
0.5530,70,30.0,20.5,0.0075,,
0.5610,71,30.7,20.5,0.0080,,
0.5695,72,31.6,20.5,0.0075,,
0.5775,73,32.4,20.5,0.0075,,
0.5860,74,33.2,20.5,0.0075,,
0.5945,75,34.0,20.5,0.0075,,
0.6030,76,34.7,20.5,0.0075,,
0.6105,77,35.5,20.5,0.0075,,
0.6190,78,36.2,20.5,0.0075,,
0.6275,79,37.0,20.5,0.0075,,
0.6355,80,37.9,20.5,0.0075,,
0.6440,81,38.7,20.5,0.0075,,
0.6525,82,39.5,20.5,0.0075,,
0.6600,83,40.3,20.5,0.0075,,
0.6685,84,41.1,20.5,0.0075,,
0.6770,85,41.9,20.5,0.0075,,
0.6855,86,42.8,20.5,0.0075,,
0.6940,87,43.7,20.5,0.0075,,
0.7020,88,44.5,20.5,0.0075,,
0.7100,89,45.3,20.5,0.0080,,
0.7180,90,46.1,20.5,0.0075,,
0.7265,91,46.9,20.5,0.0075,,
0.7350,92,47.7,20.5,0.0075,,
0.7435,93,48.6,20.5,0.0075,,
0.7520,94,49.5,20.5,0.0075,,
0.7595,95,50.2,20.5,0.0075,,
0.7680,96,51.1,20.5,0.0075,,
0.7765,97,52.0,20.5,0.0075,,
0.7845,98,52.9,20.5,0.0075,,
0.7930,99,53.9,20.5,0.0075,,
0.8015,100,54.6,20.5,0.0085,,
0.8090,101,55.4,20.5,0.0075,,
0.8175,102,56.2,20.5,0.0075,,
0.8260,103,57.1,20.5,0.0075,,
0.8345,104,57.9,20.5,0.0075,,
0.8430,105,58.6,20.5,0.0075,,
0.8505,106,109.3,20.5,0.0075,,
0.8590,107,61.6,20.6,0.0075,,
0.8670,108,61.7,20.5,0.0075,,
0.8755,109,62.5,20.6,0.0075,,
0.8840,110,63.4,20.6,0.0075,,
0.8925,111,64.3,20.6,0.0075,,
0.9000,112,65.1,20.6,0.0075,,
0.9085,113,65.9,20.6,0.0075,,
0.9170,114,66.8,20.6,0.0075,,
0.9255,115,67.7,20.6,0.0075,,
0.9340,116,68.6,20.6,0.0075,,
0.9420,117,69.4,20.6,0.0080,,
0.9500,118,70.3,20.6,0.0080,,
0.9580,119,71.1,20.6,0.0075,,
0.9665,120,72.0,20.6,0.0075,,
0.9750,121,72.9,20.6,0.0075,,
0.9835,122,73.8,20.6,0.0075,,
0.9910,123,74.6,20.6,0.0075,,
0.9995,124,75.6,20.6,0.0075,,
1.0080,125,76.4,20.6,0.0075,,
1.0165,126,77.5,20.6,0.0075,,
1.0245,127,78.5,20.6,0.0075,,
1.0330,128,79.4,20.6,0.0075,,
1.0405,129,80.3,20.6,0.0075,,
1.0490,130,81.3,20.6,0.0075,,
1.0575,131,82.5,20.6,0.0075,,
1.0660,132,83.5,20.6,0.0075,,
1.0745,133,84.4,20.6,0.0075,,
1.0830,134,85.5,20.6,0.0075,,
1.0905,135,86.5,20.6,0.0075,,
1.0990,136,87.4,20.6,0.0075,,
1.1070,137,88.3,20.6,0.0075,,
1.1155,138,89.6,20.6,0.0075,,
1.1240,139,90.8,20.6,0.0075,,
