Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample index in scope,Sample ID1,Sample start time,Overall state,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],Density [g/m L],Unit of Density [g/m L],
1,junk1,2/23/2026 11:40:29 AM,OK,Unchecked,0,,25.0,°C,,2.286,mL,,60.152,g,,60.1515,g,1.0,g/mL,
2,junk2,2/23/2026 11:50:59 AM,OK,Unchecked,0,,25.0,°C,,2.283,mL,,60.151,g,,60.1514,g,1.0,g/mL,
3,junk3,2/23/2026 12:01:20 PM,OK,Unchecked,0,,25.0,°C,,2.284,mL,,60.093,g,,60.0926,g,1.0,g/mL,
4,20260222_sb_p16_t1,2/23/2026 12:11:39 PM,OK,Unchecked,0,,25.0,°C,,2.232,mL,,60.122,g,,60.1217,g,1.0,g/mL,
5,20260222_sb_p17_t1,2/23/2026 12:21:54 PM,OK,Unchecked,0,,25.0,°C,,2.221,mL,,60.078,g,,60.0785,g,1.0,g/mL,
6,20260222_sb_p18_t1,2/23/2026 12:32:09 PM,OK,Unchecked,0,,25.0,°C,,2.223,mL,,60.404,g,,60.4040,g,1.0,g/mL,
7,20260222_sb_p19_t1,2/23/2026 12:42:25 PM,OK,Unchecked,0,,25.0,°C,,2.190,mL,,60.123,g,,60.1232,g,1.0,g/mL,
8,20260222_sb_p20_t1,2/23/2026 12:52:31 PM,OK,Unchecked,0,,25.0,°C,,2.238,mL,,60.019,g,,60.0193,g,1.0,g/mL,
9,20260222_sb_p21_t1,2/23/2026 1:02:45 PM,OK,Unchecked,0,,25.0,°C,,2.216,mL,,60.209,g,,60.2088,g,1.0,g/mL,
10,20260222_sb_p31_t1,2/23/2026 1:13:01 PM,OK,Unchecked,0,,25.0,°C,,2.261,mL,,60.065,g,,60.0650,g,1.0,g/mL,
11,20260222_sb_ocn_t1,2/23/2026 1:23:19 PM,OK,Unchecked,0,,25.0,°C,,2.300,mL,,60.271,g,,60.2706,g,1.0,g/mL,
12,20260222_sb_p16_t2,2/23/2026 1:33:42 PM,OK,Unchecked,0,,25.0,°C,,2.312,mL,,60.099,g,,60.0986,g,1.0,g/mL,
13,20260222_sb_p17_t2,2/23/2026 1:44:06 PM,OK,Unchecked,0,,25.0,°C,,2.101,mL,,60.228,g,,60.2276,g,1.0,g/mL,
14,20260222_sb_p18_t2,2/23/2026 1:54:08 PM,OK,Unchecked,0,,25.0,°C,,2.146,mL,,60.099,g,,60.0987,g,1.0,g/mL,
15,20260222_sb_p19_t2,2/23/2026 2:04:12 PM,OK,Unchecked,0,,25.0,°C,,2.128,mL,,60.036,g,,60.0364,g,1.0,g/mL,
16,20260222_sb_p20_t2,2/23/2026 2:14:12 PM,OK,Unchecked,0,,25.0,°C,,2.190,mL,,60.131,g,,60.1307,g,1.0,g/mL,
17,20260222_sb_p21_t2,2/23/2026 2:24:21 PM,OK,Unchecked,0,,25.0,°C,,2.152,mL,,60.071,g,,60.0713,g,1.0,g/mL,
18,20260222_sb_p31_t2,2/23/2026 2:34:28 PM,OK,Unchecked,0,,25.0,°C,,2.228,mL,,60.033,g,,60.0328,g,1.0,g/mL,
19,20260222_sb_ocn_t2,2/23/2026 2:44:44 PM,OK,Unchecked,0,,25.0,°C,,2.290,mL,,60.178,g,,60.1776,g,1.0,g/mL,
20,20260222_sb_p16_t3,2/23/2026 2:55:05 PM,OK,Unchecked,0,,25.0,°C,,2.178,mL,,60.140,g,,60.1405,g,1.0,g/mL,
21,20260222_sb_p17_t3,2/23/2026 3:05:23 PM,OK,Unchecked,0,,25.0,°C,,1.969,mL,,60.069,g,,60.0694,g,1.0,g/mL,
22,20260222_sb_p18_t3,2/23/2026 3:15:06 PM,OK,Unchecked,0,,25.0,°C,,2.083,mL,,60.119,g,,60.1188,g,1.0,g/mL,
23,20260222_sb_p19_t3,2/23/2026 3:25:03 PM,OK,Unchecked,0,,25.0,°C,,2.054,mL,,60.011,g,,60.0106,g,1.0,g/mL,
24,20260222_sb_p20_t3,2/23/2026 3:34:54 PM,OK,Unchecked,0,,25.0,°C,,2.144,mL,,60.201,g,,60.2012,g,1.0,g/mL,
25,20260222_sb_p21_t3,2/23/2026 3:44:59 PM,OK,Unchecked,0,,25.0,°C,,2.094,mL,,60.143,g,,60.1427,g,1.0,g/mL,
26,20260222_sb_p31_t3,2/23/2026 3:54:58 PM,OK,Unchecked,0,,25.0,°C,,2.195,mL,,60.247,g,,60.2474,g,1.0,g/mL,
27,20260222_sb_ocn_t3,2/23/2026 4:05:10 PM,OK,Unchecked,0,,25.0,°C,,2.285,mL,,60.097,g,,60.0968,g,1.0,g/mL,
SystemInternal2/23/2026 4:15:52 PM,,,,,,,,,,,,,,,,,,,,1/1
