"SampleID","TA","Mass","Sample.Index"
"junk1",2321.65038502744,60.0487,1
"junk2",2307.42439384854,60.1228,2
"junk3",2309.89027171396,60.2852,3
"20260502_sb_p23_t1",2613.62399543502,60.2314,4
"20260502_sb_p24_t1",2397.96300476517,60.0199,5
"20260502_sb_p25_t1",2656.89583643795,60.2338,6
"20260502_sb_p26_t1",2739.8270318816,60.2768,7
"20260502_sb_p28_t1",2436.86967358253,60.2599,8
"20260502_sb_p29_t1",2705.14018679235,60.1292,9
"20260502_sb_p32_t1",2660.19640246136,60.1554,10
"20260502_sb_p23_t2",2604.75744807184,60.3899,11
"20260502_sb_p24_t2",2312.8148853396,60.2194,12
"20260502_sb_p25_t2",2658.34562505188,60.0625,13
"20260502_sb_p26_t2",2731.98514168071,60.1433,14
"20260502_sb_p28_t2",2412.22383927854,60.072,15
"20260502_sb_p29_t2",2698.91365555318,60.2635,16
"20260502_sb_p32_t2",2676.09756305469,60.1239,17
"20260502_sb_p23_t3",2585.69184663831,60.0113,18
"20260502_sb_p24_t3",2168.79271844791,60.1554,19
"20260502_sb_p25_t3",2638.85756135841,60.0348,20
"20260502_sb_p26_t3",2677.92008161247,60.3972,21
"20260502_sb_p28_t3",2263.21205210956,60.3293,22
"20260502_sb_p29_t3",2665.61353968961,60.399,23
"20260502_sb_p32_t3",2671.5111357673,60.13,24
