Task,T1884
Scope 1/1, Sample 1/26 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-68.7,21.6,NaN,,
0.0005,1,-68.7,21.6,0.0005,,
0.0025,2,-68.6,21.7,0.0020,,
0.0050,3,-68.6,21.6,0.0025,,
0.0090,4,-68.7,21.7,0.0035,,
0.0150,5,-68.5,21.7,0.0055,,
0.0235,6,-68.0,21.7,0.0075,,
0.0310,7,-67.4,21.7,0.0075,,
0.0395,8,-66.8,21.7,0.0085,,
0.0480,9,-66.0,21.7,0.0075,,
0.0565,10,-64.8,21.7,0.0075,,
0.0650,11,-63.7,21.7,0.0075,,
0.0735,12,-62.6,21.7,0.0085,,
0.0810,13,-61.4,21.7,0.0075,,
0.0895,14,-59.9,21.7,0.0085,,
0.0975,15,-58.6,21.7,0.0075,,
0.1060,16,-57.3,21.7,0.0075,,
0.1145,17,-55.6,21.7,0.0075,,
0.1220,18,-54.2,21.7,0.0075,,
0.1305,19,-52.4,21.7,0.0085,,
0.1390,20,-50.6,21.7,0.0075,,
0.1475,21,-49.0,21.7,0.0075,,
0.1560,22,-47.0,21.7,0.0075,,
0.1640,23,-44.9,21.7,0.0075,,
0.1720,24,-42.9,21.7,0.0080,,
0.1800,25,-40.8,21.7,0.0080,,
0.1885,26,-38.4,21.7,0.0085,,
0.1970,27,-35.8,21.7,0.0075,,
0.2055,28,-33.0,21.7,0.0075,,
0.2140,29,-30.3,21.7,0.0075,,
0.2215,30,-27.7,21.7,0.0075,,
0.2300,31,-24.7,21.7,0.0085,,
0.2385,32,-21.7,21.7,0.0075,,
0.2465,33,-19.1,21.7,0.0075,,
0.2550,34,-16.4,21.7,0.0075,,
0.2635,35,-14.0,21.7,0.0075,,
0.2710,36,-12.0,21.7,0.0075,,
0.2795,37,-10.0,21.7,0.0085,,
0.2880,38,-8.1,21.7,0.0075,,
0.2965,39,-6.2,21.7,0.0075,,
0.3050,40,-4.3,21.7,0.0075,,
0.3130,41,-3.0,21.7,0.0075,,
0.3210,42,-1.6,21.7,0.0080,,
0.3290,43,-0.2,21.7,0.0080,,
0.3375,44,1.1,21.7,0.0075,,
0.3460,45,2.3,21.7,0.0075,,
0.3545,46,3.4,21.7,0.0075,,
0.3630,47,4.5,21.7,0.0085,,
0.3705,48,5.8,21.7,0.0075,,
0.3790,49,7.0,21.7,0.0085,,
0.3875,50,7.9,21.7,0.0075,,
0.3955,51,9.0,21.7,0.0075,,
0.4040,52,10.1,21.7,0.0075,,
0.4115,53,10.9,21.7,0.0075,,
0.4200,54,11.8,21.7,0.0085,,
0.4285,55,12.8,21.7,0.0075,,
0.4370,56,13.9,21.7,0.0075,,
0.4455,57,14.8,21.7,0.0075,,
0.4540,58,15.7,21.7,0.0075,,
0.4615,59,16.6,21.7,0.0075,,
0.4700,60,17.6,21.7,0.0085,,
0.4780,61,18.6,21.7,0.0075,,
0.4865,62,19.5,21.7,0.0075,,
0.4950,63,20.5,21.7,0.0075,,
0.5035,64,21.5,21.7,0.0075,,
0.5110,65,22.3,21.7,0.0075,,
0.5195,66,23.1,21.7,0.0085,,
0.5280,67,23.8,21.7,0.0075,,
0.5365,68,24.8,21.7,0.0075,,
0.5445,69,25.8,21.7,0.0075,,
0.5530,70,26.6,21.7,0.0075,,
0.5605,71,27.4,21.7,0.0075,,
0.5690,72,28.2,21.7,0.0085,,
0.5775,73,29.2,21.7,0.0075,,
0.5860,74,29.9,21.7,0.0075,,
0.5945,75,30.7,21.7,0.0075,,
0.6030,76,31.4,21.7,0.0085,,
0.6105,77,32.4,21.7,0.0075,,
0.6190,78,33.4,21.7,0.0075,,
0.6270,79,34.3,21.7,0.0075,,
0.6355,80,35.2,21.7,0.0075,,
0.6440,81,36.2,21.7,0.0075,,
0.6515,82,36.9,21.7,0.0075,,
0.6600,83,37.8,21.7,0.0085,,
0.6685,84,38.7,21.7,0.0075,,
0.6770,85,39.6,21.7,0.0075,,
0.6855,86,40.4,21.7,0.0075,,
0.6935,87,41.1,21.7,0.0075,,
0.7015,88,42.0,21.7,0.0080,,
0.7095,89,42.9,21.7,0.0080,,
0.7180,90,43.9,21.7,0.0075,,
0.7265,91,44.6,21.7,0.0075,,
0.7350,92,45.6,21.7,0.0075,,
0.7435,93,46.2,21.7,0.0085,,
0.7510,94,47.4,21.7,0.0075,,
0.7595,95,48.3,21.7,0.0085,,
0.7680,96,49.1,21.7,0.0075,,
0.7760,97,50.1,21.7,0.0075,,
0.7845,98,51.1,21.7,0.0075,,
0.7920,99,51.9,21.7,0.0075,,
0.8005,100,52.7,21.7,0.0085,,
0.8090,101,53.7,21.7,0.0075,,
0.8175,102,54.7,21.7,0.0075,,
0.8260,103,55.5,21.7,0.0075,,
0.8345,104,56.4,21.7,0.0075,,
0.8420,105,57.2,21.7,0.0075,,
0.8505,106,58.2,21.7,0.0085,,
0.8590,107,59.2,21.7,0.0075,,
0.8670,108,60.0,21.7,0.0075,,
0.8755,109,61.0,21.7,0.0075,,
0.8840,110,61.9,21.7,0.0075,,
0.8915,111,62.7,21.7,0.0075,,
0.9000,112,63.7,21.7,0.0085,,
0.9085,113,64.5,21.7,0.0075,,
0.9170,114,65.5,21.7,0.0075,,
0.9250,115,66.4,21.7,0.0075,,
0.9335,116,67.3,21.7,0.0085,,
0.9410,117,68.1,21.7,0.0075,,
0.9495,118,69.1,21.7,0.0085,,
0.9580,119,70.2,21.7,0.0075,,
0.9665,120,71.0,21.7,0.0075,,
0.9750,121,72.1,21.7,0.0075,,
0.9825,122,72.9,21.7,0.0075,,
0.9910,123,74.1,21.7,0.0085,,
0.9995,124,75.1,21.7,0.0075,,
1.0080,125,76.1,21.7,0.0075,,
1.0160,126,77.4,21.7,0.0075,,
1.0245,127,78.4,21.7,0.0075,,
1.0320,128,79.4,21.7,0.0075,,
1.0405,129,80.3,21.7,0.0085,,
1.0490,130,81.4,21.7,0.0075,,
1.0575,131,82.5,21.7,0.0075,,
1.0660,132,83.4,21.7,0.0075,,
1.0745,133,84.5,21.7,0.0085,,
1.0820,134,85.5,21.7,0.0075,,
1.0905,135,86.8,21.7,0.0085,,
1.0985,136,88.0,21.7,0.0075,,
1.1070,137,89.1,21.7,0.0075,,
1.1155,138,90.5,21.7,0.0075,,
1.1230,139,91.4,21.7,0.0075,,
1.1315,140,92.9,21.7,0.0085,,
1.1400,141,94.2,21.7,0.0075,,
1.1485,142,95.7,21.7,0.0075,,
1.1570,143,97.0,21.7,0.0075,,
1.1650,144,98.4,21.7,0.0075,,
1.1730,145,99.8,21.7,0.0080,,
1.1810,146,101.1,21.7,0.0080,,
1.1895,147,102.9,21.7,0.0075,,
1.1980,148,104.4,21.7,0.0075,,
1.2065,149,106.0,21.7,0.0075,,
1.2150,150,107.8,21.7,0.0075,,
1.2225,151,109.6,21.7,0.0075,,
1.2310,152,111.8,21.7,0.0085,,
1.2395,153,113.5,21.7,0.0075,,
1.2475,154,115.5,21.7,0.0075,,
1.2560,155,117.8,21.7,0.0075,,
1.2645,156,120.1,21.7,0.0075,,
1.2720,157,122.5,21.7,0.0075,,
1.2805,158,124.9,21.7,0.0085,,
1.2890,159,127.5,21.7,0.0075,,
1.2975,160,130.5,21.7,0.0075,,
1.3060,161,133.6,21.7,0.0075,,
1.3140,162,136.8,21.7,0.0075,,
1.3220,163,139.8,21.7,0.0080,,
1.3300,164,143.5,21.7,0.0080,,
1.3385,165,147.2,21.7,0.0075,,
1.3470,166,150.9,21.7,0.0075,,
1.3555,167,154.8,21.7,0.0075,,
1.3640,168,158.0,21.7,0.0085,,
1.3715,169,161.4,21.7,0.0075,,
1.3800,170,164.6,21.7,0.0085,,
1.3885,171,167.6,21.7,0.0075,,
1.3965,172,170.7,21.7,0.0075,,
1.4050,173,173.3,21.7,0.0075,,
1.4125,174,175.5,21.7,0.0075,,
1.4210,175,177.8,21.7,0.0085,,
1.4295,176,180.2,21.7,0.0085,,
1.4380,177,182.1,21.7,0.0075,,
1.4465,178,183.9,21.7,0.0075,,
1.4535,179,185.3,21.7,0.0070,,
1.4535,419,188.0,21.8,0.0000,,
1.4540,420,187.8,21.8,0.0005,,
1.4555,421,188.0,21.8,0.0015,,
1.4580,422,188.3,21.8,0.0025,,
1.4620,423,188.5,21.8,0.0035,,
1.4680,424,189.4,21.8,0.0055,,
1.4760,425,190.7,21.8,0.0075,,
1.4840,426,191.9,21.8,0.0080,,
1.4920,427,193.1,21.8,0.0080,,
1.5005,428,194.3,21.8,0.0075,,
1.5090,429,195.8,21.8,0.0075,,
1.5175,430,196.8,21.8,0.0075,,
1.5260,431,197.9,21.8,0.0085,,
1.5335,432,198.9,21.8,0.0075,,
1.5420,433,199.8,21.8,0.0085,,
1.5505,434,201.0,21.8,0.0075,,
1.5585,435,201.9,21.8,0.0075,,
1.5670,436,202.7,21.8,0.0075,,
1.5755,437,203.6,21.8,0.0085,,
1.5830,438,204.5,21.8,0.0075,,
1.5915,439,205.3,21.8,0.0085,,
1.6000,440,206.0,21.8,0.0075,,
1.6085,441,206.9,21.8,0.0075,,
1.6170,442,207.6,21.8,0.0075,,
1.6245,443,208.4,21.8,0.0075,,
1.6330,444,209.0,21.8,0.0085,,
1.6410,445,209.7,21.8,0.0080,,
1.6495,446,210.4,21.8,0.0075,,
1.6580,447,211.1,21.8,0.0075,,
1.6665,448,211.6,21.8,0.0075,,
1.6740,449,212.2,21.8,0.0075,,
1.6825,450,212.9,21.8,0.0085,,
1.6910,451,213.6,21.8,0.0085,,
1.6995,452,214.0,21.8,0.0075,,
1.7075,453,214.6,21.8,0.0075,,
1.7160,454,215.2,21.8,0.0075,,
1.7235,455,215.7,21.8,0.0075,,
1.7320,456,216.3,21.8,0.0085,,
1.7405,457,216.7,21.8,0.0075,,
1.7490,458,217.4,21.8,0.0075,,
1.7575,459,217.9,21.8,0.0075,,
1.7660,460,218.3,21.8,0.0075,,
1.7735,461,218.7,21.8,0.0075,,
1.7820,462,219.3,21.8,0.0085,,
1.7900,463,219.9,21.8,0.0075,,
1.7985,464,220.4,21.8,0.0075,,
1.8070,465,220.8,21.8,0.0075,,
1.8145,466,221.2,21.8,0.0075,,
1.8230,467,221.7,21.8,0.0085,,
1.8315,468,222.2,21.8,0.0085,,
1.8400,469,222.5,21.8,0.0075,,
1.8485,470,222.9,21.8,0.0075,,
1.8565,471,223.4,21.8,0.0075,,
1.8650,472,223.7,21.8,0.0085,,
1.8725,473,224.1,21.8,0.0075,,
1.8810,474,224.4,21.8,0.0085,,
1.8895,475,224.9,21.8,0.0075,,
1.8980,476,225.4,21.8,0.0075,,
1.9065,477,225.6,21.8,0.0075,,
1.9140,478,226.0,21.8,0.0075,,
1.9225,479,226.3,21.8,0.0085,,
1.9310,480,226.9,21.8,0.0085,,
1.9390,481,227.1,21.8,0.0075,,
1.9475,482,227.4,21.8,0.0075,,
1.9560,483,227.9,21.8,0.0075,,
1.9635,484,228.2,21.8,0.0075,,
1.9720,485,228.5,21.8,0.0085,,
1.9805,486,228.7,21.8,0.0075,,
1.9890,487,229.1,21.8,0.0075,,
1.9975,488,229.5,21.8,0.0075,,
2.0055,489,229.6,21.8,0.0075,,
2.0135,490,229.9,21.8,0.0080,,
2.0215,491,230.1,21.8,0.0080,,
2.0300,492,230.5,21.8,0.0085,,
2.0385,493,230.8,21.8,0.0075,,
2.0470,494,231.0,21.8,0.0075,,
2.0555,495,231.4,21.8,0.0075,,
2.0630,496,231.6,21.8,0.0075,,
2.0715,497,232.0,21.8,0.0085,,
2.0795,498,232.3,21.8,0.0080,,
2.0880,499,232.5,21.8,0.0075,,
2.0965,500,232.8,21.8,0.0075,,
2.1050,501,233.1,21.8,0.0075,,
2.1125,502,233.4,21.8,0.0075,,
2.1210,503,233.5,21.8,0.0085,,
2.1295,504,233.8,21.8,0.0075,,
2.1360,505,234.2,21.8,0.0060,,
2.1385,506,234.3,21.8,0.0025,,
2.1390,507,234.3,21.8,0.0005,,
2.1395,508,234.3,21.8,0.0005,,
2.1410,509,234.4,21.8,0.0015,,
2.1425,510,234.6,21.8,0.0015,,
2.1450,511,234.5,21.8,0.0025,,
2.1485,512,234.7,21.8,0.0030,,
2.1515,513,234.8,21.8,0.0030,,
2.1550,514,235.0,21.8,0.0025,,
Scope 1/1, Sample 2/26 (junk2)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-68.3,21.6,NaN,,
0.0010,1,-68.1,21.6,0.0010,,
0.0025,2,-68.3,21.6,0.0015,,
0.0050,3,-68.2,21.6,0.0020,,
0.0090,4,-68.2,21.6,0.0035,,
0.0150,5,-67.9,21.6,0.0055,,
0.0235,6,-67.6,21.6,0.0075,,
0.0320,7,-66.8,21.7,0.0075,,
0.0405,8,-66.0,21.6,0.0075,,
0.0490,9,-65.2,21.7,0.0075,,
0.0565,10,-64.1,21.7,0.0070,,
0.0650,11,-62.9,21.7,0.0075,,
0.0735,12,-61.5,21.6,0.0075,,
0.0820,13,-60.2,21.7,0.0075,,
0.0900,14,-59.0,21.6,0.0075,,
0.0975,15,-57.6,21.6,0.0070,,
0.1060,16,-56.1,21.7,0.0075,,
0.1145,17,-54.5,21.7,0.0075,,
0.1230,18,-52.9,21.6,0.0075,,
0.1315,19,-51.2,21.6,0.0075,,
0.1400,20,-49.4,21.7,0.0070,,
0.1475,21,-47.6,21.6,0.0070,,
0.1560,22,-45.6,21.7,0.0075,,
0.1640,23,-43.6,21.7,0.0075,,
0.1725,24,-41.3,21.7,0.0075,,
0.1810,25,-38.8,21.7,0.0075,,
0.1895,26,-36.4,21.7,0.0070,,
0.1970,27,-34.0,21.7,0.0070,,
0.2055,28,-31.2,21.7,0.0075,,
0.2140,29,-28.1,21.7,0.0075,,
0.2225,30,-25.2,21.7,0.0075,,
0.2310,31,-22.5,21.7,0.0075,,
0.2390,32,-20.0,21.7,0.0075,,
0.2470,33,-17.3,21.7,0.0075,,
0.2550,34,-14.7,21.7,0.0075,,
0.2635,35,-12.6,21.7,0.0075,,
0.2720,36,-10.5,21.7,0.0075,,
0.2805,37,-8.5,21.7,0.0075,,
0.2890,38,-6.9,21.7,0.0075,,
0.2965,39,-5.0,21.7,0.0070,,
0.3050,40,-3.5,21.7,0.0075,,
0.3130,41,-2.0,21.7,0.0075,,
0.3215,42,-0.5,21.7,0.0075,,
0.3300,43,0.7,21.7,0.0075,,
0.3385,44,1.9,21.7,0.0075,,
0.3460,45,3.2,21.7,0.0070,,
0.3545,46,4.6,21.7,0.0075,,
0.3630,47,5.7,21.7,0.0075,,
0.3715,48,6.7,21.7,0.0075,,
0.3795,49,7.9,21.7,0.0075,,
0.3875,50,8.9,21.7,0.0075,,
0.3955,51,10.0,21.7,0.0075,,
0.4040,52,10.9,21.7,0.0075,,
0.4125,53,11.9,21.7,0.0075,,
0.4210,54,13.1,21.7,0.0075,,
0.4295,55,14.0,21.7,0.0070,,
0.4370,56,15.1,21.7,0.0070,,
0.4455,57,15.9,21.7,0.0075,,
0.4540,58,17.0,21.7,0.0075,,
0.4620,59,18.0,21.7,0.0075,,
0.4705,60,18.8,21.7,0.0075,,
0.4790,61,19.7,21.7,0.0070,,
0.4865,62,20.6,21.7,0.0070,,
0.4950,63,21.5,21.7,0.0075,,
0.5035,64,22.3,21.7,0.0075,,
0.5120,65,23.2,21.7,0.0075,,
0.5205,66,24.2,21.7,0.0075,,
0.5285,67,25.2,21.7,0.0065,,
0.5365,68,26.0,21.7,0.0075,,
0.5445,69,26.8,21.7,0.0075,,
0.5530,70,27.8,21.7,0.0075,,
0.5615,71,28.7,21.7,0.0075,,
0.5700,72,29.5,21.7,0.0075,,
0.5785,73,30.4,21.7,0.0075,,
0.5860,74,31.1,21.7,0.0070,,
0.5945,75,32.1,21.7,0.0075,,
0.6030,76,32.9,21.7,0.0075,,
0.6110,77,33.6,21.7,0.0075,,
0.6195,78,34.5,21.7,0.0075,,
0.6280,79,35.3,21.7,0.0075,,
0.6355,80,36.2,21.7,0.0070,,
0.6440,81,37.2,21.7,0.0075,,
0.6525,82,37.9,21.7,0.0075,,
0.6610,83,38.8,21.7,0.0075,,
0.6690,84,39.8,21.7,0.0075,,
0.6775,85,40.5,21.7,0.0070,,
0.6850,86,41.4,21.7,0.0070,,
0.6935,87,42.2,21.7,0.0075,,
0.7020,88,43.2,21.7,0.0075,,
0.7105,89,44.1,21.7,0.0075,,
0.7190,90,44.8,21.7,0.0075,,
0.7270,91,45.8,21.7,0.0065,,
