Results Editor,,,,,,
Result Details,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],Point label,
0.0000,0,-73.5,NaN,21.3,,
0.0010,1,-73.6,0.0010,21.3,,
0.0025,2,-73.5,0.0015,21.3,,
0.0050,3,-73.5,0.0020,21.3,,
0.0085,4,-73.3,0.0030,21.3,,
0.0150,5,-72.9,0.0060,21.3,,
0.0230,6,-72.5,0.0075,21.3,,
0.0315,7,-71.7,0.0075,21.3,,
0.0400,8,-70.7,0.0075,21.3,,
0.0485,9,-69.7,0.0070,21.3,,
0.0560,10,-68.6,0.0070,21.3,,
0.0645,11,-67.2,0.0075,21.3,,
0.0725,12,-65.7,0.0075,21.3,,
0.0810,13,-64.3,0.0075,21.3,,
0.0895,14,-62.7,0.0075,21.3,,
0.0980,15,-61.1,0.0075,21.3,,
0.1055,16,-59.5,0.0070,21.3,,
0.1140,17,-57.8,0.0075,21.3,,
0.1225,18,-55.8,0.0075,21.3,,
0.1310,19,-53.7,0.0075,21.3,,
0.1390,20,-51.6,0.0075,21.3,,
0.1475,21,-49.3,0.0075,21.3,,
0.1550,22,-47.0,0.0070,21.3,,
0.1635,23,-44.5,0.0075,21.3,,
0.1720,24,-41.8,0.0075,21.3,,
0.1805,25,-39.0,0.0075,21.3,,
0.1890,26,-35.9,0.0075,21.3,,
0.1970,27,-32.5,0.0075,21.3,,
0.2050,28,-29.3,0.0075,21.3,,
0.2130,29,-25.6,0.0075,21.3,,
0.2215,30,-22.0,0.0075,21.3,,
0.2300,31,-18.7,0.0075,21.3,,
0.2385,32,-15.6,0.0075,21.3,,
0.2470,33,-12.7,0.0075,21.3,,
0.2545,34,-10.4,0.0070,21.3,,
0.2630,35,-8.0,0.0075,21.3,,
0.2715,36,-5.6,0.0075,21.3,,
0.2795,37,-3.6,0.0075,21.3,,
0.2880,38,-1.8,0.0075,21.3,,
0.2965,39,-0.4,0.0075,21.3,,
0.3040,40,1.3,0.0070,21.3,,
0.3125,41,2.9,0.0075,21.3,,
0.3210,42,4.5,0.0075,21.3,,
0.3295,43,5.9,0.0075,21.3,,
0.3380,44,7.3,0.0075,21.3,,
0.3460,45,8.6,0.0065,21.3,,
0.3540,46,9.8,0.0075,21.3,,
0.3620,47,11.0,0.0075,21.3,,
0.3705,48,12.2,0.0075,21.3,,
0.3790,49,13.5,0.0075,21.3,,
0.3875,50,14.7,0.0070,21.3,,
0.3960,51,15.7,0.0075,21.3,,
0.4035,52,16.8,0.0070,21.3,,
0.4120,53,17.9,0.0075,21.3,,
0.4200,54,19.1,0.0075,21.3,,
0.4285,55,20.1,0.0075,21.3,,
0.4370,56,21.3,0.0075,21.3,,
0.4455,57,22.4,0.0075,21.3,,
0.4530,58,23.4,0.0070,21.3,,
0.4615,59,24.3,0.0075,21.3,,
0.4700,60,25.4,0.0075,21.3,,
0.4785,61,26.5,0.0075,21.3,,
0.4865,62,27.4,0.0075,21.3,,
0.4950,63,28.4,0.0070,21.3,,
0.5025,64,29.5,0.0070,21.3,,
0.5110,65,30.3,0.0075,21.3,,
0.5195,66,31.3,0.0075,21.3,,
0.5280,67,32.3,0.0075,21.3,,
0.5365,68,33.3,0.0075,21.3,,
0.5445,69,34.2,0.0065,21.3,,
0.5525,70,35.0,0.0075,21.3,,
0.5605,71,36.2,0.0075,21.3,,
0.5690,72,37.2,0.0075,21.3,,
0.5775,73,38.1,0.0075,21.3,,
0.5860,74,39.1,0.0075,21.3,,
0.5945,75,40.1,0.0070,21.3,,
0.6020,76,40.8,0.0070,21.3,,
0.6105,77,41.8,0.0075,21.3,,
0.6190,78,42.7,0.0075,21.3,,
0.6275,79,43.7,0.0075,21.3,,
0.6355,80,44.7,0.0075,21.3,,
0.6440,81,45.7,0.0070,21.3,,
0.6515,82,46.6,0.0070,21.3,,
0.6600,83,47.6,0.0075,21.3,,
0.6685,84,48.4,0.0075,21.3,,
0.6770,85,49.3,0.0075,21.3,,
0.6850,86,50.2,0.0075,21.3,,
0.6935,87,51.2,0.0075,21.3,,
0.7010,88,52.0,0.0070,21.3,,
0.7095,89,52.9,0.0075,21.3,,
0.7180,90,53.8,0.0075,21.3,,
0.7265,91,54.8,0.0075,21.3,,
0.7350,92,55.7,0.0075,21.3,,
0.7435,93,56.6,0.0075,21.3,,
0.7510,94,57.4,0.0070,21.3,,
0.7595,95,58.2,0.0075,21.3,,
0.7675,96,59.1,0.0075,21.3,,
0.7760,97,60.0,0.0075,21.3,,
0.7845,98,61.0,0.0075,21.3,,
0.7930,99,62.0,0.0075,21.3,,
0.8005,100,62.8,0.0070,21.3,,
0.8090,101,63.8,0.0075,21.3,,
0.8175,102,64.7,0.0075,21.3,,
0.8260,103,65.6,0.0075,21.3,,
0.8340,104,66.4,0.0075,21.3,,
0.8425,105,67.4,0.0075,21.3,,
0.8500,106,68.2,0.0070,21.3,,
0.8585,107,69.2,0.0075,21.3,,
0.8670,108,70.4,0.0075,21.3,,
0.8755,109,71.3,0.0075,21.3,,
0.8840,110,72.3,0.0075,21.3,,
0.8920,111,73.3,0.0075,21.3,,
0.9000,112,74.2,0.0075,21.3,,
0.9080,113,75.1,0.0075,21.3,,
0.9165,114,76.2,0.0075,21.3,,
0.9250,115,77.0,0.0075,21.3,,
0.9335,116,77.9,0.0075,21.3,,
0.9420,117,79.0,0.0075,21.3,,
0.9500,118,80.0,0.0075,21.3,,
0.9580,119,81.0,0.0075,21.3,,
0.9660,120,82.1,0.0075,21.3,,
0.9745,121,83.5,0.0075,21.3,,
0.9830,122,84.6,0.0075,21.3,,
0.9915,123,85.6,0.0075,21.3,,
1.0000,124,86.5,0.0075,21.3,,
1.0075,125,87.7,0.0070,21.3,,
1.0160,126,89.0,0.0075,21.3,,
1.0245,127,90.3,0.0075,21.3,,
1.0325,128,91.6,0.0075,21.3,,
1.0410,129,92.9,0.0075,21.3,,
1.0495,130,94.2,0.0075,21.3,,
1.0570,131,95.7,0.0070,21.3,,
1.0655,132,96.9,0.0075,21.3,,
1.0740,133,98.3,0.0075,21.3,,
1.0825,134,99.7,0.0075,21.3,,
1.0905,135,101.2,0.0075,21.3,,
1.0990,136,102.9,0.0070,21.3,,
1.1065,137,104.5,0.0070,21.3,,
1.1150,138,106.1,0.0075,21.3,,
1.1235,139,108.0,0.0075,21.3,,
1.1320,140,109.8,0.0075,21.3,,
1.1405,141,112.0,0.0075,21.3,,
1.1490,142,113.8,0.0070,21.3,,
1.1565,143,115.6,0.0070,21.3,,
1.1650,144,117.8,0.0075,21.3,,
1.1730,145,120.0,0.0075,21.3,,
1.1815,146,122.5,0.0075,21.3,,
1.1900,147,125.0,0.0075,21.3,,
1.1985,148,127.6,0.0070,21.3,,
1.2060,149,129.9,0.0070,21.3,,
1.2145,150,132.6,0.0075,21.3,,
1.2230,151,135.5,0.0075,21.3,,
1.2310,152,138.5,0.0075,21.3,,
1.2395,153,141.6,0.0075,21.3,,
1.2480,154,144.6,0.0070,21.3,,
1.2555,155,147.3,0.0070,21.3,,
1.2640,156,150.3,0.0075,21.3,,
1.2725,157,153.4,0.0075,21.3,,
1.2810,158,156.3,0.0075,21.3,,
1.2895,159,159.4,0.0075,21.3,,
1.2975,160,162.1,0.0065,21.3,,
1.3055,161,164.3,0.0075,21.3,,
1.3135,162,166.8,0.0075,21.3,,
1.3220,163,169.3,0.0075,21.3,,
1.3305,164,171.4,0.0075,21.3,,
1.3390,165,173.6,0.0075,21.3,,
1.3475,166,175.4,0.0075,21.3,,
1.3550,167,177.2,0.0070,21.3,,
1.3635,168,179.2,0.0075,21.3,,
1.3715,169,180.8,0.0075,21.3,,
1.3800,170,182.4,0.0075,21.3,,
1.3885,171,183.9,0.0075,21.3,,
1.3970,172,185.0,0.0070,21.3,,
1.3970,412,187.4,0.0000,21.4,,
1.3975,413,187.4,0.0005,21.4,,
1.3990,414,187.4,0.0010,21.4,,
1.4020,415,187.5,0.0020,21.4,,
1.4060,416,187.9,0.0030,21.4,,
1.4120,417,188.6,0.0045,21.4,,
1.4205,418,189.6,0.0060,21.4,,
1.4280,419,190.5,0.0060,21.4,,
1.4365,420,191.6,0.0065,21.4,,
1.4450,421,192.8,0.0065,21.4,,
1.4535,422,193.8,0.0060,21.4,,
1.4615,423,194.9,0.0055,21.4,,
1.4700,424,195.9,0.0060,21.4,,
1.4775,425,196.8,0.0060,21.4,,
1.4860,426,197.7,0.0065,21.4,,
1.4945,427,198.7,0.0065,21.4,,
1.5030,428,199.5,0.0060,21.4,,
1.5115,429,200.3,0.0060,21.4,,
1.5195,430,201.1,0.0055,21.4,,
1.5275,431,201.9,0.0060,21.4,,
1.5355,432,202.6,0.0060,21.4,,
1.5440,433,203.4,0.0065,21.4,,
1.5525,434,204.1,0.0060,21.4,,
1.5610,435,204.8,0.0060,21.4,,
1.5695,436,205.6,0.0060,21.4,,
1.5770,437,206.2,0.0060,21.4,,
1.5855,438,206.8,0.0065,21.4,,
1.5940,439,207.5,0.0065,21.4,,
1.6020,440,208.1,0.0055,21.4,,
1.6105,441,208.7,0.0060,21.4,,
1.6190,442,209.4,0.0060,21.4,,
1.6265,443,209.8,0.0060,21.4,,
1.6350,444,210.4,0.0065,21.4,,
1.6435,445,210.9,0.0065,21.4,,
1.6520,446,211.4,0.0060,21.4,,
1.6600,447,212.0,0.0055,21.4,,
1.6685,448,212.5,0.0060,21.4,,
1.6760,449,212.9,0.0060,21.4,,
1.6845,450,213.5,0.0065,21.4,,
1.6930,451,214.0,0.0065,21.4,,
1.7015,452,214.5,0.0060,21.4,,
1.7100,453,215.0,0.0060,21.4,,
1.7185,454,215.5,0.0060,21.4,,
1.7260,455,215.8,0.0060,21.4,,
1.7345,456,216.4,0.0065,21.4,,
1.7425,457,216.7,0.0060,21.4,,
1.7510,458,217.2,0.0060,21.4,,
1.7595,459,217.7,0.0060,21.4,,
1.7680,460,218.0,0.0060,21.4,,
1.7755,461,218.5,0.0060,21.4,,
1.7840,462,218.8,0.0065,21.4,,
1.7925,463,219.3,0.0065,21.4,,
1.8010,464,219.5,0.0060,21.4,,
1.8090,465,219.9,0.0055,21.4,,
1.8175,466,220.4,0.0060,21.4,,
1.8250,467,220.7,0.0060,21.4,,
1.8335,468,221.2,0.0065,21.4,,
1.8420,469,221.5,0.0065,21.4,,
1.8505,470,221.8,0.0060,21.4,,
1.8590,471,222.2,0.0060,21.4,,
1.8675,472,222.5,0.0060,21.4,,
1.8750,473,222.9,0.0060,21.4,,
1.8835,474,223.2,0.0065,21.4,,
1.8915,475,223.5,0.0060,21.4,,
1.9000,476,223.9,0.0060,21.4,,
1.9085,477,224.3,0.0060,21.4,,
1.9170,478,224.6,0.0060,21.4,,
1.9245,479,224.9,0.0060,21.4,,
1.9330,480,225.1,0.0065,21.4,,
1.9415,481,225.4,0.0065,21.4,,
1.9495,482,225.8,0.0055,21.4,,
1.9580,483,226.1,0.0060,21.4,,
1.9665,484,226.3,0.0060,21.4,,
1.9740,485,226.6,0.0060,21.4,,
1.9825,486,226.9,0.0065,21.4,,
1.9910,487,227.2,0.0065,21.4,,
1.9995,488,227.5,0.0060,21.4,,
2.0080,489,227.8,0.0060,21.4,,
2.0160,490,228.2,0.0055,21.4,,
2.0240,491,228.4,0.0060,21.4,,
2.0320,492,228.7,0.0060,21.4,,
2.0405,493,229.0,0.0065,21.4,,
2.0490,494,229.3,0.0060,21.4,,
2.0575,495,229.5,0.0060,21.4,,
2.0660,496,229.8,0.0060,21.4,,
2.0735,497,230.1,0.0060,21.4,,
2.0820,498,230.3,0.0065,21.4,,
2.0900,499,230.6,0.0060,21.4,,
2.0985,500,230.8,0.0060,21.4,,
2.1070,501,231.1,0.0060,21.4,,
2.1155,502,231.4,0.0060,21.4,,
2.1230,503,231.5,0.0060,21.4,,
2.1315,504,231.7,0.0065,21.4,,
2.1400,505,232.1,0.0065,21.4,,
2.1485,506,232.2,0.0060,21.4,,
2.1565,507,232.6,0.0055,21.4,,
2.1650,508,232.8,0.0060,21.4,,
2.1725,509,232.9,0.0060,21.4,,
2.1810,510,233.2,0.0065,21.4,,
2.1895,511,233.5,0.0065,21.4,,
2.1980,512,233.6,0.0060,21.4,,
2.2065,513,233.8,0.0060,21.4,,
2.2145,514,234.1,0.0055,21.4,,
2.2205,515,234.3,0.0045,21.4,,
2.2225,516,234.5,0.0015,21.4,,
2.2230,517,234.5,0.0005,21.4,,
2.2240,518,234.6,0.0005,21.4,,
2.2240,519,234.5,0.0000,21.4,,
2.2260,520,234.6,0.0015,21.4,,
2.2285,521,234.6,0.0020,21.4,,
2.2310,522,234.7,0.0020,21.4,,
2.2350,523,234.7,0.0030,21.4,,
2.2390,524,234.9,0.0030,21.4,,
2.2430,525,235.0,0.0030,21.4,,
2.2430,,235.0,,,EP,
2.2465,526,235.0,0.0030,21.4,,
SystemInternal11/24/2025 4:05:03 PM,,,,,,1/1
