Results Editor,,,,,,
Result Details,,,,,,
V [m L],t [s],E [m V],d V/dt [m L/s],T [°C],Point label,
0.0000,0,-97.5,NaN,21.4,,
0.0005,1,-97.5,0.0005,21.4,,
0.0025,2,-97.5,0.0020,21.4,,
0.0050,3,-97.4,0.0025,21.4,,
0.0085,4,-97.3,0.0030,21.4,,
0.0150,5,-97.2,0.0060,21.4,,
0.0230,6,-96.9,0.0075,21.4,,
0.0305,7,-96.5,0.0075,21.5,,
0.0390,8,-96.1,0.0085,21.4,,
0.0475,9,-95.6,0.0075,21.5,,
0.0560,10,-95.1,0.0075,21.5,,
0.0645,11,-94.4,0.0075,21.5,,
0.0725,12,-93.9,0.0075,21.5,,
0.0805,13,-93.4,0.0080,21.5,,
0.0885,14,-92.9,0.0080,21.5,,
0.0970,15,-92.2,0.0085,21.5,,
0.1055,16,-91.6,0.0075,21.5,,
0.1140,17,-91.0,0.0075,21.5,,
0.1225,18,-90.3,0.0075,21.5,,
0.1300,19,-89.8,0.0075,21.5,,
0.1385,20,-89.2,0.0085,21.5,,
0.1470,21,-88.6,0.0085,21.5,,
0.1550,22,-87.9,0.0075,21.5,,
0.1635,23,-87.2,0.0075,21.5,,
0.1720,24,-86.5,0.0075,21.5,,
0.1795,25,-85.9,0.0075,21.5,,
0.1880,26,-85.1,0.0085,21.5,,
0.1965,27,-84.4,0.0085,21.5,,
0.2050,28,-83.6,0.0075,21.5,,
0.2130,29,-82.8,0.0075,21.5,,
0.2215,30,-82.0,0.0075,21.5,,
0.2300,31,-81.2,0.0085,21.5,,
0.2375,32,-80.4,0.0075,21.5,,
0.2460,33,-79.6,0.0085,21.5,,
0.2545,34,-78.7,0.0075,21.5,,
0.2630,35,-77.9,0.0075,21.5,,
0.2715,36,-77.0,0.0075,21.5,,
0.2795,37,-76.1,0.0080,21.5,,
0.2870,38,-75.2,0.0075,21.5,,
0.2955,39,-74.2,0.0085,21.5,,
0.3040,40,-73.2,0.0075,21.5,,
0.3125,41,-72.2,0.0075,21.5,,
0.3210,42,-71.2,0.0075,21.5,,
0.3295,43,-70.3,0.0085,21.5,,
0.3370,44,-69.3,0.0075,21.5,,
0.3455,45,-68.1,0.0085,21.5,,
0.3535,46,-67.0,0.0075,21.5,,
0.3620,47,-65.7,0.0075,21.5,,
0.3705,48,-64.3,0.0075,21.5,,
0.3790,49,-63.0,0.0075,21.5,,
0.3865,50,-61.7,0.0075,21.5,,
0.3950,51,-60.4,0.0085,21.5,,
0.4035,52,-58.8,0.0075,21.5,,
0.4115,53,-57.3,0.0075,21.5,,
0.4200,54,-55.7,0.0075,21.5,,
0.4285,55,-54.1,0.0075,21.5,,
0.4360,56,-52.5,0.0075,21.5,,
0.4445,57,-50.6,0.0085,21.5,,
0.4530,58,-48.7,0.0075,21.5,,
0.4615,59,-46.6,0.0075,21.5,,
0.4700,60,-44.5,0.0075,21.5,,
0.4780,61,-42.2,0.0075,21.5,,
0.4860,62,-40.0,0.0080,21.5,,
0.4940,63,-37.6,0.0080,21.5,,
0.5025,64,-34.9,0.0075,21.5,,
0.5110,65,-32.1,0.0075,21.5,,
0.5195,66,-29.1,0.0075,21.5,,
0.5280,67,-26.1,0.0075,21.5,,
0.5355,68,-23.2,0.0075,21.5,,
0.5440,69,-20.1,0.0085,21.5,,
0.5520,70,-16.9,0.0075,21.5,,
0.5605,71,-13.8,0.0075,21.5,,
0.5690,72,-11.0,0.0075,21.5,,
0.5775,73,-8.4,0.0075,21.5,,
0.5850,74,-6.3,0.0075,21.5,,
0.5935,75,-4.0,0.0085,21.5,,
0.6020,76,-2.1,0.0075,21.5,,
0.6105,77,-0.4,0.0075,21.5,,
0.6190,78,1.1,0.0075,21.5,,
0.6270,79,2.6,0.0075,21.5,,
0.6345,80,3.9,0.0075,21.5,,
0.6430,81,5.3,0.0085,21.5,,
0.6515,82,6.4,0.0075,21.5,,
0.6600,83,7.6,0.0075,21.5,,
0.6685,84,8.7,0.0075,21.5,,
0.6770,85,9.7,0.0075,21.5,,
0.6845,86,10.6,0.0075,21.5,,
0.6930,87,11.5,0.0085,21.5,,
0.7010,88,12.4,0.0075,21.5,,
0.7095,89,13.3,0.0075,21.5,,
0.7180,90,14.2,0.0075,21.5,,
0.7265,91,15.0,0.0075,21.5,,
0.7340,92,15.9,0.0070,21.5,,
0.7425,93,16.6,0.0085,21.5,,
0.7510,94,17.4,0.0075,21.5,,
0.7590,95,18.3,0.0075,21.5,,
0.7675,96,19.2,0.0075,21.5,,
0.7760,97,20.0,0.0075,21.5,,
0.7835,98,20.7,0.0075,21.5,,
0.7920,99,21.4,0.0085,21.5,,
0.8005,100,22.0,0.0075,21.5,,
0.8090,101,22.7,0.0075,21.5,,
0.8175,102,23.5,0.0075,21.5,,
0.8255,103,24.0,0.0075,21.5,,
0.8335,104,24.7,0.0080,21.5,,
0.8415,105,25.3,0.0080,21.5,,
0.8500,106,26.0,0.0075,21.5,,
0.8585,107,26.7,0.0075,21.5,,
0.8670,108,27.2,0.0075,21.5,,
0.8755,109,27.9,0.0075,21.5,,
0.8830,110,28.6,0.0075,21.5,,
0.8915,111,29.4,0.0085,21.5,,
0.9000,112,30.1,0.0075,21.5,,
0.9080,113,30.7,0.0075,21.5,,
0.9165,114,31.3,0.0075,21.5,,
0.9250,115,31.9,0.0075,21.5,,
0.9325,116,32.5,0.0075,21.5,,
0.9410,117,33.1,0.0085,21.5,,
0.9495,118,33.6,0.0075,21.5,,
0.9580,119,34.2,0.0075,21.5,,
0.9660,120,34.8,0.0075,21.5,,
0.9745,121,35.4,0.0075,21.5,,
0.9820,122,35.9,0.0075,21.5,,
0.9905,123,36.6,0.0085,21.5,,
0.9990,124,37.2,0.0075,21.5,,
1.0075,125,37.7,0.0075,21.5,,
1.0160,126,38.1,0.0075,21.5,,
1.0245,127,38.8,0.0075,21.5,,
1.0320,128,39.2,0.0075,21.5,,
1.0405,129,39.8,0.0085,21.5,,
1.0485,130,40.4,0.0075,21.5,,
1.0570,131,41.0,0.0075,21.5,,
1.0655,132,41.5,0.0075,21.5,,
1.0740,133,42.0,0.0085,21.5,,
1.0815,134,42.5,0.0075,21.5,,
1.0900,135,43.0,0.0085,21.5,,
1.0985,136,43.4,0.0075,21.5,,
1.1070,137,43.9,0.0075,21.5,,
1.1150,138,44.5,0.0075,21.5,,
1.1235,139,45.1,0.0085,21.5,,
1.1310,140,45.5,0.0075,21.5,,
1.1395,141,46.1,0.0085,21.5,,
1.1480,142,46.7,0.0075,21.5,,
1.1565,143,47.1,0.0075,21.5,,
1.1650,144,47.5,0.0075,21.5,,
1.1735,145,48.0,0.0085,21.5,,
1.1810,146,48.5,0.0075,21.5,,
1.1895,147,49.1,0.0085,21.5,,
1.1975,148,49.6,0.0075,21.5,,
1.2060,149,50.1,0.0075,21.5,,
1.2145,150,50.5,0.0075,21.5,,
1.2230,151,51.0,0.0085,21.5,,
1.2305,152,51.4,0.0075,21.5,,
1.2390,153,52.0,0.0085,21.5,,
1.2475,154,52.5,0.0075,21.5,,
1.2560,155,52.9,0.0075,21.5,,
1.2640,156,53.4,0.0075,21.5,,
1.2720,157,54.0,0.0080,21.5,,
1.2800,158,54.6,0.0080,21.5,,
1.2885,159,55.1,0.0085,21.5,,
1.2970,160,55.8,0.0075,21.5,,
1.3055,161,56.2,0.0075,21.5,,
1.3140,162,56.6,0.0075,21.5,,
1.3220,163,57.2,0.0080,21.5,,
1.3300,164,57.7,0.0080,21.5,,
1.3380,165,58.3,0.0080,21.5,,
1.3465,166,58.6,0.0075,21.5,,
1.3550,167,59.1,0.0075,21.5,,
1.3635,168,59.5,0.0075,21.5,,
1.3720,169,60.0,0.0075,21.5,,
1.3795,170,60.4,0.0075,21.5,,
1.3880,171,60.8,0.0085,21.5,,
1.3960,172,61.5,0.0075,21.5,,
1.4045,173,62.0,0.0075,21.5,,
1.4130,174,62.4,0.0075,21.5,,
1.4215,175,63.0,0.0075,21.5,,
1.4290,176,63.4,0.0075,21.5,,
1.4375,177,63.9,0.0085,21.5,,
1.4460,178,64.3,0.0085,21.5,,
1.4540,179,64.9,0.0075,21.5,,
1.4625,180,65.5,0.0075,21.5,,
1.4710,181,66.0,0.0075,21.5,,
1.4785,182,66.4,0.0075,21.5,,
1.4870,183,66.8,0.0085,21.5,,
1.4955,184,67.3,0.0085,21.5,,
1.5040,185,67.8,0.0075,21.5,,
1.5125,186,68.2,0.0075,21.5,,
1.5205,187,68.8,0.0075,21.5,,
1.5285,188,69.2,0.0080,21.5,,
1.5365,189,69.7,0.0080,21.5,,
1.5450,190,70.3,0.0085,21.5,,
1.5535,191,70.8,0.0075,21.5,,
1.5620,192,71.3,0.0075,21.5,,
1.5705,193,71.9,0.0075,21.5,,
1.5780,194,72.5,0.0075,21.5,,
1.5865,195,73.0,0.0085,21.5,,
1.5945,196,73.6,0.0080,21.5,,
