Task,T959
Scope 1/1, Sample 4/7 (r20250726_kb_p3_t2)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-95.1,21.7,NaN,,
0.0005,1,-95.0,21.7,0.0005,,
0.0025,2,-95.1,21.7,0.0020,,
0.0050,3,-95.1,21.7,0.0025,,
0.0090,4,-95.0,21.7,0.0035,,
0.0150,5,-94.7,21.7,0.0055,,
0.0235,6,-94.3,21.7,0.0075,,
0.0320,7,-93.8,21.7,0.0085,,
0.0395,8,-93.3,21.7,0.0075,,
0.0480,9,-92.7,21.7,0.0085,,
0.0565,10,-92.0,21.7,0.0075,,
0.0645,11,-91.4,21.7,0.0075,,
0.0730,12,-90.7,21.7,0.0075,,
0.0815,13,-89.9,21.7,0.0075,,
0.0890,14,-89.3,21.7,0.0075,,
0.0975,15,-88.6,21.7,0.0085,,
0.1060,16,-87.9,21.7,0.0075,,
0.1145,17,-87.2,21.7,0.0075,,
0.1230,18,-86.5,21.7,0.0075,,
0.1310,19,-85.7,21.7,0.0075,,
0.1385,20,-84.9,21.7,0.0075,,
0.1470,21,-84.1,21.7,0.0085,,
0.1555,22,-83.3,21.7,0.0075,,
0.1640,23,-82.5,21.7,0.0075,,
0.1725,24,-81.6,21.7,0.0075,,
0.1810,25,-80.8,21.7,0.0075,,
0.1885,26,-79.9,21.7,0.0075,,
0.1970,27,-79.0,21.7,0.0085,,
0.2050,28,-78.1,21.7,0.0075,,
0.2135,29,-77.1,21.7,0.0075,,
0.2220,30,-76.1,21.7,0.0075,,
0.2305,31,-75.0,21.7,0.0075,,
0.2380,32,-74.1,21.7,0.0075,,
0.2465,33,-73.0,21.7,0.0085,,
0.2550,34,-72.0,21.7,0.0075,,
0.2635,35,-70.9,21.7,0.0075,,
0.2715,36,-69.7,21.7,0.0075,,
0.2800,37,-68.5,21.7,0.0085,,
0.2875,38,-67.3,21.7,0.0075,,
0.2960,39,-66.0,21.7,0.0085,,
0.3045,40,-64.6,21.7,0.0075,,
0.3130,41,-63.3,21.7,0.0075,,
0.3215,42,-61.9,21.7,0.0075,,
0.3300,43,-60.5,21.7,0.0075,,
0.3375,44,-59.0,21.7,0.0075,,
0.3455,45,-57.3,21.7,0.0080,,
0.3540,46,-55.7,21.7,0.0075,,
0.3625,47,-53.9,21.7,0.0075,,
0.3710,48,-52.0,21.7,0.0075,,
0.3795,49,-50.0,21.7,0.0075,,
0.3870,50,-48.2,21.7,0.0075,,
0.3955,51,-46.0,21.7,0.0085,,
0.4040,52,-43.7,21.7,0.0075,,
0.4120,53,-41.3,21.7,0.0075,,
0.4205,54,-38.8,21.7,0.0075,,
0.4290,55,-36.0,21.7,0.0075,,
0.4365,56,-33.5,21.7,0.0075,,
0.4450,57,-30.6,21.7,0.0085,,
0.4535,58,-27.5,21.7,0.0075,,
0.4620,59,-24.4,21.7,0.0075,,
0.4700,60,-21.3,21.7,0.0075,,
0.4785,61,-18.3,21.7,0.0075,,
0.4865,62,-15.7,21.7,0.0080,,
0.4945,63,-13.0,21.7,0.0080,,
0.5030,64,-10.5,21.7,0.0075,,
0.5115,65,-8.4,21.7,0.0075,,
