Task,T921
Scope 1/1, Sample 1/4 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-71.3,21.0,NaN,,
0.0010,1,-71.3,21.0,0.0010,,
0.0025,2,-71.3,21.0,0.0015,,
0.0050,3,-71.3,21.0,0.0025,,
0.0090,4,-71.2,21.0,0.0035,,
0.0150,5,-70.9,21.0,0.0055,,
0.0235,6,-70.5,21.0,0.0075,,
0.0320,7,-69.8,21.0,0.0085,,
0.0395,8,-69.0,21.0,0.0075,,
0.0480,9,-67.9,21.0,0.0085,,
0.0565,10,-66.8,21.0,0.0075,,
0.0645,11,-65.5,21.0,0.0075,,
0.0730,12,-64.3,21.0,0.0075,,
0.0815,13,-62.9,21.0,0.0075,,
0.0890,14,-61.5,21.0,0.0075,,
0.0975,15,-60.0,21.0,0.0085,,
0.1060,16,-58.4,21.0,0.0075,,
0.1145,17,-56.8,21.0,0.0075,,
0.1225,18,-55.1,21.0,0.0075,,
0.1310,19,-53.2,21.0,0.0075,,
0.1385,20,-51.5,21.0,0.0075,,
0.1470,21,-49.4,21.0,0.0085,,
0.1555,22,-47.3,21.0,0.0085,,
0.1640,23,-45.0,21.0,0.0075,,
0.1725,24,-42.5,21.0,0.0075,,
0.1805,25,-39.9,21.0,0.0075,,
0.1890,26,-37.4,21.0,0.0085,,
0.1965,27,-34.4,21.0,0.0075,,
0.2050,28,-31.3,21.0,0.0085,,
0.2135,29,-28.2,21.0,0.0075,,
0.2220,30,-24.9,21.0,0.0075,,
0.2305,31,-21.7,21.0,0.0075,,
0.2390,32,-18.9,21.0,0.0085,,
0.2465,33,-16.0,21.0,0.0075,,
0.2550,34,-13.2,21.0,0.0085,,
0.2630,35,-10.8,21.0,0.0075,,
0.2715,36,-8.6,21.0,0.0075,,
0.2800,37,-6.6,21.0,0.0075,,
0.2885,38,-4.7,21.0,0.0075,,
0.2960,39,-3.2,21.0,0.0075,,
0.3045,40,-1.6,21.0,0.0085,,
0.3130,41,-0.2,21.0,0.0075,,
0.3210,42,1.2,21.0,0.0075,,
0.3295,43,2.6,21.0,0.0075,,
0.3380,44,3.8,21.1,0.0085,,
0.3455,45,5.1,21.0,0.0075,,
0.3540,46,6.3,21.1,0.0085,,
0.3625,47,7.4,21.0,0.0075,,
