Task,T959
Scope 1/1, Sample 1/7 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-71.5,20.9,NaN,,
0.0010,1,-71.6,20.9,0.0010,,
0.0025,2,-71.6,20.9,0.0015,,
0.0050,3,-71.6,20.9,0.0025,,
0.0090,4,-71.5,20.9,0.0035,,
0.0150,5,-71.2,20.9,0.0055,,
0.0235,6,-70.7,20.9,0.0075,,
0.0320,7,-69.9,20.9,0.0085,,
0.0395,8,-69.0,20.9,0.0075,,
0.0480,9,-67.9,20.9,0.0075,,
0.0565,10,-66.7,20.9,0.0075,,
0.0650,11,-65.5,20.9,0.0075,,
0.0735,12,-64.1,20.9,0.0075,,
0.0815,13,-62.8,20.9,0.0080,,
0.0895,14,-61.4,20.9,0.0080,,
0.0975,15,-59.7,20.9,0.0075,,
0.1060,16,-58.0,20.9,0.0075,,
0.1145,17,-56.2,20.9,0.0075,,
0.1230,18,-54.4,20.9,0.0075,,
0.1305,19,-52.7,20.9,0.0075,,
0.1390,20,-50.7,20.9,0.0085,,
0.1475,21,-48.6,20.9,0.0075,,
0.1560,22,-46.4,20.9,0.0075,,
0.1640,23,-44.1,20.9,0.0075,,
0.1725,24,-41.6,20.9,0.0075,,
0.1805,25,-39.2,20.9,0.0080,,
0.1885,26,-36.4,20.9,0.0075,,
0.1970,27,-33.4,20.9,0.0075,,
0.2055,28,-30.2,20.9,0.0075,,
0.2140,29,-26.9,20.9,0.0075,,
0.2225,30,-23.9,20.9,0.0085,,
0.2300,31,-20.9,20.9,0.0070,,
0.2385,32,-17.8,20.9,0.0075,,
0.2470,33,-15.1,20.9,0.0075,,
0.2550,34,-12.7,20.9,0.0075,,
0.2635,35,-10.4,20.9,0.0075,,
0.2720,36,-8.6,20.9,0.0085,,
0.2795,37,-6.6,20.9,0.0075,,
0.2880,38,-4.8,20.9,0.0075,,
0.2965,39,-3.2,20.9,0.0075,,
0.3050,40,-1.8,20.9,0.0075,,
0.3130,41,-0.3,20.9,0.0075,,
0.3215,42,0.8,20.9,0.0085,,
0.3290,43,2.2,20.9,0.0075,,
0.3375,44,3.6,20.9,0.0075,,
0.3460,45,4.8,20.9,0.0075,,
0.3545,46,6.1,20.9,0.0075,,
0.3630,47,7.2,20.9,0.0075,,
0.3705,48,8.1,20.9,0.0075,,
0.3790,49,9.1,20.9,0.0075,,
0.3875,50,10.1,20.9,0.0075,,
0.3960,51,11.1,20.9,0.0075,,
0.4040,52,12.2,20.9,0.0075,,
0.4125,53,13.2,20.9,0.0075,,
0.4200,54,14.0,20.9,0.0075,,
0.4285,55,15.1,20.9,0.0075,,
0.4370,56,16.1,20.9,0.0075,,
0.4455,57,16.9,20.9,0.0075,,
0.4540,58,17.8,20.9,0.0075,,
0.4625,59,18.6,20.9,0.0085,,
0.4700,60,19.5,20.9,0.0075,,
0.4785,61,20.5,20.9,0.0075,,
0.4865,62,21.3,20.9,0.0075,,
0.4950,63,22.1,20.9,0.0075,,
0.5035,64,23.1,20.9,0.0075,,
0.5110,65,23.7,20.9,0.0075,,
0.5195,66,24.5,20.9,0.0085,,
0.5280,67,25.4,20.9,0.0075,,
0.5365,68,26.2,20.9,0.0075,,
0.5450,69,27.0,20.9,0.0075,,
0.5535,70,28.0,20.9,0.0075,,
0.5610,71,28.6,20.9,0.0075,,
0.5695,72,29.5,20.9,0.0075,,
0.5775,73,30.4,20.9,0.0075,,
0.5860,74,31.1,20.9,0.0075,,
0.5945,75,32.0,20.9,0.0075,,
0.6030,76,32.9,20.9,0.0075,,
0.6105,77,33.5,20.9,0.0075,,
0.6190,78,34.5,20.9,0.0075,,
0.6275,79,35.4,20.9,0.0075,,
0.6360,80,36.2,20.9,0.0075,,
0.6440,81,37.0,20.9,0.0075,,
0.6520,82,37.7,20.9,0.0080,,
0.6600,83,38.4,20.9,0.0075,,
0.6685,84,39.3,20.9,0.0075,,
0.6770,85,40.1,20.9,0.0075,,
0.6855,86,40.8,20.9,0.0075,,
0.6940,87,41.6,20.9,0.0075,,
0.7015,88,42.4,20.9,0.0075,,
0.7100,89,43.2,20.9,0.0075,,
0.7185,90,44.0,20.9,0.0075,,
0.7270,91,44.8,20.9,0.0075,,
0.7350,92,45.6,20.9,0.0075,,
0.7435,93,46.4,20.9,0.0085,,
0.7510,94,47.2,20.9,0.0075,,
0.7595,95,48.0,20.9,0.0075,,
0.7680,96,49.0,20.9,0.0075,,
0.7765,97,49.7,20.9,0.0075,,
0.7850,98,50.5,20.9,0.0075,,
0.7925,99,51.3,20.9,0.0075,,
0.8010,100,52.0,20.9,0.0085,,
0.8095,101,52.9,20.9,0.0075,,
0.8175,102,53.8,20.9,0.0075,,
0.8260,103,54.7,20.9,0.0075,,
0.8345,104,55.5,20.9,0.0075,,
0.8420,105,56.3,20.9,0.0075,,
0.8505,106,57.0,20.9,0.0075,,
0.8590,107,57.9,20.9,0.0075,,
0.8675,108,58.7,20.9,0.0075,,
0.8760,109,59.5,20.9,0.0075,,
0.8840,110,60.2,20.9,0.0075,,
0.8920,111,61.1,20.9,0.0080,,
0.9000,112,61.8,20.9,0.0075,,
0.9085,113,62.6,20.9,0.0075,,
0.9170,114,63.5,20.9,0.0075,,
0.9255,115,64.4,20.9,0.0075,,
0.9340,116,65.3,20.9,0.0075,,
0.9415,117,66.1,20.9,0.0075,,
0.9500,118,66.9,20.9,0.0075,,
0.9585,119,67.7,20.9,0.0075,,
0.9665,120,68.7,20.9,0.0075,,
0.9750,121,69.5,20.9,0.0075,,
0.9835,122,70.4,20.9,0.0075,,
0.9910,123,71.1,20.9,0.0075,,
0.9995,124,72.1,20.9,0.0075,,
1.0080,125,73.0,20.9,0.0075,,
1.0165,126,73.9,21.0,0.0075,,
1.0250,127,74.9,20.9,0.0075,,
1.0330,128,75.9,20.9,0.0075,,
1.0410,129,76.7,20.9,0.0080,,
1.0490,130,77.7,20.9,0.0075,,
1.0575,131,78.8,20.9,0.0075,,
1.0660,132,79.8,20.9,0.0075,,
1.0745,133,80.8,21.0,0.0075,,
1.0830,134,81.8,21.0,0.0085,,
1.0905,135,82.8,21.0,0.0075,,
1.0990,136,83.8,21.0,0.0075,,
1.1075,137,85.1,20.9,0.0075,,
1.1155,138,86.2,21.0,0.0075,,
1.1240,139,87.3,21.0,0.0075,,
1.1315,140,88.3,21.0,0.0075,,
1.1400,141,89.4,21.0,0.0085,,
1.1485,142,90.6,21.0,0.0075,,
1.1570,143,92.0,21.0,0.0075,,
1.1655,144,93.2,21.0,0.0075,,
1.1740,145,94.5,21.0,0.0075,,
1.1815,146,95.9,21.0,0.0075,,
1.1900,147,97.1,21.0,0.0075,,
1.1985,148,98.3,21.0,0.0075,,
1.2065,149,100.0,21.0,0.0075,,
1.2150,150,101.5,21.0,0.0075,,
1.2235,151,103.1,21.0,0.0085,,
1.2310,152,104.9,21.0,0.0075,,
1.2395,153,106.7,21.0,0.0075,,
1.2480,154,108.4,21.0,0.0075,,
1.2565,155,110.4,21.0,0.0075,,
1.2650,156,112.5,21.0,0.0075,,
1.2725,157,114.4,21.0,0.0075,,
1.2810,158,116.5,21.0,0.0085,,
1.2890,159,119.0,21.0,0.0075,,
1.2975,160,121.5,21.0,0.0075,,
1.3060,161,124.2,21.0,0.0075,,
1.3145,162,127.0,21.0,0.0075,,
1.3220,163,129.7,21.0,0.0075,,
1.3305,164,132.8,21.0,0.0085,,
1.3390,165,136.0,21.0,0.0075,,
1.3475,166,139.3,21.0,0.0075,,
1.3555,167,142.8,21.0,0.0075,,
1.3640,168,146.4,21.0,0.0075,,
1.3715,169,149.5,21.0,0.0075,,
1.3800,170,153.2,21.0,0.0075,,
1.3885,171,156.7,21.0,0.0075,,
1.3970,172,160.0,21.0,0.0075,,
1.4055,173,162.9,21.0,0.0075,,
1.4140,174,165.7,21.0,0.0075,,
1.4215,175,168.3,21.0,0.0075,,
1.4300,176,170.7,21.0,0.0075,,
1.4380,177,173.2,21.0,0.0075,,
1.4465,178,175.3,21.0,0.0075,,
1.4550,179,177.2,21.0,0.0075,,
1.4635,180,179.2,21.0,0.0075,,
1.4710,181,180.7,21.0,0.0075,,
1.4795,182,182.3,21.0,0.0075,,
1.4880,183,184.0,21.0,0.0075,,
1.4955,184,185.1,21.0,0.0075,,
1.4955,424,187.2,21.1,0.0000,,
1.4960,425,187.1,21.1,0.0005,,
1.4975,426,187.1,21.1,0.0015,,
1.5000,427,187.4,21.1,0.0025,,
1.5040,428,187.8,21.1,0.0035,,
1.5100,429,188.4,21.1,0.0050,,
1.5180,430,189.5,21.1,0.0065,,
1.5260,431,190.4,21.1,0.0075,,
1.5340,432,191.6,21.1,0.0075,,
1.5425,433,192.6,21.1,0.0070,,
1.5510,434,193.8,21.1,0.0070,,
1.5595,435,195.0,21.1,0.0070,,
1.5680,436,195.7,21.1,0.0075,,
1.5755,437,196.8,21.1,0.0070,,
1.5840,438,197.7,21.1,0.0075,,
1.5925,439,198.6,21.1,0.0070,,
1.6005,440,199.6,21.1,0.0065,,
1.6090,441,200.3,21.1,0.0070,,
1.6165,442,201.1,21.1,0.0070,,
1.6250,443,201.9,21.1,0.0075,,
1.6335,444,202.5,21.1,0.0075,,
1.6420,445,203.4,21.1,0.0070,,
1.6505,446,204.1,21.1,0.0070,,
1.6590,447,204.8,21.1,0.0070,,
1.6665,448,205.5,21.1,0.0070,,
1.6750,449,206.1,21.1,0.0075,,
1.6835,450,206.8,21.1,0.0070,,
1.6915,451,207.5,21.1,0.0065,,
1.7000,452,208.1,21.1,0.0070,,
1.7085,453,208.8,21.1,0.0070,,
1.7160,454,209.2,21.1,0.0070,,
1.7245,455,209.9,21.1,0.0075,,
1.7330,456,210.4,21.1,0.0070,,
1.7415,457,211.0,21.1,0.0070,,
1.7500,458,211.6,21.1,0.0070,,
1.7580,459,212.0,21.1,0.0075,,
1.7660,460,212.6,21.1,0.0075,,
1.7740,461,213.1,21.1,0.0075,,
1.7825,462,213.6,21.1,0.0070,,
1.7910,463,214.1,21.1,0.0070,,
1.7995,464,214.6,21.1,0.0070,,
1.8080,465,214.9,21.1,0.0075,,
1.8155,466,215.5,21.1,0.0070,,
1.8240,467,215.9,21.1,0.0075,,
1.8325,468,216.2,21.1,0.0070,,
1.8405,469,216.7,21.1,0.0065,,
1.8490,470,217.1,21.1,0.0070,,
1.8565,471,217.5,21.1,0.0070,,
1.8650,472,217.9,21.1,0.0075,,
1.8735,473,218.3,21.1,0.0075,,
1.8820,474,218.8,21.1,0.0070,,
1.8905,475,219.3,21.1,0.0070,,
1.8990,476,219.6,21.1,0.0070,,
1.9065,477,220.0,21.1,0.0070,,
1.9150,478,220.3,21.1,0.0075,,
1.9230,479,220.8,21.1,0.0075,,
1.9315,480,221.0,21.1,0.0070,,
1.9400,481,221.5,21.1,0.0070,,
1.9485,482,221.8,21.1,0.0070,,
1.9560,483,222.1,21.1,0.0070,,
1.9645,484,222.6,21.1,0.0075,,
1.9730,485,222.9,21.1,0.0075,,
1.9815,486,223.3,21.1,0.0070,,
