Task,T1911
Scope 1/1, Sample 1/3 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-69.8,20.1,NaN,,
0.0010,1,-69.8,20.1,0.0010,,
0.0025,2,-69.8,20.1,0.0015,,
0.0050,3,-69.8,20.1,0.0025,,
0.0085,4,-69.7,20.1,0.0030,,
0.0150,5,-69.7,20.1,0.0060,,
0.0230,6,-69.5,20.1,0.0075,,
0.0315,7,-68.7,20.1,0.0075,,
0.0390,8,-68.1,20.1,0.0075,,
0.0475,9,-67.1,20.1,0.0075,,
0.0560,10,-66.2,20.1,0.0075,,
0.0645,11,-65.1,20.1,0.0075,,
0.0730,12,-64.0,20.1,0.0075,,
0.0810,13,-63.0,20.1,0.0080,,
0.0890,14,-61.9,20.1,0.0080,,
0.0970,15,-60.6,20.1,0.0075,,
0.1055,16,-59.1,20.1,0.0075,,
0.1140,17,-57.6,20.1,0.0075,,
0.1225,18,-56.1,20.1,0.0075,,
0.1310,19,-54.6,20.1,0.0085,,
0.1385,20,-52.9,20.1,0.0075,,
0.1470,21,-51.1,20.1,0.0075,,
0.1555,22,-49.2,20.1,0.0075,,
0.1635,23,-47.4,20.1,0.0075,,
0.1720,24,-45.3,20.1,0.0075,,
0.1795,25,-43.4,20.1,0.0075,,
0.1880,26,-41.0,20.1,0.0075,,
0.1965,27,-38.8,20.1,0.0075,,
0.2050,28,-36.2,20.1,0.0075,,
0.2135,29,-33.3,20.1,0.0075,,
0.2220,30,-30.5,20.1,0.0075,,
0.2295,31,-27.8,20.1,0.0075,,
0.2380,32,-25.0,20.1,0.0075,,
0.2460,33,-21.9,20.1,0.0075,,
0.2545,34,-19.0,20.1,0.0075,,
0.2630,35,-16.4,20.1,0.0075,,
0.2715,36,-13.9,20.1,0.0075,,
0.2790,37,-11.9,20.1,0.0075,,
0.2875,38,-9.7,20.1,0.0075,,
0.2960,39,-7.8,20.1,0.0075,,
0.3040,40,-6.0,20.1,0.0075,,
0.3125,41,-4.2,20.1,0.0075,,
0.3210,42,-2.7,20.1,0.0075,,
0.3285,43,-1.4,20.1,0.0075,,
0.3370,44,-0.1,20.1,0.0075,,
0.3455,45,1.1,20.1,0.0075,,
0.3540,46,2.6,20.1,0.0075,,
0.3625,47,3.9,20.1,0.0075,,
0.3705,48,5.0,20.1,0.0080,,
0.3785,49,6.1,20.1,0.0080,,
0.3865,50,7.2,20.1,0.0075,,
0.3950,51,8.3,20.1,0.0075,,
0.4035,52,9.3,20.1,0.0075,,
0.4120,53,10.3,20.1,0.0075,,
0.4195,54,11.2,20.1,0.0075,,
0.4280,55,12.3,20.1,0.0075,,
0.4365,56,13.3,20.1,0.0075,,
0.4450,57,14.2,20.1,0.0075,,
0.4535,58,15.2,20.1,0.0075,,
0.4615,59,16.2,20.1,0.0075,,
0.4690,60,17.0,20.1,0.0075,,
0.4775,61,17.8,20.1,0.0075,,
0.4860,62,18.5,20.1,0.0075,,
0.4945,63,19.5,20.1,0.0075,,
0.5030,64,20.5,20.1,0.0075,,
0.5115,65,21.3,20.1,0.0075,,
0.5190,66,22.1,20.1,0.0075,,
0.5275,67,22.9,20.1,0.0075,,
0.5355,68,23.9,20.1,0.0075,,
0.5440,69,24.8,20.1,0.0075,,
0.5525,70,25.5,20.1,0.0075,,
0.5610,71,26.3,20.1,0.0085,,
0.5685,72,27.1,20.1,0.0075,,
0.5770,73,28.2,20.1,0.0075,,
0.5855,74,28.9,20.1,0.0075,,
0.5940,75,29.6,20.1,0.0075,,
0.6020,76,30.6,20.1,0.0075,,
0.6105,77,31.3,20.1,0.0085,,
0.6180,78,32.2,20.1,0.0075,,
0.6265,79,33.0,20.1,0.0075,,
0.6350,80,33.8,20.1,0.0075,,
0.6435,81,34.8,20.1,0.0075,,
0.6520,82,35.6,20.1,0.0075,,
0.6595,83,36.4,20.1,0.0075,,
0.6680,84,37.0,20.1,0.0085,,
0.6765,85,37.8,20.1,0.0075,,
0.6845,86,38.8,20.1,0.0075,,
0.6930,87,39.6,20.1,0.0075,,
0.7015,88,40.4,20.1,0.0075,,
0.7090,89,41.1,20.1,0.0075,,
0.7175,90,42.1,20.1,0.0075,,
0.7260,91,42.8,20.1,0.0075,,
0.7345,92,43.6,20.1,0.0075,,
0.7430,93,44.6,20.1,0.0075,,
0.7510,94,45.6,20.1,0.0075,,
0.7590,95,46.3,20.1,0.0080,,
0.7670,96,47.2,20.1,0.0075,,
0.7755,97,48.0,20.1,0.0075,,
0.7840,98,48.9,20.1,0.0075,,
0.7925,99,49.7,20.1,0.0075,,
0.8010,100,50.5,20.1,0.0075,,
0.8085,101,51.3,20.1,0.0075,,
0.8170,102,52.2,20.1,0.0075,,
0.8250,103,53.2,20.1,0.0075,,
0.8335,104,54.0,20.1,0.0075,,
0.8420,105,54.8,20.1,0.0075,,
0.8505,106,55.5,20.1,0.0085,,
0.8580,107,56.5,20.1,0.0075,,
0.8665,108,57.4,20.1,0.0075,,
0.8750,109,58.1,20.1,0.0075,,
0.8835,110,59.1,20.1,0.0075,,
0.8920,111,60.1,20.1,0.0075,,
0.8995,112,60.8,20.1,0.0075,,
0.9080,113,61.7,20.1,0.0075,,
0.9160,114,62.4,20.1,0.0075,,
0.9245,115,63.5,20.1,0.0075,,
0.9330,116,64.4,20.1,0.0075,,
0.9415,117,65.3,20.1,0.0075,,
0.9490,118,66.2,20.1,0.0075,,
0.9575,119,67.1,20.1,0.0075,,
0.9660,120,68.1,20.1,0.0075,,
0.9745,121,69.0,20.1,0.0075,,
0.9825,122,69.8,20.1,0.0075,,
0.9910,123,70.7,20.1,0.0085,,
0.9985,124,71.7,20.1,0.0075,,
1.0070,125,72.8,20.1,0.0075,,
