Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample index in scope,Sample ID1,Sample start time,Overall state,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],Density [g/m L],Unit of Density [g/m L],
1,junk1,8/27/2026 9:21:05 AM,OK,Unchecked,0,,25.0,°C,,2.246,mL,,60.457,g,,60.4571,g,1.0,g/mL,
2,junk2,8/27/2026 9:31:43 AM,OK,Unchecked,0,,25.0,°C,,2.171,mL,,60.123,g,,60.1231,g,1.0,g/mL,
3,20260826_tb_source1,8/27/2026 9:42:08 AM,OK,Unchecked,0,,25.0,°C,,2.170,mL,,60.085,g,,60.0846,g,1.0,g/mL,
4,20260826_tb_source2,8/27/2026 9:52:24 AM,OK,Unchecked,0,,25.0,°C,,2.184,mL,,60.335,g,,60.3350,g,1.0,g/mL,
5,20260826_tb_source3,8/27/2026 10:02:44 AM,OK,Unchecked,0,,25.0,°C,,2.186,mL,,60.323,g,,60.3230,g,1.0,g/mL,
6,20260826_tb_005A,8/27/2026 10:12:56 AM,OK,Unchecked,0,,25.0,°C,,2.196,mL,,60.452,g,,60.4525,g,1.0,g/mL,
7,20260826_tb_010A,8/27/2026 10:23:19 AM,OK,Unchecked,0,,25.0,°C,,2.186,mL,,60.318,g,,60.3178,g,1.0,g/mL,
8,20260826_tb_BLANK1,8/27/2026 10:33:35 AM,OK,Unchecked,0,,25.0,°C,,2.182,mL,,60.141,g,,60.1413,g,1.0,g/mL,
9,20260826_tb_002A,8/27/2026 10:43:51 AM,OK,Unchecked,0,,25.0,°C,,2.179,mL,,60.209,g,,60.2093,g,1.0,g/mL,
SystemInternal8/27/2026 11:07:58 AM,,,,,,,,,,,,,,,,,,,,1/1
