"SampleID","TA","Mass","Sample.Index","TA_evap"
"JUNK1",2324.14610324758,60.4542,1,2324.14610324758
"JUNK2",2356.59448853021,59.6806,2,2355.24863216897
"DH_LOW",2325.01893406891,60.1803,3,2322.36480286563
"DL_0800_LOW_SGD_20230310",2356.15202771135,59.929,4,2352.11982230169
"NL_1930_LOW_SGD_2030309",2327.34294692798,59.7275,5,2322.03543735688
"NH_0200_LOW_SGD_20230310",2357.24023576828,59.8013,6,2350.52445162079
"JUNK3",2382.04571946196,60.4468,7,2373.90661108111
"NH_0200_HIGH_SGD_20230310",2360.9579735762,60.2842,8,2351.55176651016
"DL_0800_HIGH_SGD_20230310",2380.6158010451,60.0158,9,2369.78250957277
"NL_1930_HIGH_SGD_20230309",2338.5706849991,60.4259,10,2326.60528638342
"DH_HIGH",2331.02671075289,60.0737,11,2317.78224080543
"SEEP_MID_16:30_20230309",2533.92633272811,60.3287,12,2518.09828635673
"SEEP_MID_2230_20230309",2473.68466380376,60.085,13,2456.83777619556
"SEEP_NL_1930_20230309",2752.12524490966,59.8935,14,2731.83163845258
"SEEP_NH_0200_20230310",2363.7107207231,59.8251,15,2344.95111182847
"SEEP_DL_0800_20230310",2591.38237340068,60.198,16,2569.35929374005
"SEEP_DH",2404.2121436884,59.6978,17,2382.42992721104
