Task,T4332
Scope 1/1, Sample 1/36 (Junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-58.7,20.5,NaN,,
0.0005,1,-59.1,20.5,0.0005,,
0.0025,2,-59.2,20.5,0.0020,,
0.0050,3,-59.2,20.5,0.0025,,
0.0090,4,-59.3,20.5,0.0035,,
0.0155,5,-59.4,20.5,0.0060,,
0.0235,6,-59.4,20.5,0.0080,,
0.0315,7,-59.3,20.5,0.0080,,
0.0395,8,-59.3,20.5,0.0080,,
0.0480,9,-59.1,20.5,0.0075,,
0.0565,10,-58.9,20.5,0.0075,,
0.0650,11,-58.6,20.5,0.0075,,
0.0735,12,-58.3,20.5,0.0075,,
0.0810,13,-57.9,20.5,0.0075,,
0.0895,14,-57.5,20.5,0.0085,,
0.0980,15,-57.0,20.5,0.0085,,
0.1060,16,-56.4,20.5,0.0075,,
0.1145,17,-55.9,20.5,0.0075,,
0.1230,18,-55.3,20.5,0.0075,,
0.1305,19,-54.7,20.5,0.0075,,
0.1390,20,-54.0,20.5,0.0085,,
0.1475,21,-53.3,20.5,0.0085,,
0.1560,22,-52.6,20.5,0.0075,,
0.1645,23,-51.8,20.5,0.0075,,
0.1730,24,-51.0,20.5,0.0075,,
0.1805,25,-50.3,20.5,0.0075,,
0.1890,26,-49.4,20.5,0.0085,,
0.1970,27,-48.5,20.5,0.0080,,
0.2055,28,-47.6,20.5,0.0075,,
0.2140,29,-46.7,20.5,0.0075,,
0.2225,30,-45.8,20.5,0.0075,,
0.2300,31,-45.0,20.5,0.0075,,
0.2385,32,-44.1,20.5,0.0085,,
0.2470,33,-43.3,20.5,0.0085,,
0.2555,34,-42.4,20.5,0.0075,,
0.2635,35,-41.6,20.5,0.0075,,
0.2720,36,-40.8,20.5,0.0075,,
0.2800,37,-40.2,20.5,0.0080,,
0.2880,38,-39.4,20.5,0.0080,,
0.2965,39,-38.7,20.5,0.0085,,
0.3050,40,-38.0,20.5,0.0075,,
0.3135,41,-37.2,20.5,0.0075,,
0.3220,42,-36.6,20.5,0.0075,,
0.3305,43,-36.0,20.5,0.0085,,
0.3380,44,-35.3,20.5,0.0075,,
0.3465,45,-34.7,20.5,0.0085,,
0.3550,46,-34.1,20.5,0.0075,,
0.3630,47,-33.4,20.5,0.0075,,
0.3715,48,-32.8,20.5,0.0075,,
0.3800,49,-32.3,20.5,0.0085,,
0.3875,50,-31.6,20.5,0.0075,,
0.3960,51,-31.1,20.5,0.0085,,
0.4045,52,-30.5,20.5,0.0075,,
0.4130,53,-29.9,20.5,0.0075,,
0.4215,54,-29.3,20.5,0.0075,,
0.4300,55,-28.8,20.5,0.0085,,
0.4375,56,-28.2,20.5,0.0075,,
0.4460,57,-27.6,20.5,0.0085,,
0.4545,58,-27.0,20.5,0.0075,,
0.4625,59,-26.5,20.5,0.0075,,
0.4710,60,-26.0,20.5,0.0075,,
0.4795,61,-25.6,20.5,0.0085,,
0.4870,62,-25.1,20.5,0.0075,,
0.4955,63,-24.5,20.5,0.0085,,
0.5040,64,-24.0,20.5,0.0075,,
0.5125,65,-23.4,20.5,0.0075,,
0.5210,66,-22.9,20.5,0.0075,,
0.5290,67,-22.6,20.5,0.0080,,
0.5370,68,-22.1,20.5,0.0080,,
0.5450,69,-21.6,20.5,0.0080,,
0.5535,70,-21.2,20.5,0.0075,,
0.5620,71,-20.6,20.5,0.0075,,
