Task,T4394
Scope 1/1, Sample 1/34 (JUNK1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-65.4,19.3,NaN,,
0.0010,1,-65.7,19.3,0.0010,,
0.0025,2,-65.7,19.3,0.0015,,
0.0050,3,-65.7,19.3,0.0025,,
0.0090,4,-65.8,19.3,0.0035,,
0.0150,5,-65.8,19.3,0.0055,,
0.0235,6,-65.8,19.3,0.0075,,
0.0320,7,-65.8,19.3,0.0075,,
0.0395,8,-65.7,19.3,0.0075,,
0.0480,9,-65.5,19.3,0.0075,,
0.0565,10,-65.3,19.3,0.0075,,
0.0650,11,-65.0,19.3,0.0075,,
0.0735,12,-64.6,19.3,0.0075,,
0.0810,13,-64.2,19.3,0.0075,,
0.0895,14,-63.8,19.3,0.0085,,
0.0980,15,-63.3,19.3,0.0075,,
0.1065,16,-62.7,19.3,0.0075,,
0.1150,17,-62.1,19.3,0.0075,,
0.1230,18,-61.5,19.3,0.0075,,
0.1310,19,-60.9,19.3,0.0080,,
0.1390,20,-60.2,19.3,0.0080,,
0.1475,21,-59.4,19.3,0.0075,,
0.1560,22,-58.6,19.3,0.0075,,
0.1645,23,-57.8,19.3,0.0075,,
0.1730,24,-57.0,19.3,0.0075,,
0.1805,25,-56.3,19.3,0.0075,,
0.1890,26,-55.4,19.3,0.0075,,
0.1975,27,-54.4,19.3,0.0075,,
0.2060,28,-53.5,19.3,0.0075,,
0.2145,29,-52.6,19.3,0.0075,,
0.2225,30,-51.7,19.3,0.0080,,
0.2305,31,-50.7,19.3,0.0080,,
0.2385,32,-49.7,19.3,0.0075,,
0.2470,33,-48.8,19.3,0.0075,,
0.2555,34,-47.9,19.3,0.0075,,
0.2640,35,-46.9,19.3,0.0075,,
0.2715,36,-46.1,19.3,0.0075,,
0.2800,37,-45.2,19.3,0.0085,,
0.2885,38,-44.4,19.3,0.0075,,
0.2970,39,-43.5,19.3,0.0075,,
0.3055,40,-42.8,19.3,0.0075,,
0.3140,41,-42.0,19.3,0.0075,,
0.3215,42,-41.3,19.3,0.0075,,
0.3300,43,-40.5,19.3,0.0085,,
0.3380,44,-39.8,19.3,0.0075,,
0.3465,45,-39.1,19.3,0.0075,,
0.3550,46,-38.5,19.3,0.0075,,
0.3635,47,-37.7,19.3,0.0075,,
0.3710,48,-37.1,19.3,0.0075,,
0.3795,49,-36.4,19.3,0.0075,,
0.3880,50,-35.8,19.3,0.0075,,
0.3965,51,-35.1,19.3,0.0075,,
0.4050,52,-34.5,19.3,0.0075,,
0.4135,53,-33.9,19.3,0.0085,,
0.4210,54,-33.3,19.3,0.0075,,
0.4295,55,-32.7,19.3,0.0075,,
0.4380,56,-32.2,19.3,0.0075,,
0.4460,57,-31.6,19.3,0.0075,,
0.4545,58,-31.0,19.3,0.0075,,
0.4620,59,-30.5,19.3,0.0075,,
0.4705,60,-29.9,19.3,0.0085,,
0.4790,61,-29.3,19.3,0.0075,,
0.4875,62,-28.8,19.3,0.0075,,
0.4960,63,-28.2,19.3,0.0075,,
0.5045,64,-27.7,19.3,0.0075,,
0.5120,65,-27.3,19.3,0.0075,,
0.5205,66,-26.7,19.3,0.0085,,
0.5290,67,-26.2,19.3,0.0075,,
0.5375,68,-25.7,19.3,0.0075,,
0.5455,69,-25.2,19.3,0.0075,,
0.5540,70,-24.7,19.3,0.0075,,
0.5620,71,-24.3,19.3,0.0080,,
0.5700,72,-23.7,19.3,0.0075,,
0.5785,73,-23.3,19.3,0.0075,,
0.5870,74,-22.8,19.3,0.0075,,
0.5955,75,-22.3,19.3,0.0075,,
0.6040,76,-21.8,19.3,0.0085,,
0.6115,77,-21.3,19.3,0.0075,,
0.6200,78,-20.8,19.3,0.0075,,
0.6285,79,-20.4,19.3,0.0075,,
0.6370,80,-19.9,19.3,0.0075,,
0.6455,81,-19.4,19.3,0.0075,,
0.6530,82,-19.0,19.3,0.0075,,
0.6615,83,-18.5,19.3,0.0075,,
0.6695,84,-18.1,19.3,0.0075,,
0.6780,85,-17.6,19.3,0.0075,,
0.6865,86,-17.2,19.3,0.0075,,
0.6950,87,-16.7,19.3,0.0085,,
0.7025,88,-16.3,19.3,0.0075,,
0.7110,89,-15.9,19.3,0.0075,,
0.7195,90,-15.4,19.3,0.0075,,
0.7280,91,-14.9,19.3,0.0075,,
0.7365,92,-14.4,19.3,0.0075,,
0.7440,93,-14.0,19.3,0.0075,,
0.7525,94,-13.5,19.3,0.0085,,
0.7610,95,-13.1,19.3,0.0075,,
0.7695,96,-12.6,19.3,0.0075,,
0.7780,97,-12.2,19.3,0.0075,,
0.7860,98,-11.7,19.3,0.0075,,
0.7940,99,-11.3,19.3,0.0080,,
0.8020,100,-10.9,19.3,0.0075,,
0.8105,101,-10.4,19.3,0.0075,,
0.8190,102,-10.0,19.3,0.0075,,
0.8275,103,-9.6,19.3,0.0075,,
0.8350,104,-9.1,19.3,0.0075,,
0.8435,105,-8.7,19.3,0.0085,,
0.8520,106,-8.3,19.3,0.0075,,
0.8605,107,-7.8,19.3,0.0075,,
0.8690,108,-7.4,19.3,0.0075,,
