Task,T4437
Scope 1/1, Sample 1/35 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-59.9,20.6,NaN,,
0.0010,1,-60.1,20.6,0.0010,,
0.0025,2,-60.2,20.6,0.0015,,
0.0050,3,-60.2,20.6,0.0025,,
0.0090,4,-60.2,20.6,0.0035,,
0.0150,5,-60.2,20.6,0.0055,,
0.0235,6,-60.3,20.6,0.0075,,
0.0320,7,-60.3,20.6,0.0075,,
0.0395,8,-60.2,20.6,0.0075,,
0.0480,9,-60.0,20.6,0.0085,,
0.0565,10,-59.8,20.6,0.0075,,
0.0650,11,-59.5,20.6,0.0075,,
0.0735,12,-59.1,20.6,0.0075,,
0.0815,13,-58.8,20.6,0.0075,,
0.0895,14,-58.5,20.6,0.0080,,
0.0975,15,-58.0,20.6,0.0080,,
0.1060,16,-57.5,20.6,0.0075,,
0.1145,17,-56.8,20.6,0.0075,,
0.1230,18,-56.3,20.6,0.0075,,
0.1315,19,-55.8,20.6,0.0075,,
0.1390,20,-55.2,20.6,0.0075,,
0.1475,21,-54.5,20.6,0.0085,,
0.1560,22,-53.7,20.6,0.0075,,
0.1645,23,-53.0,20.6,0.0075,,
0.1725,24,-52.2,20.6,0.0075,,
0.1810,25,-51.3,20.6,0.0075,,
0.1885,26,-50.5,20.6,0.0075,,
0.1970,27,-49.7,20.6,0.0085,,
0.2055,28,-48.7,20.6,0.0075,,
0.2140,29,-47.9,20.6,0.0075,,
0.2225,30,-46.9,20.6,0.0075,,
0.2310,31,-46.1,20.6,0.0075,,
0.2385,32,-45.3,20.6,0.0075,,
0.2470,33,-44.5,20.6,0.0085,,
0.2555,34,-43.6,20.6,0.0075,,
0.2635,35,-42.8,20.6,0.0075,,
0.2720,36,-42.0,20.6,0.0075,,
0.2805,37,-41.3,20.6,0.0075,,
0.2880,38,-40.8,20.6,0.0075,,
0.2965,39,-40.0,20.6,0.0085,,
0.3050,40,-39.3,20.6,0.0075,,
0.3135,41,-38.6,20.6,0.0075,,
0.3220,42,-37.9,20.6,0.0075,,
0.3305,43,-37.3,20.6,0.0075,,
0.3380,44,-36.7,20.6,0.0075,,
0.3465,45,-36.1,20.6,0.0085,,
0.3545,46,-35.4,20.6,0.0075,,
0.3630,47,-34.8,20.6,0.0075,,
