Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample Index In Scope,Sample ID1,Sample start time,Overall State,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],,Density [g/m L],Unit of Density [g/m L]
1,Junk1,10/5/2023 10:37:06 AM,OK,Unchecked,0,,25.0,°C,,2.476,mL,,59.937,g,,59.9374,g,,1.0,g/mL
2,Junk2,10/5/2023 10:48:00 AM,OK,Unchecked,0,,25.0,°C,,2.460,mL,,59.887,g,,59.8867,g,,1.0,g/mL
3,postCabral_Col11_Dil1,10/5/2023 10:58:50 AM,OK,Unchecked,0,,25.0,°C,,2.505,mL,,59.843,g,,59.8426,g,,1.0,g/mL
4,postCabral_Col12_Dil1,10/5/2023 11:09:40 AM,OK,Unchecked,0,,25.0,°C,,2.525,mL,,60.054,g,,60.0539,g,,1.0,g/mL
5,postCabral_Blank_Dil1,10/5/2023 11:20:38 AM,OK,Unchecked,0,,25.0,°C,,2.550,mL,,60.187,g,,60.1872,g,,1.0,g/mL
6,postCabral_Col11_Dil2,10/5/2023 11:31:31 AM,OK,Unchecked,0,,25.0,°C,,2.530,mL,,60.283,g,,60.2829,g,,1.0,g/mL
7,postCabral_Col12_Dil2,10/5/2023 11:42:22 AM,OK,Unchecked,0,,25.0,°C,,2.495,mL,,59.967,g,,59.9673,g,,1.0,g/mL
8,postCabral_Blank_Dil2,10/5/2023 11:53:11 AM,OK,Unchecked,0,,25.0,°C,,2.523,mL,,60.207,g,,60.2066,g,,1.0,g/mL
9,postCabral_Col11_Dil3,10/5/2023 12:04:01 PM,OK,Unchecked,0,,25.0,°C,,2.498,mL,,60.067,g,,60.0672,g,,1.0,g/mL
10,postCabral_Col12_Dil3,10/5/2023 12:14:55 PM,OK,Unchecked,0,,25.0,°C,,2.542,mL,,60.146,g,,60.1462,g,,1.0,g/mL
11,postCabral_Blank_Dil3,10/5/2023 12:25:53 PM,OK,Unchecked,0,,25.0,°C,,2.518,mL,,60.090,g,,60.0901,g,,1.0,g/mL
12,postCabral_Col11_Dil4,10/5/2023 12:36:43 PM,OK,Unchecked,0,,25.0,°C,,2.495,mL,,60.135,g,,60.1350,g,,1.0,g/mL
13,postCabral_Col12_Dil4,10/5/2023 12:47:33 PM,OK,Unchecked,0,,25.0,°C,,2.560,mL,,60.094,g,,60.0942,g,,1.0,g/mL
14,postCabral_Blank_Dil4,10/5/2023 12:58:28 PM,OK,Unchecked,0,,25.0,°C,,2.538,mL,,60.091,g,,60.0912,g,,1.0,g/mL
15,postCabral_Col11_Dil5,10/5/2023 1:09:24 PM,OK,Unchecked,0,,25.0,°C,,2.494,mL,,60.058,g,,60.0584,g,,1.0,g/mL
16,postCabral_Col12_Dil5,10/5/2023 1:20:11 PM,OK,Unchecked,0,,25.0,°C,,2.496,mL,,60.355,g,,60.3554,g,,1.0,g/mL
17,postCabral_Blank_Dil5,10/5/2023 1:30:57 PM,OK,Unchecked,0,,25.0,°C,,2.503,mL,,60.124,g,,60.1240,g,,1.0,g/mL
18,postCabral_Col11_Dil6,10/5/2023 1:41:44 PM,OK,Unchecked,0,,25.0,°C,,2.522,mL,,60.005,g,,60.0050,g,,1.0,g/mL
19,postCabral_Col12_Dil6,10/5/2023 1:52:38 PM,OK,Unchecked,0,,25.0,°C,,2.232,mL,,59.865,g,,59.8654,g,,1.0,g/mL
20,postCabral_Blank_Dil6,10/5/2023 2:02:51 PM,OK,Unchecked,0,,25.0,°C,,2.520,mL,,60.334,g,,60.3344,g,,1.0,g/mL
21,postCabral_Col11_Dil7,10/5/2023 2:13:40 PM,OK,Unchecked,0,,25.0,°C,,2.448,mL,,60.243,g,,60.2433,g,,1.0,g/mL
22,postCabral_Col12_Dil7,10/5/2023 2:24:22 PM,OK,Unchecked,0,,25.0,°C,,2.484,mL,,60.039,g,,60.0388,g,,1.0,g/mL
23,postCabral_Blank_Dil7,10/5/2023 2:35:10 PM,OK,Unchecked,0,,25.0,°C,,2.448,mL,,59.725,g,,59.7251,g,,1.0,g/mL
24,postCabral_Col11_Dil8,10/5/2023 2:45:50 PM,OK,Unchecked,0,,25.0,°C,,2.513,mL,,59.892,g,,59.8925,g,,1.0,g/mL
25,postCabral_Col12_Dil8,10/5/2023 2:56:38 PM,OK,Unchecked,0,,25.0,°C,,2.476,mL,,59.836,g,,59.8359,g,,1.0,g/mL
26,postCabral_Blank_Dil8,10/5/2023 3:07:23 PM,OK,Unchecked,0,,25.0,°C,,2.476,mL,,59.719,g,,59.7189,g,,1.0,g/mL
27,postCabral_Col11_Dil9,10/5/2023 3:18:07 PM,OK,Unchecked,0,,25.0,°C,,2.490,mL,,60.290,g,,60.2898,g,,1.0,g/mL
28,postCabral_Col12_Dil9,10/5/2023 3:28:56 PM,OK,Unchecked,0,,25.0,°C,,2.499,mL,,59.907,g,,59.9073,g,,1.0,g/mL
29,postCabral_Blank_Dil9,10/5/2023 3:39:45 PM,OK,Unchecked,0,,25.0,°C,,2.502,mL,,59.889,g,,59.8888,g,,1.0,g/mL
10/5/2023 5:07:07 PMSystemInternal,,,,,,,,,,,,,,,,,,1/1,,
