"SampleID","TA","Mass","Sample.Index"
"Junk1",2393.2772940413,59.9374,1
"Junk2",2356.91511647263,59.8867,2
"postCabral_Col11_Dil1",2442.94113365852,59.8426,3
"postCabral_Col12_Dil1",2466.66192130398,60.0539,4
"postCabral_Blank_Dil1",2499.77550409044,60.1872,5
"postCabral_Col11_Dil2",2464.56080006203,60.2829,6
"postCabral_Col12_Dil2",2433.37569735534,59.9673,7
"postCabral_Blank_Dil2",2461.85138915922,60.2066,8
"postCabral_Col11_Dil3",2441.20820074765,60.0672,9
"postCabral_Col12_Dil3",2501.6033562827,60.1462,10
"postCabral_Blank_Dil3",2474.90873952529,60.0901,11
"postCabral_Col11_Dil4",2428.87339565566,60.135,12
"postCabral_Col12_Dil4",2540.81192450803,60.0942,13
"postCabral_Blank_Dil4",2504.51989961981,60.0912,14
"postCabral_Col11_Dil5",2437.53583787128,60.0584,15
"postCabral_Col12_Dil5",2433.43537760239,60.3554,16
"postCabral_Blank_Dil5",2439.31059562888,60.124,17
"postCabral_Col11_Dil6",2467.21915967161,60.005,18
"postCabral_Col12_Dil6",2196.8182333525,59.8654,19
"postCabral_Blank_Dil6",2473.58177063462,60.3344,20
"postCabral_Col11_Dil7",2348.2987994246,60.2433,21
"postCabral_Col12_Dil7",2428.878627339,60.0388,22
"postCabral_Blank_Dil7",2384.70034732666,59.7251,23
"postCabral_Col11_Dil8",2473.43550312127,59.8925,24
"postCabral_Col12_Dil8",2430.05062176057,59.8359,25
"postCabral_Blank_Dil8",2449.7118602616,59.7189,26
"postCabral_Col11_Dil9",2420.24939769725,60.2898,27
"postCabral_Col12_Dil9",2460.87823196194,59.9073,28
"postCabral_Blank_Dil9",2456.16285297877,59.8888,29
