"SampleID","TA","Mass","Sample.Index"
"Junk1",2463.63543966397,59.8921,1
"Junk2",2398.27287347004,60.2034,2
"PreC_Day1_rerun_Dil1rep1",2384.80437930388,60.231,3
"PreC_Day1_rerun_Dil1rep2",2369.85556834548,60.0513,4
"PreC_Day1_rerun_Dil1rep3",2373.59177359899,60.2492,5
"PreC_Day1_rerun_Dil2rep1",2360.01188484398,60.2254,6
"PreC_Day1_rerun_Dil2rep2",2438.56237544415,60.1415,7
"PreC_Day1_rerun_Dil2rep3",2364.17400102595,59.7725,8
"PreC_Day1_rerun_Dil3rep1",2356.52861136391,60.3549,9
"PreC_Day1_rerun_Dil3rep2",2439.31456657245,59.943,10
"PreC_Day1_rerun_Dil3rep3",2359.58281543766,60.3665,11
"PreC_Day1_rerun_Dil4rep1",2444.93861973428,59.8555,12
"PreC_Day1_rerun_Dil4rep2",2445.96110334396,59.81,13
"PreC_Day1_rerun_Dil4rep3",2360.04238538543,60.1319,14
"PreC_Day1_rerun_Dil5rep1",2420.00752175495,60.0414,15
"PreC_Day1_rerun_Dil5rep2",2351.80948579983,60.1528,16
"PreC_Day1_rerun_Dil5rep3",2417.53759925703,60.2074,17
"PreC_Day1_rerun_Dil6rep1",2356.36933364204,60.078,18
"PreC_Day1_rerun_Dil6rep2",2421.87916705067,59.7996,19
"PreC_Day1_rerun_Dil6rep3",2424.8156369243,59.709,20
"PreC_Day1_rerun_Dil7rep1",2433.12807421451,59.7108,21
"PreC_Day1_rerun_Dil7rep2",2434.26007455996,60.2517,22
"PreC_Day1_rerun_Dil7rep3",2432.09908149711,59.7311,23
"PreC_Day1_rerun_Dil8rep1",2426.71285501987,59.7918,24
"PreC_Day1_rerun_Dil8rep2",2425.97973802785,59.9745,25
"PreC_Day1_rerun_Dil8rep3",2430.02749691826,60.1477,26
"PreC_Day1_rerun_Dil9rep1",2430.86759325847,59.8778,27
"PreC_Day1_rerun_Dil9rep2",2367.25900267202,59.872,28
"PreC_Day1_rerun_Dil9rep3",2432.96470581012,59.8221,29
