"SampleID","TA","Mass","Sample.Index"
"Junk1",2434.10724932312,60.0868,1
"Junk2",2398.51825216015,59.7559,2
"CRM",2238.0462923703,60.2281,3
"PreCabralD3_Dil1rep1",2400.51849478109,59.9674,4
"PreCabralD3_Dil1rep2",2385.59624858908,59.9387,5
"PreCabralD3_Dil1rep3",2390.80916542799,60.149,6
"PreCabralD3_Dil2rep1",2370.3682600884,60.3885,7
"PreCabralD3_Dil2rep2",2445.44624835933,59.8153,8
"PreCabralD3_Dil2rep3",2376.25162275263,60.1789,9
"PreCabralD3_Dil3rep1",2364.08084532313,60.231,10
"PreCabralD3_Dil3rep2",2448.43872048297,59.8324,11
"PreCabralD3_Dil3rep3",2378.48203727855,59.9933,12
"PreCabralD3_Dil4rep1",2459.02627728231,59.9211,13
"PreCabralD3_Dil4rep2",2465.91779772668,59.7523,14
"PreCabralD3_Dil4rep3",2378.50675140028,60.1366,15
"PreCabralD3_Dil5rep1",2436.51700944612,60.1035,16
"PreCabralD3_Dil5rep2",2365.40165445204,60.0254,17
"PreCabralD3_Dil5rep3",2440.08493201108,60.0864,18
"PreCabralD3_Dil6rep1",2361.44251126798,60.1889,19
"PreCabralD3_Dil6rep2",2435.04462109686,60.1925,20
"PreCabralD3_Dil6rep3",2434.67646000052,60.0517,21
"PreCabralD3_Dil7rep1",2448.40796617503,60.0097,22
"PreCabralD3_Dil7rep2",2445.46688438984,60.3165,23
"PreCabralD3_Dil7rep3",2445.30298246543,60.1466,24
"PreCabralD3_Dil8rep1",2439.39696645548,60.2241,25
"PreCabralD3_Dil8rep2",2442.48661759804,60.1551,26
"PreCabralD3_Dil8rep3",2441.82656487164,60.2365,27
"PreCabralD3_Dil9rep1",2448.35932058108,59.7017,28
"PreCabralD3_Dil9rep2",2381.25042466313,59.8281,29
"PreCabralD3_Dil9rep3",2450.59412972582,60.1411,30
