Task,T5519
Scope 1/1, Sample 1/30 (Junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-44.9,21.8,NaN,,
0.0010,1,-45.6,21.8,0.0010,,
0.0025,2,-45.8,21.8,0.0015,,
0.0050,3,-45.9,21.8,0.0020,,
0.0090,4,-46.0,21.8,0.0035,,
0.0155,5,-46.1,21.8,0.0060,,
0.0235,6,-46.3,21.8,0.0075,,
0.0320,7,-46.4,21.8,0.0075,,
0.0405,8,-46.4,21.8,0.0075,,
0.0480,9,-46.4,21.8,0.0070,,
0.0565,10,-46.3,21.8,0.0075,,
0.0650,11,-46.2,21.8,0.0075,,
0.0735,12,-45.9,21.8,0.0075,,
0.0820,13,-45.7,21.8,0.0075,,
0.0905,14,-45.4,21.8,0.0075,,
0.0980,15,-45.1,21.8,0.0070,,
0.1065,16,-44.7,21.8,0.0075,,
0.1150,17,-44.3,21.8,0.0075,,
0.1230,18,-43.8,21.8,0.0075,,
0.1315,19,-43.3,21.8,0.0075,,
0.1400,20,-42.7,21.8,0.0075,,
0.1475,21,-42.2,21.8,0.0070,,
0.1560,22,-41.6,21.8,0.0075,,
0.1645,23,-41.0,21.8,0.0075,,
0.1730,24,-40.3,21.8,0.0075,,
0.1815,25,-39.6,21.8,0.0075,,
0.1900,26,-39.0,21.8,0.0075,,
0.1975,27,-38.4,21.8,0.0070,,
0.2060,28,-37.7,21.8,0.0075,,
0.2145,29,-37.0,21.8,0.0075,,
0.2225,30,-36.4,21.8,0.0075,,
0.2310,31,-35.8,21.8,0.0075,,
0.2390,32,-35.2,21.8,0.0075,,
0.2470,33,-34.6,21.8,0.0075,,
0.2555,34,-34.0,21.8,0.0075,,
0.2640,35,-33.4,21.8,0.0075,,
0.2725,36,-32.8,21.8,0.0075,,
0.2810,37,-32.2,21.8,0.0070,,
0.2885,38,-31.7,21.8,0.0070,,
0.2970,39,-31.2,21.8,0.0075,,
0.3055,40,-30.6,21.8,0.0075,,
0.3140,41,-30.1,21.8,0.0075,,
0.3220,42,-29.5,21.8,0.0075,,
0.3305,43,-29.0,21.8,0.0070,,
0.3385,44,-28.6,21.8,0.0075,,
0.3465,45,-28.1,21.8,0.0075,,
0.3550,46,-27.7,21.8,0.0075,,
0.3635,47,-27.2,21.8,0.0075,,
0.3720,48,-26.7,21.8,0.0075,,
0.3805,49,-26.2,21.8,0.0070,,
0.3880,50,-25.8,21.8,0.0070,,
0.3965,51,-25.3,21.8,0.0075,,
0.4050,52,-24.9,21.8,0.0075,,
0.4135,53,-24.4,21.8,0.0075,,
0.4215,54,-24.0,21.8,0.0075,,
0.4300,55,-23.6,21.8,0.0075,,
0.4375,56,-23.2,21.8,0.0070,,
0.4460,57,-22.7,21.8,0.0075,,
0.4545,58,-22.4,21.8,0.0075,,
0.4630,59,-21.9,21.8,0.0075,,
0.4715,60,-21.5,21.8,0.0075,,
0.4800,61,-21.2,21.8,0.0075,,
0.4875,62,-20.8,21.8,0.0070,,
0.4960,63,-20.4,21.8,0.0075,,
0.5045,64,-20.0,21.8,0.0075,,
0.5130,65,-19.6,21.8,0.0075,,
0.5210,66,-19.2,21.8,0.0075,,
0.5295,67,-18.9,21.8,0.0075,,
0.5370,68,-18.5,21.8,0.0070,,
0.5455,69,-18.1,21.8,0.0075,,
0.5540,70,-17.7,21.8,0.0075,,
0.5625,71,-17.3,21.8,0.0075,,
0.5710,72,-16.9,21.8,0.0075,,
0.5785,73,-16.6,21.8,0.0070,,
0.5870,74,-16.2,21.8,0.0075,,
0.5955,75,-15.9,21.8,0.0075,,
0.6040,76,-15.5,21.8,0.0075,,
0.6125,77,-15.1,21.8,0.0075,,
0.6205,78,-14.7,21.8,0.0075,,
0.6285,79,-14.4,21.8,0.0075,,
0.6365,80,-14.0,21.8,0.0075,,
0.6450,81,-13.7,21.8,0.0075,,
0.6535,82,-13.3,21.8,0.0075,,
0.6620,83,-12.9,21.8,0.0075,,
0.6705,84,-12.6,21.8,0.0075,,
0.6780,85,-12.2,21.8,0.0070,,
0.6865,86,-11.9,21.8,0.0075,,
0.6950,87,-11.5,21.8,0.0075,,
0.7035,88,-11.2,21.8,0.0075,,
0.7115,89,-10.8,21.8,0.0075,,
0.7200,90,-10.5,21.8,0.0075,,
0.7275,91,-10.2,21.8,0.0070,,
0.7360,92,-9.8,21.8,0.0075,,
0.7445,93,-9.5,21.8,0.0075,,
0.7530,94,-9.1,21.8,0.0075,,
0.7615,95,-8.7,21.8,0.0075,,
0.7700,96,-8.4,21.8,0.0075,,
0.7775,97,-8.1,21.8,0.0070,,
0.7860,98,-7.7,21.8,0.0075,,
0.7945,99,-7.4,21.8,0.0075,,
0.8025,100,-7.1,21.8,0.0075,,
0.8110,101,-6.7,21.8,0.0075,,
0.8195,102,-6.4,21.8,0.0075,,
0.8280,103,-6.0,21.8,0.0070,,
0.8355,104,-5.7,21.8,0.0070,,
0.8440,105,-5.4,21.8,0.0075,,
0.8525,106,-4.9,21.8,0.0075,,
0.8610,107,-4.5,21.8,0.0075,,
0.8690,108,-4.1,21.8,0.0075,,
0.8775,109,-3.6,21.8,0.0070,,
0.8850,110,-3.2,21.8,0.0070,,
0.8935,111,-2.8,21.8,0.0075,,
0.9020,112,-2.3,21.8,0.0075,,
0.9105,113,-1.9,21.8,0.0075,,
0.9190,114,-1.4,21.8,0.0075,,
0.9275,115,-1.0,21.8,0.0070,,
0.9350,116,-0.6,21.8,0.0070,,
0.9435,117,-0.1,21.8,0.0075,,
0.9520,118,0.2,21.8,0.0075,,
0.9600,119,0.3,21.8,0.0075,,
0.9685,120,0.3,21.8,0.0075,,
0.9770,121,0.7,21.8,0.0070,,
0.9845,122,1.0,21.8,0.0070,,
0.9930,123,1.4,21.8,0.0075,,
1.0015,124,1.9,21.8,0.0075,,
1.0100,125,2.5,21.8,0.0075,,
1.0185,126,3.4,21.8,0.0075,,
1.0270,127,3.6,21.8,0.0070,,
1.0345,128,3.7,21.8,0.0070,,
1.0430,129,4.3,21.8,0.0075,,
1.0510,130,4.8,21.8,0.0075,,
1.0595,131,5.1,21.8,0.0075,,
1.0680,132,5.5,21.8,0.0075,,
1.0765,133,5.9,21.8,0.0075,,
1.0840,134,6.2,21.8,0.0070,,
1.0925,135,6.7,21.8,0.0075,,
1.1010,136,7.0,21.8,0.0075,,
1.1095,137,7.5,21.8,0.0075,,
1.1180,138,8.0,21.8,0.0075,,
1.1260,139,8.6,21.8,0.0075,,
1.1340,140,9.1,21.8,0.0075,,
1.1425,141,9.7,21.8,0.0075,,
1.1505,142,10.3,21.8,0.0075,,
1.1590,143,11.0,21.8,0.0075,,
1.1675,144,11.7,21.8,0.0075,,
1.1760,145,12.3,21.8,0.0075,,
1.1835,146,12.9,21.8,0.0070,,
1.1920,147,13.5,21.8,0.0075,,
1.2005,148,14.2,21.8,0.0075,,
1.2090,149,14.9,21.8,0.0075,,
1.2175,150,15.5,21.8,0.0075,,
1.2255,151,16.3,21.8,0.0075,,
1.2330,152,16.9,21.8,0.0070,,
1.2415,153,17.6,21.8,0.0075,,
1.2500,154,18.4,21.8,0.0075,,
1.2585,155,19.2,21.8,0.0075,,
1.2670,156,20.0,21.8,0.0075,,
1.2755,157,20.9,21.8,0.0075,,
1.2840,158,21.6,21.8,0.0075,,
1.2915,159,22.6,21.8,0.0070,,
1.3000,160,23.5,21.8,0.0075,,
1.3080,161,24.6,21.8,0.0075,,
