Task,T5515
Scope 1/1, Sample 1/4 (Junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-34.6,21.5,NaN,,
0.0005,1,-35.8,21.5,0.0005,,
0.0025,2,-36.2,21.5,0.0020,,
0.0050,3,-36.6,21.5,0.0025,,
0.0090,4,-36.9,21.5,0.0035,,
0.0155,5,-37.2,21.5,0.0060,,
0.0235,6,-37.5,21.5,0.0075,,
0.0310,7,-37.7,21.5,0.0075,,
0.0395,8,-37.8,21.5,0.0085,,
0.0480,9,-38.0,21.5,0.0075,,
0.0565,10,-38.1,21.5,0.0075,,
0.0650,11,-38.0,21.5,0.0075,,
0.0735,12,-37.9,21.5,0.0075,,
0.0810,13,-37.8,21.5,0.0075,,
0.0895,14,-37.6,21.5,0.0085,,
0.0980,15,-37.4,21.5,0.0075,,
0.1065,16,-37.2,21.5,0.0075,,
0.1150,17,-36.8,21.5,0.0075,,
0.1230,18,-36.5,21.5,0.0080,,
0.1310,19,-36.2,21.5,0.0080,,
0.1390,20,-35.7,21.5,0.0075,,
0.1475,21,-35.2,21.5,0.0075,,
0.1560,22,-34.6,21.5,0.0075,,
0.1645,23,-34.1,21.5,0.0075,,
0.1720,24,-33.6,21.5,0.0075,,
0.1805,25,-33.0,21.5,0.0085,,
0.1890,26,-32.4,21.5,0.0075,,
0.1975,27,-31.9,21.5,0.0075,,
0.2060,28,-31.3,21.5,0.0075,,
0.2145,29,-30.8,21.5,0.0075,,
0.2220,30,-30.3,21.5,0.0075,,
0.2305,31,-29.7,21.5,0.0085,,
0.2385,32,-29.2,21.5,0.0075,,
0.2470,33,-28.7,21.5,0.0075,,
0.2555,34,-28.1,21.5,0.0075,,
0.2640,35,-27.6,21.5,0.0075,,
0.2715,36,-27.3,21.5,0.0075,,
0.2800,37,-26.7,21.5,0.0085,,
0.2885,38,-26.2,21.5,0.0075,,
0.2970,39,-25.8,21.5,0.0075,,
0.3055,40,-25.3,21.5,0.0075,,
0.3140,41,-24.9,21.5,0.0085,,
0.3215,42,-24.4,21.5,0.0075,,
0.3300,43,-24.0,21.5,0.0075,,
0.3385,44,-23.6,21.5,0.0075,,
0.3465,45,-23.2,21.5,0.0075,,
0.3550,46,-22.7,21.5,0.0075,,
0.3625,47,-22.3,21.5,0.0075,,
0.3710,48,-21.9,21.5,0.0085,,
0.3795,49,-21.5,21.5,0.0075,,
0.3880,50,-21.0,21.5,0.0075,,
0.3965,51,-20.6,21.5,0.0075,,
0.4050,52,-20.2,21.5,0.0075,,
0.4125,53,-19.8,21.5,0.0075,,
0.4210,54,-19.5,21.5,0.0085,,
0.4295,55,-19.0,21.5,0.0075,,
0.4380,56,-18.6,21.5,0.0075,,
0.4460,57,-18.3,21.5,0.0075,,
