Task,T5783
Scope 1/1, Sample 1/30 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-53.8,21.8,NaN,,
0.0005,1,-53.9,21.8,0.0005,,
0.0025,2,-53.9,21.8,0.0020,,
0.0050,3,-53.7,21.8,0.0025,,
0.0090,4,-53.7,21.8,0.0035,,
0.0155,5,-53.7,21.8,0.0060,,
0.0235,6,-53.6,21.8,0.0075,,
0.0315,7,-53.1,21.8,0.0080,,
0.0395,8,-52.8,21.8,0.0080,,
0.0480,9,-52.2,21.8,0.0075,,
0.0565,10,-51.2,21.8,0.0075,,
0.0650,11,-50.2,21.8,0.0075,,
0.0735,12,-49.1,21.8,0.0075,,
0.0810,13,-48.0,21.8,0.0075,,
0.0895,14,-46.7,21.8,0.0085,,
0.0980,15,-45.3,21.8,0.0075,,
0.1065,16,-43.8,21.8,0.0075,,
0.1145,17,-42.4,21.8,0.0075,,
0.1230,18,-41.1,21.8,0.0085,,
0.1310,19,-39.4,21.9,0.0080,,
0.1390,20,-37.7,21.8,0.0080,,
0.1475,21,-36.0,21.8,0.0075,,
0.1560,22,-34.1,21.8,0.0075,,
0.1645,23,-32.3,21.8,0.0075,,
0.1720,24,-30.7,21.8,0.0075,,
0.1805,25,-28.9,21.8,0.0085,,
0.1890,26,-27.3,21.8,0.0075,,
0.1975,27,-25.7,21.8,0.0075,,
0.2060,28,-23.8,21.8,0.0075,,
0.2145,29,-22.2,21.8,0.0075,,
0.2220,30,-20.8,21.8,0.0075,,
0.2305,31,-19.1,21.8,0.0085,,
0.2385,32,-17.7,21.8,0.0075,,
0.2470,33,-16.3,21.9,0.0075,,
0.2555,34,-14.7,21.9,0.0075,,
0.2640,35,-13.4,21.8,0.0085,,
0.2715,36,-12.0,21.8,0.0075,,
0.2800,37,-10.7,21.8,0.0085,,
0.2885,38,-9.5,21.9,0.0075,,
0.2970,39,-8.1,21.8,0.0075,,
0.3055,40,-6.9,21.8,0.0075,,
0.3140,41,-5.9,21.8,0.0085,,
0.3215,42,-4.6,21.9,0.0075,,
0.3300,43,-3.4,21.9,0.0085,,
0.3380,44,-2.1,21.9,0.0075,,
0.3465,45,-0.8,21.9,0.0075,,
0.3550,46,0.5,21.9,0.0075,,
0.3635,47,0.6,21.9,0.0085,,
0.3710,48,1.7,21.9,0.0075,,
0.3795,49,3.4,21.9,0.0075,,
0.3880,50,4.3,21.9,0.0075,,
0.3965,51,5.3,21.9,0.0075,,
0.4050,52,6.1,21.9,0.0075,,
0.4125,53,6.9,21.9,0.0075,,
0.4210,54,8.2,21.9,0.0085,,
0.4295,55,9.3,21.9,0.0075,,
0.4375,56,10.5,21.9,0.0075,,
0.4460,57,11.6,21.9,0.0075,,
0.4545,58,12.6,21.9,0.0075,,
0.4620,59,13.4,21.9,0.0075,,
0.4705,60,14.4,21.9,0.0085,,
0.4790,61,15.5,21.9,0.0075,,
0.4875,62,16.4,21.9,0.0075,,
0.4960,63,17.3,21.9,0.0075,,
0.5045,64,18.1,21.9,0.0085,,
0.5120,65,19.0,21.9,0.0075,,
0.5205,66,20.0,21.9,0.0085,,
0.5290,67,21.1,21.9,0.0075,,
0.5375,68,22.0,21.9,0.0075,,
0.5455,69,23.0,21.9,0.0075,,
0.5540,70,23.7,21.9,0.0085,,
0.5615,71,24.7,21.9,0.0075,,
0.5700,72,25.6,21.9,0.0085,,
0.5785,73,26.6,21.9,0.0075,,
0.5870,74,27.6,21.9,0.0075,,
0.5955,75,28.6,21.9,0.0075,,
0.6030,76,29.4,21.9,0.0075,,
0.6115,77,30.3,21.9,0.0085,,
0.6200,78,31.1,21.9,0.0085,,
0.6285,79,32.0,21.9,0.0075,,
0.6365,80,33.0,21.9,0.0075,,
0.6450,81,33.9,21.9,0.0075,,
0.6530,82,34.7,21.9,0.0080,,
0.6610,83,35.5,21.9,0.0080,,
0.6695,84,36.2,21.9,0.0075,,
0.6780,85,37.2,21.9,0.0075,,
0.6865,86,38.0,21.9,0.0075,,
0.6950,87,38.8,21.9,0.0075,,
0.7025,88,39.5,21.9,0.0075,,
0.7110,89,40.2,21.9,0.0085,,
0.7195,90,41.1,21.9,0.0075,,
0.7280,91,41.9,21.9,0.0075,,
0.7365,92,42.7,21.9,0.0075,,
0.7445,93,43.6,21.9,0.0075,,
0.7525,94,44.2,21.9,0.0080,,
0.7605,95,45.1,21.9,0.0080,,
0.7690,96,46.1,21.9,0.0075,,
0.7775,97,46.9,21.9,0.0075,,
0.7860,98,47.7,21.9,0.0075,,
0.7935,99,48.4,21.9,0.0075,,
0.8020,100,49.2,21.9,0.0085,,
0.8105,101,49.9,21.9,0.0085,,
0.8190,102,50.7,21.9,0.0075,,
0.8275,103,51.6,21.9,0.0075,,
0.8360,104,52.2,21.9,0.0075,,
0.8435,105,53.0,21.9,0.0075,,
0.8520,106,53.7,21.9,0.0085,,
0.8600,107,54.4,21.9,0.0075,,
0.8685,108,55.1,21.9,0.0075,,
0.8770,109,55.8,21.9,0.0075,,
0.8855,110,56.6,21.9,0.0075,,
0.8930,111,57.3,21.9,0.0075,,
0.9015,112,58.1,21.9,0.0085,,
0.9100,113,58.9,21.9,0.0075,,
0.9185,114,59.6,21.9,0.0075,,
0.9270,115,60.4,21.9,0.0075,,
0.9355,116,61.2,21.9,0.0075,,
