"SampleID","TA","Mass","Sample.Index"
"Junk1",2395.84213995493,60.328,1
"Junk2",2373.62990379874,59.7449,2
"AmbSGD_rep1_day4_01172024",2358.9673920095,60.3975,3
"AmbSGD_rep2_day4_01172024",2367.10635091193,59.8274,4
"AmbSGD_rep3_day4_01172024",2370.85417035386,60.1395,5
"LowSGD_rep1_day4_01172024",2379.10017279367,60.1857,6
"LowSGD_rep2_day4_01172024",2385.28850455167,59.9587,7
"LowSGD_rep3_day4_01172024",2381.40577670381,60.1771,8
"MedSGD_rep1_day4_01172024",2419.41641016212,60.2825,9
"MedSGD_rep2_day4_01172024",2425.86318892756,59.7875,10
"MedSGD_rep3_day4_01172024",2412.76422096177,60.3559,11
"HighSGD_rep1_day4_01172024",2501.31282043567,60.1305,12
"HighSGD_rep2_day4_01172024",2506.42609219855,59.8589,13
"HighSGD_rep3_day4_01172024",2517.06861265805,60.2547,14
"AmbSGD_rep1_day5_01182024",2382.72531935111,60.0027,15
"AmbSGD_rep2_day5_01182024",2375.15067296895,60.2789,16
"AmbSGD_rep3_day5_01182024",2382.75676509164,60.1064,17
"LowSGD_rep1_day5_01182024",2387.32478702881,59.9462,18
"LowSGD_rep2_day5_01182024",2395.76288244998,59.8994,19
"LowSGD_rep3_day5_01182024",2391.43697516266,60.0218,20
"MedSGD_rep1_day5_01182024",2425.26259699387,59.7699,21
"MedSGD_rep2_day5_01182024",2423.57436640545,59.8365,22
"MedSGD_rep3_day5_01182024",2429.73109063584,59.9209,23
"HighSGD_rep1_day5_01182024",2562.9558146838,59.735,24
"HighSGD_rep2_day5_01182024",2509.31509078303,60.1811,25
"HighSGD_rep3_day5_01182024",2526.3538624709,59.7993,26
"AmbSGD_rep1_day6_01192024",2389.58789640502,59.714,27
"AmbSGD_rep2_day6_01192024",2383.06723057988,60.3939,28
"AmbSGD_rep3_day6_01192024",2374.25837130588,59.7512,29
"LowSGD_rep1_day6_01192024",2394.91613445147,59.8885,30
