Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample Index In Scope,Sample ID1,Sample start time,Overall State,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],,Density [g/m L],Unit of Density [g/m L]
1,Junk1,3/2/2024 11:49:36 AM,OK,Unchecked,0,,25.0,°C,,2.416,mL,,59.763,g,,59.7634,g,,1.0,g/mL
2,Junk2,3/2/2024 12:00:28 PM,OK,Unchecked,0,,25.0,°C,,2.400,mL,,59.872,g,,59.8717,g,,1.0,g/mL
3,LowSGD_rep2_day6_01192024,3/2/2024 12:11:08 PM,OK,Unchecked,0,,25.0,°C,,2.450,mL,,60.321,g,,60.3213,g,,1.0,g/mL
4,LowSGD_rep3_day6_01192024,3/2/2024 12:22:07 PM,OK,Unchecked,0,,25.0,°C,,2.426,mL,,59.724,g,,59.7245,g,,1.0,g/mL
5,MedSGD_rep1_day6_01192024,3/2/2024 12:33:05 PM,OK,Unchecked,0,,25.0,°C,,2.468,mL,,59.985,g,,59.9850,g,,1.0,g/mL
6,MedSGD_rep2_day6_01192024,3/2/2024 12:43:53 PM,OK,Unchecked,0,,25.0,°C,,2.486,mL,,60.347,g,,60.3474,g,,1.0,g/mL
7,MedSGD_rep3_day6_01192024,3/2/2024 12:54:48 PM,OK,Unchecked,0,,25.0,°C,,2.448,mL,,59.847,g,,59.8474,g,,1.0,g/mL
8,HighSGD_rep1_day6_01192024,3/2/2024 1:05:33 PM,OK,Unchecked,0,,25.0,°C,,2.508,mL,,60.085,g,,60.0846,g,,1.0,g/mL
9,HighSGD_rep2_day6_01192024,3/2/2024 1:16:24 PM,OK,Unchecked,0,,25.0,°C,,2.522,mL,,60.387,g,,60.3872,g,,1.0,g/mL
10,HighSGD_rep3_day6_01192024,3/2/2024 1:27:25 PM,OK,Unchecked,0,,25.0,°C,,2.517,mL,,60.099,g,,60.0988,g,,1.0,g/mL
11,AmbSGD_rep1_day1_02152024,3/2/2024 1:38:20 PM,OK,Unchecked,0,,25.0,°C,,2.415,mL,,59.722,g,,59.7222,g,,1.0,g/mL
12,AmbSGD_rep2_day1_02152024,3/2/2024 1:49:11 PM,OK,Unchecked,0,,25.0,°C,,2.430,mL,,60.024,g,,60.0238,g,,1.0,g/mL
13,LowSGD_rep1_day1_02152024,3/2/2024 1:59:55 PM,OK,Unchecked,0,,25.0,°C,,2.428,mL,,60.276,g,,60.2761,g,,1.0,g/mL
14,LowSGD_rep2_day1_02152024,3/2/2024 2:10:42 PM,OK,Unchecked,0,,25.0,°C,,2.429,mL,,60.138,g,,60.1385,g,,1.0,g/mL
15,MedSGD_rep1_day1_02152024,3/2/2024 2:21:27 PM,OK,Unchecked,0,,25.0,°C,,2.432,mL,,59.858,g,,59.8581,g,,1.0,g/mL
