SampleID,TA,Mass,Sample.Index
junk1,2414.734552,60.1789,1
junk2,2390.019895,59.8569,2
AmbSGD_rep1_day1_01132024,2346.456723,60.2173,3
AmbSGD_rep2_day1_01132024,2354.623836,60.0071,4
AmbSGD_rep3_day1_01132024,2347.611331,60.1171,5
LowSGD_rep1_day1_01132024,2363.690043,59.9072,6
LowSGD_rep2_day1_01132024,2372.86424,59.8618,7
LowSGD_rep3_day1_01132024,2361.167754,59.803,8
MedSGD_rep1_day1_01132024,2392.089016,60.0283,9
MedSGD_rep2_day1_01132024,2382.913875,60.1009,10
MedSGD_rep3_day1_01132024,2355.848616,59.8094,11
HighSGD_rep1_day1_01132024,2439.086599,60.0658,12
HighSGD_rep2_day1_01132024,2440.997628,48.5904,13
HighSGD_rep3_day1_01132024,2441.910076,60.1901,14
AmbSGD_rep1_day2_01142024,2359.38624,59.789,15
AmbSGD_rep2_day2_01142024,2364.471112,60.3885,16
AmbSGD_rep3_day2_01142024,2362.20427,60.17,17
LowSGD_rep1_day2_01142024,2368.976065,59.9629,18
LowSGD_rep2_day2_01142024,2386.294494,59.8569,19
LowSGD_rep3_day2_01142024,2374.565958,60.3064,20
MedSGD_rep1_day2_01142024,2391.473238,60.0669,21
MedSGD_rep2_day2_01142024,2399.22516,60.0928,22
MedSGD_rep3_day2_01142024,2408.400586,60.225,23
HighSGD_rep1_day2_01142024,2486.527149,60.1991,24
HighSGD_rep2_day2_01142024,2477.304508,59.9832,25
HighSGD_rep3_day2_01142024,2478.743538,60.1528,26
rawGW_day2_01142024,5271.729019,59.8547,27
AmbSGD_rep1_day3_01152024,2351.628475,59.7886,28
AmbSGD_rep2_day3_01152024,2356.708057,60.1731,29
