"SampleID","TA","Mass","Sample.Index"
"junk1",2417.38449076586,60.1789,1
"junk2",2383.40831074112,59.8569,2
"AmbSGD_rep1_day1_01132024",2347.161172464,60.2173,3
"AmbSGD_rep2_day1_01132024",2361.05533460455,60.0071,4
"AmbSGD_rep3_day1_01132024",2348.89080351547,60.1171,5
"LowSGD_rep1_day1_01132024",2367.53446966399,59.9072,6
"LowSGD_rep2_day1_01132024",2371.36537842311,59.8618,7
"LowSGD_rep3_day1_01132024",2355.61094934383,59.803,8
"MedSGD_rep1_day1_01132024",2390.64492544985,60.0283,9
"MedSGD_rep2_day1_01132024",2381.85879336103,60.1009,10
"MedSGD_rep3_day1_01132024",2354.2329262245,59.8094,11
"HighSGD_rep1_day1_01132024",2441.19676968759,60.0658,12
"HighSGD_rep2_day1_01132024",2448.41900024404,48.5904,13
"HighSGD_rep3_day1_01132024",2443.8706258165,60.1901,14
"AmbSGD_rep1_day2_01142024",2358.73312698676,59.789,15
"AmbSGD_rep2_day2_01142024",2355.91345488538,60.3885,16
"AmbSGD_rep3_day2_01142024",2363.67949263515,60.17,17
"LowSGD_rep1_day2_01142024",2373.08109870808,59.9629,18
"LowSGD_rep2_day2_01142024",2387.31106003923,59.8569,19
"LowSGD_rep3_day2_01142024",2372.54471221853,60.3064,20
"MedSGD_rep1_day2_01142024",2399.35750724542,60.0669,21
"MedSGD_rep2_day2_01142024",2396.12545055554,60.0928,22
"MedSGD_rep3_day2_01142024",2410.29618891904,60.225,23
"HighSGD_rep1_day2_01142024",2491.55480590657,60.1991,24
"HighSGD_rep2_day2_01142024",2480.9939441983,59.9832,25
"HighSGD_rep3_day2_01142024",2481.62519568701,60.1528,26
"rawGW_day2_01142024",5273.88760329306,59.8547,27
"AmbSGD_rep1_day3_01152024",2355.118765156,59.7886,28
"AmbSGD_rep2_day3_01152024",2358.36565141293,60.1731,29
