Task,T6329
Scope 1/1, Sample 1/4 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-56.4,19.9,NaN,,
0.0010,1,-56.7,19.9,0.0010,,
0.0025,2,-56.8,19.9,0.0015,,
0.0050,3,-56.7,19.9,0.0025,,
0.0090,4,-56.8,19.9,0.0035,,
0.0150,5,-56.8,19.9,0.0055,,
0.0235,6,-56.7,19.9,0.0075,,
0.0320,7,-56.5,19.9,0.0075,,
0.0395,8,-56.1,19.9,0.0075,,
0.0480,9,-55.6,19.9,0.0085,,
0.0565,10,-55.2,19.9,0.0075,,
0.0650,11,-54.6,19.9,0.0075,,
0.0730,12,-54.0,19.9,0.0075,,
0.0815,13,-53.2,19.9,0.0075,,
0.0890,14,-52.7,19.9,0.0070,,
0.0975,15,-51.9,19.9,0.0085,,
0.1060,16,-51.1,19.9,0.0075,,
0.1145,17,-50.3,19.9,0.0075,,
0.1230,18,-49.4,19.9,0.0075,,
0.1315,19,-48.5,19.9,0.0075,,
0.1400,20,-47.7,19.9,0.0085,,
0.1475,21,-46.7,19.9,0.0075,,
0.1560,22,-45.6,19.9,0.0075,,
0.1640,23,-44.6,19.9,0.0075,,
0.1725,24,-43.5,19.9,0.0075,,
0.1810,25,-42.5,19.9,0.0075,,
0.1885,26,-41.5,19.9,0.0075,,
0.1970,27,-40.4,19.9,0.0085,,
0.2055,28,-39.4,19.9,0.0075,,
0.2140,29,-38.4,19.9,0.0075,,
0.2225,30,-37.3,19.9,0.0075,,
0.2310,31,-36.3,19.9,0.0075,,
0.2385,32,-35.5,19.9,0.0075,,
0.2470,33,-34.3,19.9,0.0085,,
0.2550,34,-33.4,19.9,0.0075,,
0.2635,35,-32.6,19.9,0.0075,,
0.2720,36,-31.7,19.9,0.0075,,
0.2805,37,-30.9,19.9,0.0075,,
0.2880,38,-30.1,19.9,0.0075,,
0.2965,39,-29.2,19.9,0.0085,,
0.3050,40,-28.3,19.9,0.0075,,
0.3135,41,-27.3,19.9,0.0075,,
0.3220,42,-26.3,19.9,0.0075,,
0.3300,43,-25.3,19.9,0.0075,,
0.3380,44,-24.6,19.9,0.0080,,
0.3460,45,-23.8,19.9,0.0080,,
0.3545,46,-22.8,19.9,0.0075,,
0.3630,47,-21.9,19.9,0.0075,,
0.3715,48,-21.1,19.9,0.0075,,
0.3800,49,-20.1,19.9,0.0075,,
0.3875,50,-19.4,19.9,0.0075,,
0.3960,51,-18.5,19.9,0.0085,,
0.4045,52,-17.6,19.9,0.0075,,
0.4130,53,-16.6,19.9,0.0075,,
0.4210,54,-15.7,19.9,0.0075,,
0.4295,55,-14.7,19.9,0.0075,,
0.4380,56,-13.9,19.9,0.0085,,
0.4455,57,-12.9,19.9,0.0070,,
0.4540,58,-12.1,19.9,0.0075,,
0.4625,59,-11.1,19.9,0.0075,,
0.4710,60,-10.2,19.9,0.0075,,
0.4795,61,-9.3,19.9,0.0075,,
0.4875,62,-8.4,19.9,0.0075,,
0.4955,63,-7.7,19.9,0.0080,,
0.5035,64,-7.0,19.9,0.0080,,
0.5120,65,-6.0,19.9,0.0075,,
0.5205,66,-5.2,19.9,0.0075,,
0.5290,67,-4.0,19.9,0.0075,,
0.5375,68,-3.1,19.9,0.0075,,
0.5450,69,-2.2,19.9,0.0075,,
0.5535,70,-1.2,19.9,0.0085,,
0.5620,71,-0.3,19.9,0.0075,,
0.5705,72,0.0,19.9,0.0075,,
0.5785,73,0.9,19.9,0.0075,,
0.5870,74,1.7,19.9,0.0075,,
0.5945,75,2.7,19.9,0.0075,,
0.6030,76,3.8,19.9,0.0085,,
0.6115,77,4.7,19.9,0.0075,,
0.6200,78,5.6,19.9,0.0075,,
0.6285,79,6.4,19.9,0.0075,,
0.6370,80,7.2,19.9,0.0075,,
0.6450,81,8.0,19.9,0.0080,,
0.6530,82,9.1,19.9,0.0080,,
0.6610,83,10.1,19.9,0.0075,,
0.6695,84,11.0,19.9,0.0075,,
0.6780,85,12.1,19.9,0.0075,,
0.6865,86,13.1,19.9,0.0075,,
0.6940,87,14.1,19.9,0.0075,,
0.7025,88,15.1,19.9,0.0085,,
0.7110,89,16.2,19.9,0.0075,,
0.7195,90,17.1,19.9,0.0075,,
0.7280,91,18.2,19.9,0.0075,,
0.7360,92,19.1,19.9,0.0075,,
0.7440,93,20.0,19.9,0.0080,,
0.7525,94,21.0,19.9,0.0085,,
0.7605,95,21.9,19.9,0.0075,,
0.7690,96,22.9,19.9,0.0075,,
0.7775,97,24.0,19.9,0.0075,,
0.7860,98,25.1,19.9,0.0075,,
0.7935,99,25.9,19.9,0.0075,,
0.8020,100,27.0,19.9,0.0085,,
0.8105,101,28.0,19.9,0.0075,,
0.8190,102,29.0,19.9,0.0075,,
0.8275,103,30.0,19.9,0.0075,,
0.8355,104,30.9,19.9,0.0075,,
0.8435,105,32.0,19.9,0.0080,,
0.8515,106,33.1,19.9,0.0080,,
0.8600,107,34.1,19.9,0.0075,,
0.8685,108,35.2,19.9,0.0075,,
0.8770,109,36.2,19.9,0.0075,,
0.8855,110,37.4,19.9,0.0075,,
0.8930,111,38.2,19.9,0.0075,,
0.9015,112,39.3,19.9,0.0085,,
0.9100,113,40.3,19.9,0.0075,,
0.9185,114,41.4,19.9,0.0075,,
0.9265,115,42.5,19.9,0.0075,,
0.9350,116,43.6,19.9,0.0075,,
0.9435,117,44.5,19.9,0.0085,,
0.9510,118,45.6,19.9,0.0075,,
0.9595,119,46.6,19.9,0.0075,,
0.9680,120,47.8,19.9,0.0075,,
0.9765,121,49.0,19.9,0.0075,,
0.9850,122,50.1,19.9,0.0075,,
0.9925,123,51.0,19.9,0.0075,,
1.0010,124,52.1,19.9,0.0085,,
1.0095,125,53.2,19.9,0.0075,,
1.0175,126,54.4,19.9,0.0075,,
1.0260,127,55.6,19.9,0.0075,,
1.0345,128,56.7,19.9,0.0075,,
1.0420,129,57.7,19.9,0.0075,,
1.0505,130,58.8,19.9,0.0085,,
1.0590,131,59.9,19.9,0.0075,,
1.0675,132,60.9,19.9,0.0075,,
1.0760,133,62.0,19.9,0.0075,,
1.0840,134,63.1,19.9,0.0075,,
1.0925,135,64.0,19.9,0.0085,,
1.1000,136,65.2,19.9,0.0075,,
1.1085,137,66.2,19.9,0.0075,,
1.1170,138,67.4,19.9,0.0075,,
1.1255,139,68.6,19.9,0.0075,,
1.1340,140,69.7,19.9,0.0075,,
1.1425,141,70.8,19.9,0.0085,,
1.1500,142,71.9,19.9,0.0075,,
1.1585,143,72.9,19.9,0.0085,,
1.1670,144,74.1,19.9,0.0075,,
1.1750,145,75.4,19.9,0.0075,,
1.1835,146,76.7,19.9,0.0075,,
1.1920,147,77.9,19.9,0.0085,,
1.1995,148,79.2,19.9,0.0075,,
1.2080,149,80.4,19.9,0.0075,,
1.2165,150,81.7,19.9,0.0075,,
1.2250,151,83.1,19.9,0.0075,,
1.2335,152,84.6,19.9,0.0075,,
1.2420,153,86.0,19.9,0.0085,,
1.2495,154,87.5,19.9,0.0075,,
1.2580,155,89.0,19.9,0.0075,,
1.2665,156,90.4,19.9,0.0075,,
1.2745,157,92.1,19.9,0.0075,,
1.2830,158,93.8,19.9,0.0075,,
1.2915,159,95.7,19.9,0.0085,,
1.2990,160,97.7,19.9,0.0075,,
1.3075,161,99.7,19.9,0.0075,,
1.3160,162,101.8,19.9,0.0075,,
1.3245,163,103.8,19.9,0.0075,,
1.3330,164,105.9,19.9,0.0075,,
1.3410,165,108.3,19.9,0.0080,,
1.3490,166,111.1,19.9,0.0080,,
1.3575,167,113.8,19.9,0.0075,,
1.3655,168,116.7,19.9,0.0075,,
1.3740,169,119.7,19.9,0.0075,,
1.3825,170,123.0,19.9,0.0075,,
1.3910,171,126.1,19.9,0.0085,,
1.3985,172,129.6,19.9,0.0075,,
1.4070,173,133.3,19.9,0.0075,,
1.4155,174,137.7,19.9,0.0075,,
1.4240,175,141.9,19.9,0.0075,,
1.4325,176,146.2,19.9,0.0075,,
1.4405,177,150.3,19.9,0.0075,,
1.4485,178,153.8,19.9,0.0080,,
1.4565,179,157.8,19.9,0.0075,,
1.4650,180,161.4,19.9,0.0075,,
1.4735,181,164.7,19.9,0.0075,,
1.4820,182,167.8,19.9,0.0075,,
1.4905,183,170.5,19.9,0.0075,,
1.4980,184,172.3,19.9,0.0075,,
1.5065,185,174.7,19.9,0.0085,,
1.5145,186,176.7,19.9,0.0075,,
1.5230,187,178.8,19.9,0.0075,,
1.5315,188,180.7,19.9,0.0075,,
1.5400,189,182.3,19.9,0.0075,,
1.5475,190,183.4,19.9,0.0075,,
1.5560,191,184.9,19.9,0.0085,,
1.5590,192,185.1,19.9,0.0060,,
1.5590,432,190.5,19.9,0.0000,,
1.5595,432,190.5,19.9,0.0010,,
1.5610,434,190.5,19.9,0.0010,,
1.5635,434,190.4,19.9,0.0050,,
1.5675,436,190.5,19.9,0.0025,,
1.5735,437,190.7,19.9,0.0100,,
1.5820,438,191.0,19.9,0.0140,,
1.5895,438,191.6,19.9,0.0150,,
1.5980,440,192.5,19.9,0.0055,,
1.6065,440,193.5,19.9,0.0170,,
