"SampleID","TA","Mass","Sample.Index"
"Junk1",2344.68932364518,60.3877,1
"Junk2",2232.69473439098,59.9884,2
"Cali1",2236.63985602106,59.9038,3
"Cali2",2238.63317239625,60.2092,4
"Cali3",2286.81188771817,60.3803,5
"postVarari_Col1_Dil1",2438.26195028428,60.2375,6
"postVarari_Col2_Dil1",2482.52637421887,59.6311,7
"postVarari_Blank_Dil1",2586.91463238645,59.8496,8
"postVarari_Col1_Dil2",2449.28236853942,60.1225,9
"postVarari_Col2_Dil2",2456.90469264831,60.0398,10
"postVarari_Blank_Dil2",2480.29339561994,59.9252,11
"postVarari_Col1_Dil3",2492.93680309337,60.3899,12
"postVarari_Col2_Dil3",2500.80331117028,60.3282,13
"postVarari_Blank_Dil3",2508.65494267049,59.6785,14
"postVarari_Col1_Dil4",2426.24028658251,59.6751,15
"postVarari_Col2_Dil4",2439.01734635503,60.019,16
"postVarari_Blank_Dil4",2461.69378658424,59.6452,17
"postVarari_Col1_Dil5",2430.7899961232,60.0011,18
"postVarari_Col2_Dil5",2460.23153802462,60.1958,19
"postVarari_Blank_Dil5",2475.90276626074,59.9837,20
"postVarari_Col1_Dil6",2443.27064496283,59.6111,21
"postVarari_Col2_Dil6",2472.19314881593,60.2637,22
"postVarari_Blank_Dil6",2492.20432530957,60.0056,23
"postVarari_Col1_Dil7",2514.64736428925,60.4575,24
"postVarari_Col2_Dil7",2483.04004418507,59.807,25
"postVarari_Blank_Dil7",2502.78071441062,60.1072,26
"postVarari_Col1_Dil8",2483.26283783179,60.3891,27
"postVarari_Col2_Dil8",2498.71767994281,60.4508,28
"postVarari_Blank_Dil8",2525.38961979797,59.7967,29
"postVarari_Col1_Dil9",2612.42465202366,59.7172,30
"postVarari_Col2_Dil9",2639.13021097497,59.6672,31
"postVarari_Blank_Dil9",2620.27029009617,59.7748,32
