Results Editor,,,,,,,,,,,,,,,,,,,,
Result Overview,,,,,,,,,,,,,,,,,,,,
Sample Index In Scope,Sample ID1,Sample start time,Overall State,Excluded,Correction factor,Unit of Correction factor,Temperature [°C],Unit of Temperature [°C],Comment,Content (R3),Unit of Content (R3),Data markings of Content (R3),Content (R1),Unit of Content (R1),Data markings of Content (R1),Weight [g],Unit of Weight [g],,Density [g/m L],Unit of Density [g/m L]
1,junk1,9/11/2023 12:20:12 PM,OK,Unchecked,0,,25.0,°C,,2.402,mL,,60.345,g,,60.3448,g,,1.0,g/mL
2,junk2,9/11/2023 12:30:57 PM,OK,Unchecked,0,,25.0,°C,,2.374,mL,,59.899,g,,59.8991,g,,1.0,g/mL
3,postVarari_Col5_Dil1,9/11/2023 12:41:32 PM,OK,Unchecked,0,,25.0,°C,,2.460,mL,,60.421,g,,60.4211,g,,1.0,g/mL
4,postVarari_Col6_Dil1,9/11/2023 12:52:13 PM,OK,Unchecked,0,,25.0,°C,,2.441,mL,,59.597,g,,59.5971,g,,1.0,g/mL
5,postVarari_Blank_Dil1,9/11/2023 1:02:53 PM,OK,Unchecked,0,,25.0,°C,,2.475,mL,,60.207,g,,60.2069,g,,1.0,g/mL
6,postVarari_Col5_Dil2,9/11/2023 1:13:39 PM,OK,Unchecked,0,,25.0,°C,,2.462,mL,,60.497,g,,60.4966,g,,1.0,g/mL
7,postVarari_Col6_Dil2,9/11/2023 1:24:21 PM,OK,Unchecked,0,,25.0,°C,,2.433,mL,,59.804,g,,59.8041,g,,1.0,g/mL
8,postVarari_Blank_Dil2,9/11/2023 1:34:59 PM,OK,Unchecked,0,,25.0,°C,,2.437,mL,,59.522,g,,59.5225,g,,1.0,g/mL
9,postVarari_Col5_Dil3,9/11/2023 1:45:38 PM,OK,Unchecked,0,,25.0,°C,,2.412,mL,,59.682,g,,59.6824,g,,1.0,g/mL
10,postVarari_Col6_Dil3,9/11/2023 1:56:18 PM,OK,Unchecked,0,,25.0,°C,,2.429,mL,,60.296,g,,60.2958,g,,1.0,g/mL
11,postVarari_Blank_Dil3,9/11/2023 2:06:56 PM,OK,Unchecked,0,,25.0,°C,,2.437,mL,,59.870,g,,59.8697,g,,1.0,g/mL
12,postVarari_Col5_Dil4,9/11/2023 2:17:32 PM,OK,Unchecked,0,,25.0,°C,,2.428,mL,,60.171,g,,60.1711,g,,1.0,g/mL
13,postVarari_Col6_Dil4,9/11/2023 2:28:10 PM,OK,Unchecked,0,,25.0,°C,,2.406,mL,,59.641,g,,59.6406,g,,1.0,g/mL
14,postVarari_Blank_Dil4,9/11/2023 2:38:47 PM,OK,Unchecked,0,,25.0,°C,,2.431,mL,,59.693,g,,59.6928,g,,1.0,g/mL
15,postVarari_Col5_Dil5,9/11/2023 2:49:25 PM,OK,Unchecked,0,,25.0,°C,,2.431,mL,,60.250,g,,60.2505,g,,1.0,g/mL
16,postVarari_Col6_Dil5,9/11/2023 3:00:03 PM,OK,Unchecked,0,,25.0,°C,,2.440,mL,,60.272,g,,60.2716,g,,1.0,g/mL
17,postVarari_Blank_Dil5,9/11/2023 3:10:43 PM,OK,Unchecked,0,,25.0,°C,,2.437,mL,,59.921,g,,59.9207,g,,1.0,g/mL
18,postVarari_Col5_Dil6,9/11/2023 3:21:21 PM,OK,Unchecked,0,,25.0,°C,,2.416,mL,,59.829,g,,59.8293,g,,1.0,g/mL
19,postVarari_Col6_Dil6,9/11/2023 3:31:58 PM,OK,Unchecked,0,,25.0,°C,,2.439,mL,,60.240,g,,60.2396,g,,1.0,g/mL
20,postVarari_Blank_Dil6,9/11/2023 3:42:38 PM,OK,Unchecked,0,,25.0,°C,,2.437,mL,,59.989,g,,59.9887,g,,1.0,g/mL
21,postVarari_Col5_Dil7,9/11/2023 3:53:19 PM,OK,Unchecked,0,,25.0,°C,,2.429,mL,,59.909,g,,59.9090,g,,1.0,g/mL
22,postVarari_Col6_Dil7,9/11/2023 4:03:57 PM,OK,Unchecked,0,,25.0,°C,,2.418,mL,,59.600,g,,59.6001,g,,1.0,g/mL
23,postVarari_Blank_Dil7,9/11/2023 4:14:34 PM,OK,Unchecked,0,,25.0,°C,,2.464,mL,,60.043,g,,60.0428,g,,1.0,g/mL
24,postVarari_Col5_Dil8,9/11/2023 4:25:16 PM,OK,Unchecked,0,,25.0,°C,,2.446,mL,,60.030,g,,60.0295,g,,1.0,g/mL
25,postVarari_Col6_Dil8,9/11/2023 4:35:56 PM,OK,Unchecked,0,,25.0,°C,,2.469,mL,,60.382,g,,60.3822,g,,1.0,g/mL
26,postVarari_Blank_Dil8,9/11/2023 4:46:40 PM,OK,Unchecked,0,,25.0,°C,,2.489,mL,,60.418,g,,60.4177,g,,1.0,g/mL
27,postVarari_Col5_Dil9,9/11/2023 4:57:29 PM,OK,Unchecked,0,,25.0,°C,,2.463,mL,,59.727,g,,59.7271,g,,1.0,g/mL
28,postVarari_Col6_Dil9,9/11/2023 5:08:11 PM,OK,Unchecked,0,,25.0,°C,,2.487,mL,,60.331,g,,60.3306,g,,1.0,g/mL
29,postVarari_Blank_Dil9,9/11/2023 5:19:00 PM,OK,Unchecked,0,,25.0,°C,,2.482,mL,,59.967,g,,59.9666,g,,1.0,g/mL
9/11/2023 5:32:32 PMSystemInternal,,,,,,,,,,,,,,,,,,1/1,,
