Task,T5159
Scope 1/1, Sample 1/29 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-58.6,22.7,NaN,,
0.0010,1,-59.5,22.7,0.0010,,
0.0025,2,-59.7,22.7,0.0015,,
0.0050,3,-59.8,22.7,0.0025,,
0.0090,4,-60.0,22.7,0.0035,,
0.0150,5,-60.2,22.7,0.0055,,
0.0235,6,-60.3,22.7,0.0075,,
0.0320,7,-60.5,22.7,0.0075,,
0.0405,8,-60.4,22.7,0.0075,,
0.0480,9,-60.4,22.7,0.0070,,
0.0565,10,-60.3,22.7,0.0075,,
0.0650,11,-60.0,22.7,0.0075,,
0.0735,12,-59.7,22.7,0.0075,,
0.0820,13,-59.4,22.7,0.0075,,
0.0905,14,-58.9,22.7,0.0070,,
0.0980,15,-58.6,22.7,0.0070,,
0.1065,16,-58.1,22.7,0.0075,,
0.1150,17,-57.6,22.7,0.0075,,
0.1235,18,-57.0,22.7,0.0075,,
0.1315,19,-56.4,22.7,0.0075,,
0.1400,20,-55.9,22.7,0.0075,,
0.1475,21,-55.2,22.7,0.0070,,
0.1560,22,-54.5,22.7,0.0075,,
0.1645,23,-53.8,22.7,0.0075,,
0.1730,24,-53.0,22.7,0.0075,,
0.1815,25,-52.2,22.7,0.0075,,
0.1890,26,-51.4,22.7,0.0070,,
0.1975,27,-50.6,22.7,0.0075,,
0.2060,28,-49.8,22.7,0.0075,,
0.2145,29,-48.9,22.7,0.0075,,
0.2230,30,-48.0,22.7,0.0075,,
0.2310,31,-47.1,22.7,0.0065,,
0.2390,32,-46.3,22.7,0.0075,,
0.2470,33,-45.6,22.7,0.0075,,
0.2555,34,-44.7,22.7,0.0075,,
0.2640,35,-44.0,22.7,0.0075,,
0.2725,36,-43.2,22.7,0.0075,,
0.2810,37,-42.4,22.7,0.0075,,
0.2885,38,-41.9,22.7,0.0070,,
0.2970,39,-41.1,22.7,0.0075,,
0.3055,40,-40.5,22.7,0.0075,,
0.3140,41,-39.7,22.7,0.0075,,
0.3220,42,-39.1,22.7,0.0075,,
0.3305,43,-38.4,22.7,0.0075,,
0.3380,44,-37.7,22.7,0.0070,,
0.3465,45,-37.1,22.7,0.0075,,
0.3550,46,-36.4,22.7,0.0075,,
0.3635,47,-35.8,22.7,0.0075,,
0.3720,48,-35.2,22.7,0.0075,,
0.3805,49,-34.6,22.7,0.0075,,
0.3880,50,-34.0,22.7,0.0070,,
0.3965,51,-33.4,22.7,0.0075,,
0.4050,52,-32.9,22.7,0.0075,,
0.4135,53,-32.3,22.7,0.0075,,
0.4215,54,-31.7,22.7,0.0075,,
0.4300,55,-31.2,22.7,0.0075,,
0.4375,56,-30.7,22.7,0.0070,,
0.4460,57,-30.1,22.7,0.0075,,
0.4545,58,-29.5,22.7,0.0075,,
0.4630,59,-28.9,22.7,0.0075,,
0.4715,60,-28.5,22.7,0.0075,,
0.4800,61,-28.0,22.7,0.0075,,
0.4875,62,-27.5,22.7,0.0070,,
0.4960,63,-27.0,22.7,0.0075,,
0.5045,64,-26.5,22.7,0.0075,,
0.5130,65,-25.9,22.7,0.0075,,
0.5210,66,-25.3,22.7,0.0075,,
0.5290,67,-25.0,22.7,0.0075,,
0.5375,68,-24.5,22.7,0.0075,,
0.5455,69,-24.0,22.7,0.0075,,
0.5540,70,-23.4,22.7,0.0075,,
0.5625,71,-23.0,22.7,0.0075,,
0.5710,72,-22.4,22.7,0.0075,,
0.5785,73,-21.9,22.7,0.0070,,
0.5870,74,-21.5,22.7,0.0075,,
