Task,T5208
Scope 1/1, Sample 1/35 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-68.9,22.4,NaN,,
0.0005,1,-69.1,22.4,0.0005,,
0.0025,2,-69.1,22.4,0.0020,,
0.0050,3,-69.2,22.4,0.0025,,
0.0090,4,-69.0,22.4,0.0035,,
0.0150,5,-69.1,22.4,0.0055,,
0.0235,6,-69.1,22.4,0.0075,,
0.0310,7,-69.2,22.4,0.0075,,
0.0395,8,-69.0,22.4,0.0085,,
0.0480,9,-68.9,22.4,0.0085,,
0.0565,10,-68.6,22.4,0.0075,,
0.0650,11,-68.3,22.4,0.0075,,
0.0735,12,-67.9,22.4,0.0075,,
0.0810,13,-67.9,22.4,0.0075,,
0.0895,14,-67.7,22.4,0.0085,,
0.0975,15,-67.0,22.4,0.0080,,
0.1060,16,-66.5,22.4,0.0075,,
0.1145,17,-65.9,22.4,0.0075,,
0.1230,18,-65.5,22.4,0.0075,,
0.1305,19,-64.8,22.4,0.0075,,
0.1390,20,-64.3,22.4,0.0085,,
0.1475,21,-63.6,22.4,0.0085,,
0.1560,22,-62.9,22.4,0.0075,,
0.1645,23,-62.3,22.4,0.0075,,
0.1725,24,-61.5,22.4,0.0075,,
0.1810,25,-60.6,22.4,0.0085,,
0.1885,26,-59.8,22.4,0.0075,,
0.1970,27,-59.0,22.4,0.0085,,
0.2055,28,-58.1,22.4,0.0075,,
0.2140,29,-57.3,22.4,0.0075,,
0.2225,30,-56.0,22.4,0.0075,,
0.2305,31,-55.4,22.4,0.0075,,
0.2385,32,-54.4,22.5,0.0080,,
0.2465,33,-53.8,22.4,0.0080,,
0.2550,34,-52.6,22.5,0.0085,,
0.2635,35,-51.7,22.5,0.0075,,
0.2720,36,-50.8,22.5,0.0075,,
0.2805,37,-50.1,22.4,0.0075,,
0.2880,38,-49.4,22.4,0.0075,,
0.2965,39,-48.5,22.4,0.0085,,
0.3050,40,-47.5,22.4,0.0085,,
0.3135,41,-46.9,22.4,0.0075,,
0.3215,42,-46.4,22.5,0.0075,,
0.3300,43,-45.6,22.5,0.0075,,
0.3385,44,-44.9,22.5,0.0085,,
0.3460,45,-44.2,22.5,0.0075,,
0.3545,46,-43.4,22.5,0.0085,,
0.3630,47,-42.4,22.5,0.0075,,
0.3715,48,-41.8,22.5,0.0075,,
