"SampleID","TA","Mass","Sample.Index"
"Junk1_PreC_Dil8_Col3.4",2426.35082245717,59.735,1
"Junk2_PreC_Dil4_Col3.4",2402.95777375076,59.7003,2
"PreVarari_Day1_Rerun_Dil1rep1",2438.39305442698,60.1605,3
"PreVarari_Day1_Rerun_Dil1rep2",2451.43666849423,60.2393,4
"PreVarari_Day1_Rerun_Dil1rep3",2432.26780361614,60.1361,5
"PreVarari_Day1_Rerun_Dil2rep1",2424.9752359085,60.2566,6
"PreVarari_Day1_Rerun_Dil2rep2",2438.82469176381,60.1835,7
"PreVarari_Day1_Rerun_Dil2rep3",2448.69871436321,60.0032,8
"PreVarari_Day1_Rerun_Dil3rep1",2474.43041372793,60.3117,9
"PreVarari_Day1_Rerun_Dil3rep2",2474.30888185039,60.106,10
"PreVarari_Day1_Rerun_Dil3rep3",2463.16081290025,59.8402,11
"PreVarari_Day1_Rerun_Dil4rep1",2431.43774087335,60.3403,12
"PreVarari_Day1_Rerun_Dil4rep2",2426.74874796695,59.9398,13
"PreVarari_Day1_Rerun_Dil4rep3",2424.41173937285,60.1015,14
"PreVarari_Day1_Rerun_Dil5rep1",2444.21515796303,59.8778,15
"PreVarari_Day1_Rerun_Dil5rep2",2443.32666563505,59.878,16
"PreVarari_Day1_Rerun_Dil5rep3",2436.61165434473,59.896,17
"PreVarari_Day1_Rerun_Dil6rep1",2442.30473989222,59.8798,18
"PreVarari_Day1_Rerun_Dil6rep2",2447.43223592253,60.0876,19
"PreVarari_Day1_Rerun_Dil6rep3",2452.14772351793,60.1627,20
"PreVarari_Day1_Rerun_Dil7rep1",2462.7836106097,60.1019,21
"PreVarari_Day1_Rerun_Dil7rep2",2463.66792773236,60.0363,22
"PreVarari_Day1_Rerun_Dil7rep3",2459.03730419997,60.0552,23
"PreVarari_Day1_Rerun_Dil8rep1",2470.37041857347,60.3683,24
"PreVarari_Day1_Rerun_Dil8rep2",2469.99218122957,59.8026,25
"PreVarari_Day1_Rerun_Dil8rep3",2477.2431588527,60.0343,26
"PreVarari_Day1_Rerun_Dil9rep1",2579.66067398216,60.2319,27
"PreVarari_Day1_Rerun_Dil9rep2",2577.86817479709,60.1541,28
"PreVarari_Day1_Rerun_Dil9rep3",2583.19655618767,59.9438,29
