Task,T5271
Scope 1/1, Sample 1/29 (Junk1_PreC_Dil8_Col3.4)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-51.7,22.6,NaN,,
0.0010,1,-51.9,22.6,0.0010,,
0.0025,2,-52.0,22.6,0.0015,,
0.0050,3,-52.1,22.6,0.0025,,
0.0090,4,-52.1,22.6,0.0035,,
0.0155,5,-52.2,22.6,0.0060,,
0.0235,6,-52.4,22.6,0.0075,,
0.0320,7,-52.4,22.6,0.0075,,
0.0395,8,-52.2,22.6,0.0075,,
0.0480,9,-52.2,22.6,0.0075,,
0.0565,10,-52.1,22.6,0.0075,,
0.0650,11,-51.7,22.6,0.0075,,
0.0735,12,-51.3,22.6,0.0075,,
0.0820,13,-51.0,22.6,0.0085,,
0.0895,14,-50.7,22.6,0.0075,,
0.0980,15,-50.3,22.6,0.0075,,
0.1065,16,-49.9,22.6,0.0075,,
0.1150,17,-49.4,22.6,0.0075,,
0.1230,18,-49.0,22.6,0.0075,,
0.1310,19,-48.5,22.6,0.0080,,
0.1390,20,-48.0,22.6,0.0075,,
0.1475,21,-47.5,22.6,0.0075,,
0.1560,22,-46.8,22.6,0.0075,,
0.1645,23,-46.1,22.6,0.0075,,
0.1730,24,-45.3,22.6,0.0075,,
0.1805,25,-44.7,22.6,0.0075,,
0.1890,26,-43.9,22.6,0.0075,,
0.1975,27,-43.2,22.6,0.0075,,
0.2060,28,-42.5,22.6,0.0075,,
0.2145,29,-41.9,22.6,0.0075,,
0.2230,30,-41.2,22.6,0.0085,,
0.2305,31,-40.5,22.6,0.0075,,
0.2390,32,-39.9,22.6,0.0075,,
0.2470,33,-39.3,22.6,0.0075,,
0.2555,34,-38.7,22.6,0.0075,,
0.2640,35,-38.0,22.6,0.0075,,
0.2715,36,-37.5,22.6,0.0075,,
0.2800,37,-36.7,22.6,0.0075,,
0.2885,38,-36.1,22.6,0.0075,,
0.2970,39,-35.4,22.6,0.0075,,
0.3055,40,-34.8,22.6,0.0075,,
0.3140,41,-34.3,22.6,0.0075,,
0.3215,42,-33.8,22.6,0.0075,,
0.3300,43,-33.3,22.6,0.0075,,
0.3385,44,-32.9,22.6,0.0075,,
