"SampleID","TA","Mass","Sample.Index"
"Junk1",2413.62330949986,59.92,1
"Junk2",2361.5257013251,60.0747,2
"preVarari_dil1rep1_0617",2417.81185768583,59.7552,3
"preVarari_dil1rep2_0617",2430.73639882225,59.8599,4
"preVarari_dil1rep3_0617",2401.52753169945,59.6794,5
"preVarari_dil2rep1_0617",2361.43029825543,59.7682,6
"preVarari_dil2rep2_0617",2427.3733303785,60.3778,7
"preVarari_dil2rep3_0617",2423.08564172617,59.7807,8
"preVarari_dil3rep1_0617",2436.67582541926,60.0928,9
"preVarari_dil3rep2_0617",2442.82692564033,60.3886,10
"preVarari_dil3rep3_0617",2451.45722583457,60.0244,11
"preVarari_dil4rep1_0617",2401.56625994708,60.4215,12
"preVarari_dil4rep2_0617",2393.21734123688,60.1222,13
"preVarari_dil4rep3_0617",2414.0324324217,60.163,14
"preVarari_dil5rep1_0617",2413.63369369719,60.071,15
"preVarari_dil5rep2_0617",2412.1964805381,59.6907,16
"preVarari_dil5rep3_0617",2420.59284557018,59.9825,17
"preVarari_dil6rep1_0617",2422.55006607853,59.9154,18
"preVarari_dil6rep2_0617",2434.4127985111,60.4522,19
"preVarari_dil6rep3_0617",2418.96689996787,60.0665,20
"preVarari_dil7rep1_0617",2446.73890710414,60.14,21
"preVarari_dil7rep2_0617",2448.00876842809,60.2752,22
"preVarari_dil7rep3_0617",2438.44793512555,60.285,23
"preVarari_dil8rep1_0617",2452.56710469021,59.9848,24
"preVarari_dil8rep2_0617",2454.60407006611,60.1132,25
"preVarari_dil8rep3_0617",2466.00178390102,60.1686,26
"preVarari_dil9rep1_0617",2555.28805938203,59.6789,27
"preVarari_dil9rep2_0617",2556.43442999455,60.1606,28
"preVarari_dil9rep3_0617",2551.78042064317,60.0685,29
"CRM",2202.62569193614,60.0497,30
