"SampleID","TA","Mass","Sample.Index"
"SW1",2298.68206578885,60.1819,1
"SW2",2333.57158177591,60.0101,2
"preVarari_Dil1rep1",2385.17518204174,59.6889,3
"preVarari_Dil1rep2",2402.39250087164,59.9676,4
"preVarari_Dil1rep3",2376.51615807568,60.2132,5
"preVarari_Dil2rep1",2379.78578863912,60.4753,6
"preVarari_Dil2rep2",2379.44147218993,60.4808,7
"preVarari_Dil2rep3",2377.29234747677,60.3817,8
"preVarari_Dil3rep1",2382.60384214765,60.2862,9
"preVarari_Dil3rep2",2375.08653397245,60.3263,10
"preVarari_Dil3rep3",2377.58815794095,60.105,11
"preVarari_Dil4rep1",2369.79894158457,60.2051,12
"preVarari_Dil4rep2",2375.61335606536,60.1777,13
"preVarari_Dil4rep3",2374.2176133054,60.247,14
"preVarari_Dil5rep1",2384.78317355243,59.7086,15
"preVarari_Dil5rep2",2380.7332238695,60.0329,16
"preVarari_Dil5rep3",2379.98590621258,60.2818,17
"preVarari_Dil6rep1",2382.06435370997,59.6724,18
"preVarari_Dil6rep2",2383.33856398909,59.9213,19
"preVarari_Dil6rep3",2386.0281196212,59.6774,20
"preVarari_Dil7rep1",2389.40455820744,59.971,21
"preVarari_Dil7rep2",2387.86012141098,60.2576,22
"preVarari_Dil7rep3",2407.93306252455,59.8238,23
"preVarari_Dil8rep1",2435.570855287,60.1252,24
"preVarari_Dil8rep2",2432.53032218193,60.0063,25
"preVarari_Dil8rep3",2435.0341943512,59.8833,26
"preVarari_Dil9rep1",2496.51497529091,60.2063,27
"preVarari_Dil9rep2",2480.70580633839,60.0788,28
"preVarari_Dil9rep3",2476.43565307525,59.5118,29
