SampleID,TA,Mass,Sample.Index
SW1,2298.682066,60.1819,1
SW2,2333.571582,60.0101,2
preVarari_Dil1rep1,2385.175182,59.6889,3
preVarari_Dil1rep2,2402.392501,59.9676,4
preVarari_Dil1rep3,2376.516158,60.2132,5
preVarari_Dil2rep1,2379.785789,60.4753,6
preVarari_Dil2rep2,2379.441472,60.4808,7
preVarari_Dil2rep3,2377.292347,60.3817,8
preVarari_Dil3rep1,2382.603842,60.2862,9
preVarari_Dil3rep2,2375.086534,60.3263,10
preVarari_Dil3rep3,2377.588158,60.105,11
preVarari_Dil4rep1,2369.798942,60.2051,12
preVarari_Dil4rep2,2375.613356,60.1777,13
preVarari_Dil4rep3,2374.217613,60.247,14
preVarari_Dil5rep1,2384.783174,59.7086,15
preVarari_Dil5rep2,2380.733224,60.0329,16
preVarari_Dil5rep3,2379.985906,60.2818,17
preVarari_Dil6rep1,2382.064354,59.6724,18
preVarari_Dil6rep2,2383.338564,59.9213,19
preVarari_Dil6rep3,2386.02812,59.6774,20
preVarari_Dil7rep1,2389.404558,59.971,21
preVarari_Dil7rep2,2387.860121,60.2576,22
preVarari_Dil7rep3,2407.933063,59.8238,23
preVarari_Dil8rep1,2435.570855,60.1252,24
preVarari_Dil8rep2,2432.530322,60.0063,25
preVarari_Dil8rep3,2435.034194,59.8833,26
preVarari_Dil9rep1,2496.514975,60.2063,27
preVarari_Dil9rep2,2480.705806,60.0788,28
preVarari_Dil9rep3,2476.435653,59.5118,29
