SampleID,TA,Mass,Sample.Index
Junk1,2314.560152,60.4621,1
junk2,2226.817365,59.8948,2
postVarari_Col1_Dil1,2513.591198,60.4539,3
postVarari_Col2_Dil1,2394.6567,60.3912,4
postVarari_Blank_Dil1,2406.45511,59.8292,5
postVarari_Col1_Dil2,2518.479657,59.8181,6
postVarari_Col2_Dil2,2382.785971,60.3723,7
postVarari_Blank_Dil2,2395.175019,59.766,8
postVarari_Col1_Dil3,2542.368009,59.6178,9
postVarari_Col2_Dil3,2380.394282,59.8492,10
postVarari_Blank_Dil3,2410.129854,59.7265,11
postVarari_Col1_Dil4,2469.675977,60.0169,12
postVarari_Col2_Dil4,2367.51833,59.7866,13
postVarari_Blank_Dil4,2402.049634,60.4175,14
postVarari_Col1_Dil5,2502.807205,60.3073,15
postVarari_Col2_Dil5,2385.940605,60.3269,16
postVarari_Blank_Dil5,2399.762356,59.604,17
postVarari_Col1_Dil6,2509.361504,59.6992,18
postVarari_Col2_Dil6,2389.74034,60.4574,19
postVarari_Blank_Dil6,2407.03929,60.0693,20
postVarari_Col1_Dil7,2513.660708,60.342,21
postVarari_Col2_Dil7,2386.651362,59.8349,22
postVarari_Blank_Dil7,2399.765718,60.2847,23
postVarari_Col1_Dil8,2537.164029,60.2145,24
postVarari_Col2_Dil8,2440.306591,59.6735,25
postVarari_Blank_Dil8,2447.874296,59.7808,26
postVarari_Col1_Dil9,2681.361697,60.2064,27
postVarari_Col2_Dil9,2501.411397,60.0894,28
postVarari_Blank_Dil9,2512.945311,59.6082,29
