Task,T5050
Scope 1/1, Sample 1/29 (Junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-48.1,22.4,NaN,,
0.0005,1,-49.4,22.4,0.0005,,
0.0025,2,-49.7,22.4,0.0020,,
0.0050,3,-50.1,22.4,0.0025,,
0.0090,4,-50.4,22.4,0.0035,,
0.0155,5,-50.8,22.4,0.0060,,
0.0235,6,-50.9,22.4,0.0080,,
0.0310,7,-51.2,22.4,0.0075,,
0.0395,8,-51.3,22.4,0.0085,,
0.0480,9,-51.4,22.4,0.0075,,
0.0565,10,-51.4,22.4,0.0075,,
0.0650,11,-51.4,22.4,0.0075,,
0.0735,12,-51.2,22.4,0.0085,,
0.0810,13,-51.1,22.4,0.0075,,
0.0895,14,-50.8,22.4,0.0085,,
0.0980,15,-50.5,22.4,0.0075,,
0.1060,16,-50.3,22.4,0.0075,,
0.1145,17,-49.9,22.4,0.0075,,
0.1230,18,-49.6,22.4,0.0085,,
0.1305,19,-49.0,22.4,0.0075,,
0.1390,20,-48.5,22.4,0.0085,,
0.1475,21,-48.0,22.4,0.0075,,
0.1560,22,-47.4,22.4,0.0075,,
0.1645,23,-46.8,22.4,0.0075,,
0.1730,24,-46.2,22.4,0.0085,,
0.1805,25,-45.5,22.4,0.0075,,
0.1890,26,-44.8,22.4,0.0085,,
0.1975,27,-44.1,22.4,0.0075,,
0.2060,28,-43.4,22.4,0.0075,,
0.2140,29,-42.7,22.4,0.0075,,
0.2220,30,-42.0,22.4,0.0080,,
0.2300,31,-41.2,22.4,0.0080,,
0.2385,32,-40.4,22.4,0.0085,,
0.2470,33,-39.7,22.4,0.0075,,
0.2555,34,-39.0,22.4,0.0075,,
0.2640,35,-38.3,22.4,0.0075,,
0.2715,36,-37.7,22.4,0.0075,,
0.2800,37,-36.9,22.4,0.0085,,
0.2885,38,-36.1,22.4,0.0085,,
0.2970,39,-35.4,22.4,0.0075,,
0.3050,40,-34.8,22.4,0.0075,,
0.3135,41,-34.1,22.4,0.0075,,
0.3210,42,-33.7,22.4,0.0075,,
0.3295,43,-33.1,22.4,0.0085,,
0.3380,44,-32.3,22.4,0.0075,,
0.3465,45,-31.7,22.4,0.0075,,
0.3550,46,-31.1,22.4,0.0075,,
0.3635,47,-30.6,22.4,0.0085,,
0.3710,48,-30.0,22.4,0.0075,,
0.3795,49,-29.5,22.4,0.0085,,
0.3880,50,-29.0,22.4,0.0075,,
0.3965,51,-28.6,22.4,0.0075,,
0.4050,52,-28.1,22.4,0.0075,,
0.4125,53,-27.6,22.4,0.0075,,
0.4210,54,-27.1,22.4,0.0085,,
0.4290,55,-26.5,22.4,0.0080,,
0.4375,56,-26.0,22.4,0.0075,,
0.4460,57,-25.4,22.4,0.0075,,
0.4545,58,-25.0,22.4,0.0075,,
0.4620,59,-24.6,22.4,0.0075,,
0.4705,60,-24.0,22.4,0.0085,,
0.4790,61,-23.5,22.4,0.0085,,
0.4875,62,-22.9,22.4,0.0075,,
0.4960,63,-22.4,22.4,0.0075,,
0.5040,64,-21.9,22.4,0.0075,,
0.5120,65,-21.5,22.4,0.0080,,
0.5205,66,-21.1,22.4,0.0085,,
0.5285,67,-20.5,22.4,0.0075,,
0.5370,68,-20.0,22.4,0.0075,,
0.5455,69,-19.5,22.4,0.0075,,
0.5540,70,-19.0,22.4,0.0075,,
0.5615,71,-18.6,22.4,0.0075,,
0.5700,72,-18.1,22.4,0.0085,,
0.5785,73,-17.7,22.4,0.0075,,
0.5870,74,-17.4,22.4,0.0075,,
0.5955,75,-16.9,22.4,0.0075,,
0.6040,76,-16.5,22.4,0.0085,,
0.6115,77,-16.1,22.4,0.0075,,
0.6200,78,-15.7,22.4,0.0085,,
0.6280,79,-15.2,22.4,0.0075,,
0.6365,80,-14.7,22.4,0.0075,,
0.6450,81,-14.2,22.4,0.0075,,
0.6525,82,-13.9,22.4,0.0075,,
0.6610,83,-13.4,22.4,0.0085,,
0.6695,84,-12.9,22.4,0.0085,,
0.6780,85,-12.3,22.4,0.0075,,
0.6865,86,-11.8,22.4,0.0075,,
0.6950,87,-11.4,22.4,0.0075,,
0.7025,88,-11.0,22.4,0.0075,,
0.7110,89,-10.5,22.4,0.0085,,
0.7195,90,-10.1,22.4,0.0075,,
0.7280,91,-9.7,22.4,0.0075,,
0.7360,92,-9.3,22.4,0.0075,,
0.7445,93,-8.9,22.4,0.0085,,
0.7520,94,-8.5,22.4,0.0075,,
0.7605,95,-8.0,22.4,0.0085,,
0.7690,96,-7.5,22.4,0.0075,,
0.7775,97,-7.2,22.4,0.0075,,
0.7860,98,-6.7,22.4,0.0075,,
