"SampleID","TA","Mass","Sample.Index","TA_evap"
"junk1",2265.74533932925,59.8577,1,2265.74533932925
"junk2",2253.56303195031,59.9292,2,2252.27601708341
"junk3",2247.29140348254,59.7193,3,2244.72600233701
"HI_139",2280.62663841222,59.7293,4,2276.72368352617
"HI_157",2280.28562536462,59.9791,5,2275.08543009583
"HI_158",2277.42827934534,60.0651,6,2270.93987968909
"HI_161",2294.4582196019,59.914,7,2286.61838513857
"HI_163",2342.90125903026,60.099,8,2333.56699106599
"HI_166",2328.04844441223,59.9034,9,2317.45436730455
"HI_167",2353.00713016162,60.1392,10,2340.96786684641
