Task,T1711
Scope 1/1, Sample 1/4 (junk1)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-73.1,21.3,NaN,,
0.0010,1,-73.1,21.3,0.0010,,
0.0025,2,-73.1,21.3,0.0015,,
0.0050,3,-73.1,21.3,0.0020,,
0.0085,4,-73.1,21.3,0.0030,,
0.0150,5,-72.9,21.3,0.0060,,
0.0230,6,-72.6,21.3,0.0075,,
0.0315,7,-72.1,21.3,0.0075,,
0.0400,8,-71.4,21.3,0.0075,,
0.0485,9,-70.5,21.3,0.0075,,
0.0560,10,-69.6,21.3,0.0070,,
0.0645,11,-68.5,21.3,0.0075,,
0.0730,12,-67.4,21.3,0.0075,,
0.0815,13,-66.4,21.3,0.0075,,
0.0895,14,-65.2,21.3,0.0075,,
0.0975,15,-64.0,21.3,0.0075,,
0.1060,16,-62.8,21.3,0.0075,,
0.1140,17,-61.3,21.3,0.0075,,
0.1225,18,-59.9,21.3,0.0075,,
0.1310,19,-58.2,21.3,0.0075,,
0.1395,20,-56.6,21.3,0.0075,,
0.1470,21,-54.9,21.3,0.0070,,
0.1555,22,-53.1,21.3,0.0075,,
0.1640,23,-51.3,21.3,0.0075,,
0.1725,24,-49.2,21.3,0.0075,,
0.1805,25,-47.0,21.3,0.0075,,
0.1890,26,-44.5,21.3,0.0075,,
0.1975,27,-42.4,21.3,0.0075,,
0.2050,28,-39.8,21.3,0.0070,,
0.2135,29,-36.9,21.3,0.0075,,
0.2220,30,-33.8,21.3,0.0075,,
0.2305,31,-30.6,21.3,0.0075,,
0.2390,32,-27.2,21.3,0.0075,,
0.2475,33,-24.1,21.3,0.0075,,
0.2550,34,-19.8,21.3,0.0070,,
0.2635,35,-15.9,21.3,0.0075,,
0.2715,36,-12.5,21.3,0.0075,,
0.2800,37,-8.8,21.3,0.0075,,
0.2885,38,-5.5,21.3,0.0075,,
0.2970,39,-2.6,21.3,0.0075,,
0.3045,40,0.2,21.3,0.0070,,
0.3130,41,1.9,21.3,0.0075,,
0.3215,42,4.0,21.3,0.0075,,
0.3300,43,5.6,21.3,0.0075,,
0.3385,44,7.1,21.3,0.0075,,
0.3465,45,8.5,21.3,0.0065,,
0.3545,46,10.0,21.3,0.0075,,
0.3625,47,11.3,21.3,0.0075,,
0.3710,48,12.7,21.3,0.0075,,
0.3795,49,13.9,21.3,0.0075,,
0.3880,50,15.1,21.3,0.0075,,
0.3965,51,16.4,21.3,0.0070,,
0.4040,52,17.4,21.3,0.0070,,
0.4125,53,18.6,21.3,0.0075,,
0.4210,54,19.6,21.3,0.0075,,
0.4295,55,20.5,21.3,0.0075,,
0.4375,56,21.3,21.3,0.0075,,
0.4460,57,22.1,21.3,0.0075,,
0.4535,58,23.2,21.3,0.0070,,
0.4620,59,24.4,21.3,0.0075,,
0.4705,60,25.4,21.3,0.0075,,
0.4790,61,26.4,21.3,0.0075,,
0.4875,62,27.3,21.3,0.0075,,
0.4960,63,28.2,21.3,0.0075,,
0.5035,64,29.1,21.3,0.0070,,
0.5120,65,30.1,21.3,0.0075,,
0.5205,66,31.1,21.3,0.0075,,
0.5285,67,31.9,21.3,0.0075,,
0.5370,68,32.6,21.3,0.0075,,
0.5455,69,33.3,21.3,0.0085,,
0.5530,70,34.4,21.3,0.0070,,
0.5615,71,35.4,21.3,0.0075,,
0.5700,72,36.2,21.3,0.0075,,
0.5785,73,37.0,21.3,0.0075,,
0.5870,74,37.8,21.3,0.0075,,
