"SampleID","TA","Mass","Sample.Index","TA_evap"
"junk1",2249.29337304473,60.0282,1,2249.29337304473
"106",2290.24377156957,60.2018,2,2288.93580825057
"107",2279.75417640578,59.6824,3,2277.15171730029
"108",2269.17456849773,60.0177,4,2265.29121213407
"108A",2268.66526108014,59.7062,5,2263.49156607198
"109",2283.14668055371,60.2031,6,2276.64198915613
"110",2284.89372006457,60.3401,7,2277.08656612358
"111",2279.8906277374,59.7191,8,2270.80739814482
"112",2281.5514342078,59.7737,9,2271.16894759024
"138",2284.19914751896,59.8924,10,2272.51194323944
