Table of Measured Values
Task,T1229
Scope 1/1, Sample 1/51 (JUNK)
Result,TitrationEP1
V,t,E,T,dV/dt,E acc. stat.,Volume acc. stat.
0.0000,0,-75.5,22.9,NaN,,
0.0010,1,-75.4,22.9,0.0010,,
0.0025,2,-75.5,22.9,0.0015,,
0.0050,3,-75.4,22.9,0.0025,,
0.0090,4,-75.4,22.9,0.0035,,
0.0150,5,-75.4,22.9,0.0055,,
0.0235,6,-75.3,22.9,0.0075,,
0.0320,7,-75.2,22.9,0.0075,,
0.0405,8,-74.9,22.9,0.0075,,
0.0480,9,-74.6,22.9,0.0070,,
0.0565,10,-74.2,22.9,0.0075,,
0.0650,11,-73.7,22.9,0.0075,,
0.0735,12,-73.1,22.9,0.0075,,
0.0820,13,-72.5,22.9,0.0075,,
0.0905,14,-71.7,22.9,0.0075,,
0.0980,15,-71.0,22.9,0.0070,,
0.1065,16,-70.2,22.9,0.0075,,
0.1145,17,-69.2,22.9,0.0075,,
0.1230,18,-68.3,22.9,0.0075,,
0.1315,19,-67.3,22.9,0.0075,,
0.1400,20,-66.5,22.9,0.0075,,
0.1475,21,-65.4,22.9,0.0070,,
0.1560,22,-64.3,22.9,0.0075,,
0.1645,23,-63.1,22.9,0.0075,,
0.1730,24,-61.9,22.9,0.0075,,
0.1815,25,-60.6,22.9,0.0075,,
0.1890,26,-59.4,22.9,0.0070,,
0.1975,27,-58.1,22.9,0.0075,,
0.2060,28,-56.7,22.9,0.0075,,
0.2145,29,-55.5,22.9,0.0075,,
0.2225,30,-54.1,22.9,0.0075,,
0.2310,31,-52.6,22.9,0.0075,,
0.2390,32,-51.4,22.9,0.0075,,
0.2470,33,-50.0,22.9,0.0075,,
0.2555,34,-48.8,22.9,0.0075,,
0.2640,35,-47.5,22.9,0.0075,,
0.2725,36,-46.4,22.9,0.0075,,
0.2810,37,-45.2,22.9,0.0075,,
0.2885,38,-44.1,22.9,0.0070,,
0.2970,39,-43.0,22.9,0.0075,,
