"SampleID","TA","Mass","Sample.Index"
"JUNK",2228.301169101,59.6693,1
"HI_106",2140.50276083689,59.7493,2
"HI_107",2127.63987060966,59.6892,3
"HI_108",1990.65029694483,59.551,4
"HI_108A",2033.15452468607,59.5271,5
"HI_109",2079.20299578819,59.5324,6
"HI_110",2068.7546317154,59.6495,7
"HI_111",2051.15611963644,59.9661,8
"HI_112",2065.27991428591,59.8337,9
"HI_138",2062.13151451655,59.5241,10
"HI_139",2066.3351321021,59.8825,11
"HI_157",2064.94166972967,59.598,12
"HI_158",2065.26817466829,59.8556,13
"HI_161",2099.43403919194,59.5565,14
"HI_163",2139.60957980188,59.9621,15
"HI_166",2128.93511286927,59.7959,16
"HI_167",2231.80931004768,59.9711,17
"HI_216",2075.41768728053,59.7024,18
"HI_228",2083.61686372101,59.9045,19
"HI_234",2110.80682706755,59.7897,20
"HI_236",2062.88041036276,59.9434,21
"HI_237",2179.52577284857,59.8045,22
"HI_238",2111.09164069116,59.8268,23
"HI_239",2112.18608615499,59.8984,24
"HI_240",2251.01906592295,59.5471,25
"HI_241",2099.92707316243,59.7242,26
"HI_242",2156.8939866782,59.7437,27
"HI_243",2072.68415089496,59.6297,28
"HI_244",2018.88807709434,59.531,29
"HI_245",2026.49470085414,59.8417,30
"HI_246",1989.9330295144,59.931,31
"CRM",1896.33638296546,59.9394,32
